,lang,family,dialects,iso3code,glottocode,speakers,regions,off_lang,rec_min_lang,url
1653,Kyirong–Kagate,"Sino-Tibetan, Tibeto-Kanauri, \xa, Bodish, Tibetic, Kyirong–Kagate","Sino-Tibetan, Tibeto-Kanauri, \xa, Bodish, Tibetic, Kyirong–Kagate",Variously:titlekgytitle – titleKyirongtitlesywtitle – titleKagatetitlettztitle – Tsumtitlescptitle – titleHyolmotitlegyotitle – titleGyalsumdo,kyir1235title  adds titleNubri,"16,000 ","Nepal, China",Unknown,Unknown,https://en.wikipedia.org/wiki/Langthang_language
1654,Arbëresh,"Indo-European, Albanian, Tosk, Arbëresh","Indo-European, Albanian, Tosk, Arbëresh",aae,arbe1236,"70,000-100,000[1]","Abruzzo, Apulia, Basilicata, Calabria, Campania, Molise, Sicily",Unknown,Unknown,https://en.wikipedia.org/wiki/Arb%C3%ABresh_language
1655,Karelian,"Uralic, Finnic, Northern Finnic, Karelian","Uralic, Finnic, Northern Finnic, Karelian",krl,kare1335,"8,753 ","Republic of Karelia, Tver Oblast (Tver Karelia)",Unknown," Finland Russia
 Republic of Karelia
",https://en.wikipedia.org/wiki/Karelian_language
1656,Oʼodham,"Uto-Aztecan, Southern Uto-Aztecan, Tepiman, Oʼodham","Uto-Aztecan, Southern Uto-Aztecan, Tepiman, Oʼodham",ood,toho1245,"15,000 ",Primarily south-central Arizona and northern Sonora,One of the national languages of Mexico,Unknown,https://en.wikipedia.org/wiki/Tohono_O%27odham_language
1657,Inuttitut,"Eskaleut, Eskimo, Inuit, Inuktitut, Inuttitut","Eskaleut, Eskimo, Inuit, Inuktitut, Inuttitut",–,labr1244,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Inuttitut
1658,Nauruan,"Austronesian, Malayo-Polynesian, Oceanic, Micronesian, Nauruan","Austronesian, Malayo-Polynesian, Oceanic, Micronesian, Nauruan",nau,naur1243,"9,356 ",, Nauru,Unknown,https://en.wikipedia.org/wiki/Nauruan_language
1659,Tanacross,"Dené–Yeniseian,Na-Dené, Athabaskan–Eyak, Athabaskan, Northern Athabaskan, Tanacross","Dené–Yeniseian,Na-Dené, Athabaskan–Eyak, Athabaskan, Northern Athabaskan, Tanacross",tcb,tana1290,<10 ,Alaska (middle Tanana River), Alaska,Unknown,https://en.wikipedia.org/wiki/Tanacross_language
1660,Arutani,"Arutani–Sape, \xa, Arutani","Arutani–Sape, \xa, Arutani",atx,arut1244,6 ,"Roraima (Brazil); 
Karum River area, Bolivar State (Venezuela)",Unknown,Unknown,https://en.wikipedia.org/wiki/Uruak_language
1661,Yamphu,"Sino-Tibetan, Tibeto-Burman, Mahakiranti,  Kiranti, Eastern, Upper Arun, Yamphu","Sino-Tibetan, Tibeto-Burman, Mahakiranti,  Kiranti, Eastern, Upper Arun, Yamphu",ybi,yamp1244,"9,200 ",Nepal,Unknown,Unknown,https://en.wikipedia.org/wiki/Yamphu_language
1662,Tuotomb,"Niger–Congo,Atlantic–Congo, Benue–Congo, Southern Bantoid, Mbam, West Mbam, Tuotomb","Niger–Congo,Atlantic–Congo, Benue–Congo, Southern Bantoid, Mbam, West Mbam, Tuotomb",ttf,tuot1238,"1,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Tuotomb_language
1663,Guanano,"Tucanoan, Eastern, North, GuaUknowno","Tucanoan, Eastern, North, GuaUknowno",Either:titlegvctitle – WaNot providedo (Kótirya)titlepirtitle – Piratapuyo,wana1272,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Piratapuyo_language
1664,Badyara,"Niger–Congo,Atlantic–Congo, Atlantic, Northern, Eastern Senegal-Guinea, Tenda, Badyara","Niger–Congo,Atlantic–Congo, Atlantic, Northern, Eastern Senegal-Guinea, Tenda, Badyara",pbp,bady1239,"20,510 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Badiaranke_language
1665,Maleng,"Austroasiatic, Vietic, Maleng","Austroasiatic, Vietic, Maleng",Either:titlepkttitle – Pakatantitlebgltitle – Bo,male1282title  Malengtitlebola1249title  Bo-Maleng,"3,700 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Maleng_language
1666,Dhuwal,"Pama–Nyungan, Yolŋu languages, Southern (Dhuwal), Dhuwal","Pama–Nyungan, Yolŋu languages, Southern (Dhuwal), Dhuwal",Variously:titledwutitle – Dhuwaltitledjrtitle – Djambarrpuyngutitlegnntitle – Gumatjtitleguftitle – Gupapuyngutitledaxtitle – Dayi (Dhay'yi)titledwytitle – Dhuwaya,dhuw1248title  Dhuwal-Dhuwalatitledayi1244title  Dayi,"4,200 ",Northern Territory,Northern Territory (as lingua franca for Aboriginal people),Unknown,https://en.wikipedia.org/wiki/Dhuwal_language
1667,Woleaian,"Austronesian, Malayo-Polynesian, Oceanic, Micronesian, Nuclear Micronesian, Chuukic, Ulithian–Woleaian, Woleaian","Austronesian, Malayo-Polynesian, Oceanic, Micronesian, Nuclear Micronesian, Chuukic, Ulithian–Woleaian, Woleaian",woe,wole1240,Uknown,Woleai,Federated States of Micronesia,Unknown,https://en.wikipedia.org/wiki/Woleaian_language
1668,Njerep,"Niger–Congo,Atlantic–Congo, Benue–Congo, Mambiloid, Mambila–Konja, Njerep","Niger–Congo,Atlantic–Congo, Benue–Congo, Mambiloid, Mambila–Konja, Njerep",njr,njer1242,Uknown,"Adamawa Region, Cameroon",Unknown,Unknown,https://en.wikipedia.org/wiki/Njerep_language
1669,Kumzari,"Indo-European, Indo-Iranian, Iranian, Western Iranian, Southwestern, Kumzari","Indo-European, Indo-Iranian, Iranian, Western Iranian, Southwestern, Kumzari",zum,kumz1235,"6,000 ","Kumzar, Hajar Mountains",Unknown,Unknown,https://en.wikipedia.org/wiki/Kumzari_language
1670,Siraya,"Austronesian, East Formosan, Sirayaic, Siraya","Austronesian, East Formosan, Sirayaic, Siraya",fos,sira1267title  Sirayaictitlenucl1578title  Siraya,Uknown,"Southwestern, around present-day Tainan",Unknown,Unknown,https://en.wikipedia.org/wiki/Siraiya_language
1671,Sorbian_language,Uknown,Uknown,Not provided,sorb1249,"c. 20,000",,Unknown,Unknown,https://en.wikipedia.org/wiki/Sorbian_language
1672,Umpila,"Pama–Nyungan, Paman, North Cape York, Umpila","Pama–Nyungan, Paman, North Cape York, Umpila",Variously:titlekbetitle – Kanjutitlekuytitle – Kuuku-Yaʼutitleumptitle – Umpila,nort2759,12 ,"Cape York Peninsula, Queensland",Unknown,Unknown,https://en.wikipedia.org/wiki/Pakadji_language
1673,Arhuaco,"Chibchan, Arwako–Chimila, Arwako languages, Arhuaco","Chibchan, Arwako–Chimila, Arwako languages, Arhuaco",arh,arhu1242,"8,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Aruaco_language
1674,Lhokpu,"Sino-Tibetan, Tibeto-Burman, Kiranti,  Dhimalish,  Lhokpu","Sino-Tibetan, Tibeto-Burman, Kiranti,  Dhimalish,  Lhokpu",lhp,lhok1238,Uknown,"southwest Bhutan (Samtse, Chukha)",Unknown,Unknown,https://en.wikipedia.org/wiki/Lhokpu_language
1675,Bat,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Bat
1676,Fagani,"Austronesian, Malayo-Polynesian, Oceanic, Southeast Solomonic, Malaita – San Cristobal, San Cristobal, Fagani","Austronesian, Malayo-Polynesian, Oceanic, Southeast Solomonic, Malaita – San Cristobal, San Cristobal, Fagani",faf,faga1239,Uknown,Solomon Islands,Unknown,Unknown,https://en.wikipedia.org/wiki/Faghani_language
