iso6393,glottocode,aes_status,Wikipedia_Url
gui,east2555,threatened,https://en.wikipedia.org/wiki/Eastern_Bolivian_Guaran%C3%AD_language
guj,guja1252,not endangered,https://en.wikipedia.org/wiki/Gujarati_language
guk,gumu1244,not endangered,https://en.wikipedia.org/wiki/Gumuz_language
gul,gull1241,threatened,https://en.wikipedia.org/wiki/Gullah_language
gum,guam1248,threatened,
gun,mbya1239,threatened,https://en.wikipedia.org/wiki/Mby%C3%A1_Guaran%C3%AD_language
guo,guay1257,threatened,https://en.wikipedia.org/wiki/Guayabero_language
gup,gunw1252,shifting,https://en.wikipedia.org/wiki/Bininj_Gun-Wok
guq,ache1246,moribund,https://en.wikipedia.org/wiki/Ach%C3%A9_language
gur,fare1241,not endangered,https://en.wikipedia.org/wiki/Frafra_language
gus,guin1250,not endangered,
gut,male1297,shifting,https://en.wikipedia.org/wiki/Mal%C3%A9ku_language
guu,yano1261,threatened,https://en.wikipedia.org/wiki/Yanomam%C3%B6_language
guw,gunn1250,not endangered,https://en.wikipedia.org/wiki/Gun_language
gux,gour1243,not endangered,https://en.wikipedia.org/wiki/Gourmanch%C3%A9_language
guz,gusi1247,not endangered,https://en.wikipedia.org/wiki/Gusii_language
gva,guan1268,nearly extinct,https://en.wikipedia.org/wiki/Kaskih%C3%A1_language
gvc,guan1269,shifting,https://en.wikipedia.org/wiki/Wanano_language
gve,duwe1237,shifting,https://en.wikipedia.org/wiki/Duwet_language
gvf,goli1247,not endangered,https://en.wikipedia.org/wiki/Golin_language
gvj,guaj1256,shifting,https://en.wikipedia.org/wiki/Guaj%C3%A1_language
gvl,gula1268,not endangered,https://en.wikipedia.org/wiki/Gulay_language
gvm,gurm1246,shifting,https://en.wikipedia.org/wiki/Gurmana_language
gvn,kuku1273,shifting,https://en.wikipedia.org/wiki/Guugu_Yalandji_language
gvo,gavi1246,shifting,https://en.wikipedia.org/wiki/Gavi%C3%A3o_of_Jiparan%C3%A1
gvp,para1315,shifting,
gvr,guru1261,shifting,https://en.wikipedia.org/wiki/Gurung_language
gvs,guma1254,not endangered,https://en.wikipedia.org/wiki/Gumawana_language
gvy,guya1249,extinct,
gwa,mbat1247,not endangered,https://en.wikipedia.org/wiki/Mbato_language
gwb,gwaa1239,threatened,https://en.wikipedia.org/wiki/Gwa_language
gwc,kala1373,shifting,https://en.wikipedia.org/wiki/Kalami_language
gwd,gaww1239,not endangered,https://en.wikipedia.org/wiki/Ale_language
gwe,gwen1239,shifting,https://en.wikipedia.org/wiki/Gweno_language
gwf,gowr1239,shifting,https://en.wikipedia.org/wiki/Gowro_language
gwg,mooo1239,not endangered,https://en.wikipedia.org/wiki/Moo_language
gwi,gwic1235,moribund,https://en.wikipedia.org/wiki/Gwich%CA%BCin_language
gwj,gwii1239,shifting,https://en.wikipedia.org/wiki/G%C7%80ui_dialect
gwm,awng1245,extinct,https://en.wikipedia.org/wiki/Awngthim_language
gwn,gwan1268,threatened,https://en.wikipedia.org/wiki/Gwandara_language
gwr,gwer1238,not endangered,https://en.wikipedia.org/wiki/Gwere_language
gwt,gawa1247,threatened,https://en.wikipedia.org/wiki/Gawar-Bati_language
gwu,guwa1243,extinct,
gww,kwin1241,extinct,
gwx,guaa1238,not endangered,https://en.wikipedia.org/wiki/Gua_language
gxx,weso1238,not endangered,
gya,nort2775,not endangered,https://en.wikipedia.org/wiki/Northwest_Gbaya_language
gyb,garu1246,not endangered,https://en.wikipedia.org/wiki/Garus_language
gyd,kaya1319,nearly extinct,https://en.wikipedia.org/wiki/Kayardild_language
gye,gyem1238,shifting,https://en.wikipedia.org/wiki/Gyem_language
gyf,gung1248,extinct,
gyg,gbay1278,shifting,
gyi,gyel1242,shifting,
gyl,gayi1237,not endangered,https://en.wikipedia.org/wiki/Gayil_language
gym,ngab1239,shifting,https://en.wikipedia.org/wiki/Guaym%C3%AD_language
gyn,creo1235,not endangered,https://en.wikipedia.org/wiki/Guyanese_Creole
gyo,gyal1236,shifting,
gyr,guar1292,shifting,https://en.wikipedia.org/wiki/Guarayu_language
gyy,guny1241,extinct,
gza,ganz1246,shifting,https://en.wikipedia.org/wiki/Ganza_language
gzi,gazi1243,shifting,https://en.wikipedia.org/wiki/Gazi_language
gzn,gane1237,threatened,https://en.wikipedia.org/wiki/Gane_language
haa,hann1241,nearly extinct,https://en.wikipedia.org/wiki/H%C3%A4n_language
hab,hano1243,shifting,https://en.wikipedia.org/wiki/Hanoi_Sign_Language
hac,gura1251,threatened,https://en.wikipedia.org/wiki/Gorani_language
had,hata1243,threatened,https://en.wikipedia.org/wiki/Hatam_language
hae,east2652,not endangered,https://en.wikipedia.org/wiki/Eastern_Oromo_language
haf,haip1238,shifting,https://en.wikipedia.org/wiki/Haiphong_Sign_Language
hag,hang1258,shifting,https://en.wikipedia.org/wiki/Hanga_language
hah,haho1237,threatened,https://en.wikipedia.org/wiki/Hahon_language
haj,hajo1238,not endangered,https://en.wikipedia.org/wiki/Hajong_language
hak,hakk1236,not endangered,https://en.wikipedia.org/wiki/Hakka_Chinese
hal,hala1252,threatened,https://en.wikipedia.org/wiki/Halang_language
ham,hewa1241,shifting,https://en.wikipedia.org/wiki/Hewa_language
han,hang1260,not endangered,https://en.wikipedia.org/wiki/Hangaza_language
hao,hako1237,not endangered,https://en.wikipedia.org/wiki/Hak%C3%B6_language
hap,hupl1238,threatened,https://en.wikipedia.org/wiki/Hupla_language
haq,haaa1252,not endangered,https://en.wikipedia.org/wiki/Ha_language
har,hara1271,not endangered,https://en.wikipedia.org/wiki/Harari_language
has,hais1244,nearly extinct,https://en.wikipedia.org/wiki/Haisla_language
hat,hait1244,not endangered,https://en.wikipedia.org/wiki/Haitian_Creole
hau,haus1257,not endangered,https://en.wikipedia.org/wiki/Hausa_language
hav,havu1238,not endangered,https://en.wikipedia.org/wiki/Havu_language
haw,hawa1245,moribund,https://en.wikipedia.org/wiki/Hawaiian_language
hax,sout2956,nearly extinct,
hay,haya1250,not endangered,https://en.wikipedia.org/wiki/Haya_language
haz,haza1239,not endangered,https://en.wikipedia.org/wiki/Hazaragi_dialect
hba,hamb1245,not endangered,
hbb,huba1236,not endangered,https://en.wikipedia.org/wiki/Huba_language
hbn,heib1243,threatened,https://en.wikipedia.org/wiki/Heiban_language
hbo,anci1244,extinct,https://en.wikipedia.org/wiki/Biblical_Hebrew
hbs,sout1528,not endangered,https://en.wikipedia.org/wiki/Serbo-Croatian
hbu,habu1241,shifting,https://en.wikipedia.org/wiki/Habun_language
hca,anda1280,not endangered,https://en.wikipedia.org/wiki/Andaman_Creole_Hindi
hch,huic1243,threatened,https://en.wikipedia.org/wiki/Huichol_language
hdn,nort2938,nearly extinct,
hds,hond1239,shifting,https://en.wikipedia.org/wiki/Honduran_Sign_Language
hdy,hadi1240,not endangered,https://en.wikipedia.org/wiki/Hadiyya_language
hea,nort2747,threatened,
heb,hebr1245,not endangered,https://en.wikipedia.org/wiki/Modern_Hebrew
hed,herd1236,not endangered,
heg,helo1243,shifting,https://en.wikipedia.org/wiki/Helong_language
heh,hehe1240,threatened,https://en.wikipedia.org/wiki/Hehe_language
hei,heil1246,nearly extinct,https://en.wikipedia.org/wiki/Heiltsuk-Oowekyala_language
hem,hemb1242,not endangered,https://en.wikipedia.org/wiki/Hemba_language
her,here1253,threatened,https://en.wikipedia.org/wiki/Herero_language
hgm,haio1238,not endangered,https://en.wikipedia.org/wiki/%C7%82Aakhoe_dialect
hgw,haig1237,not endangered,https://en.wikipedia.org/wiki/Haigwai_language
hhi,hoia1235,not endangered,
hhr,kera1248,not endangered,
hhy,hoya1235,shifting,
