,iso6393,glottocode,aes_status
214,aky,akak1253,extinct
215,akz,alab1237,shifting
216,ala,alag1242,threatened
217,alc,qawa1238,nearly extinct
218,ald,alla1248,not endangered
219,ale,aleu1260,shifting
220,alf,aleg1238,not endangered
221,alh,alaw1244,nearly extinct
222,ali,amai1246,not endangered
223,alj,alan1249,threatened
224,alk,alak1253,not endangered
225,all,alla1247,shifting
226,alm,ambl1237,shifting
227,aln,gheg1238,not endangered
228,alo,lari1255,threatened
229,alp,alun1238,threatened
230,alq,algo1255,threatened
231,alr,alut1245,moribund
232,als,tosk1239,not endangered
233,alt,sout2694,shifting
234,alu,area1240,not endangered
235,alw,alab1254,not endangered
236,alx,amol1235,shifting
237,aly,alya1239,threatened
238,alz,alur1250,not endangered
239,ama,aman1266,extinct
240,amb,ambo1249,threatened
241,amc,amah1246,shifting
242,ame,yane1238,shifting
243,amf,hame1242,threatened
244,amg,amar1271,nearly extinct
245,amh,amha1245,not endangered
246,ami,amis1246,threatened
247,amj,amda1238,shifting
248,amk,amba1265,threatened
249,aml,warj1242,not endangered
250,amm,amap1240,threatened
251,amn,aman1265,shifting
252,amo,amoo1242,not endangered
253,amp,alam1246,shifting
254,amq,amah1245,nearly extinct
255,amr,amar1274,shifting
256,ams,sout2954,moribund
257,amt,amto1250,shifting
258,amu,guer1243,threatened
259,amv,ambe1248,threatened
260,amw,west2763,shifting
261,amx,anma1239,shifting
262,amy,amii1238,nearly extinct
263,amz,atam1239,extinct
264,ana,anda1286,extinct
265,anb,ando1255,extinct
266,anc,ngas1240,threatened
267,and,ansu1237,threatened
268,ane,xara1244,not endangered
269,anf,anim1239,moribund
270,ang,olde1238,extinct
271,anh,nend1239,threatened
272,ani,andi1255,threatened
273,anj,anor1241,shifting
274,ank,goem1240,threatened
275,anl,anuu1241,threatened
276,anm,anal1239,shifting
277,ann,obol1243,not endangered
278,ano,ando1256,nearly extinct
279,anp,angi1238,threatened
280,anq,jara1245,threatened
281,anr,andh1242,threatened
282,ans,anse1238,extinct
283,ant,anta1253,nearly extinct
284,anu,anua1242,not endangered
285,anv,deny1238,threatened
286,anw,anaa1238,threatened
287,anx,andr1248,not endangered
288,any,anyi1245,not endangered
289,anz,anem1249,shifting
290,aoa,ango1258,threatened
291,aob,abom1238,nearly extinct
292,aoc,pemo1248,threatened
293,aod,anda1284,shifting
294,aoe,anga1294,not endangered
295,aof,brag1240,shifting
296,aog,ango1255,shifting
297,aoi,anin1240,shifting
298,aoj,mufi1238,threatened
299,aok,arho1237,moribund
300,aol,alor1247,not endangered
301,aom,omie1241,not endangered
302,aon,bumb1241,shifting
303,aor,aore1237,extinct
304,aos,taik1255,shifting
305,aot,aton1241,shifting
306,aou,aoua1234,nearly extinct
307,aox,ator1244,moribund
308,aoz,uabm1237,not endangered
309,apb,saaa1240,not endangered
310,apc,nort3139,not endangered
311,apd,suda1236,not endangered
312,ape,buki1249,shifting
313,apf,agta1234,not endangered
314,apg,ampa1239,threatened
315,aph,athp1241,shifting
316,api,apia1248,extinct
317,apj,jica1244,shifting
318,apk,kiow1264,extinct
319,apl,lipa1241,extinct
320,apm,mesc1238,shifting
321,apn,apin1244,shifting
322,apo,apal1255,not endangered
323,app,apma1240,not endangered
324,apq,apuc1241,extinct
325,apr,arop1243,not endangered
326,aps,arop1242,not endangered
327,apt,apat1240,threatened
328,apu,apur1254,shifting
329,apv,alap1235,extinct
330,apw,west2615,shifting
331,apx,aput1237,shifting
332,apy,apal1257,shifting
333,apz,safe1240,not endangered
334,aqc,arch1244,shifting
335,aqd,ampa1238,shifting
336,aqg,arig1246,not endangered
337,aqm,atoh1238,threatened
338,aqn,nort2875,shifting
339,aqp,atak1252,extinct
340,aqr,arha1237,moribund
341,aqt,anga1316,moribund
342,aqz,akun1241,nearly extinct
343,arb,stan1318,not endangered
344,arc,impe1235,extinct
345,ard,arab1267,extinct
346,are,west2441,shifting
347,arg,arag1245,shifting
348,arh,arhu1242,threatened
349,ari,arik1262,nearly extinct
350,arj,arap1275,extinct
351,ark,arik1265,extinct
352,arl,arab1268,nearly extinct
353,arn,mapu1245,shifting
354,aro,arao1248,shifting
355,arp,arap1274,moribund
356,arq,alge1239,not endangered
357,arr,karo1305,shifting
358,ars,najd1235,not endangered
359,aru,arua1263,extinct
360,arv,arbo1245,shifting
361,arw,araw1276,moribund
362,arx,arua1261,nearly extinct
363,ary,moro1292,not endangered
364,arz,egyp1253,not endangered
365,asa,asut1235,not endangered
366,asb,assi1247,shifting
367,asc,casu1237,threatened
368,ase,amer1248,not endangered
369,asf,aust1271,shifting
370,asg,cish1238,not endangered
371,ash,abis1238,extinct
372,asi,buru1308,shifting
373,asj,nsar1238,not endangered
374,ask,ashk1246,shifting
375,asl,asil1242,threatened
376,asm,assa1263,not endangered
377,asn,xing1248,shifting
378,aso,dano1240,not endangered
379,asp,alge1235,not endangered
380,asq,aust1252,not endangered
381,asr,asur1254,shifting
382,ass,ipul1238,not endangered
383,ast,astu1245,not endangered
384,asu,toca1235,shifting
385,asv,asoa1238,not endangered
386,asw,aust1253,threatened
387,asx,mura1271,not endangered
388,asy,yaos1235,shifting
389,asz,asss1237,nearly extinct
390,ata,pele1245,shifting
391,atb,zaiw1241,not endangered
392,atc,atsa1242,extinct
393,atd,atam1240,not endangered
394,ate,atem1241,nearly extinct
395,atg,ivbi1241,not endangered
396,ati,atti1239,not endangered
397,atj,atik1240,threatened
398,atk,atii1237,shifting
399,atl,mtir1236,nearly extinct
400,atm,ataa1240,nearly extinct
401,atn,asht1244,threatened
402,ato,aton1242,threatened
403,atp,pudt1235,threatened
404,atq,aral1243,not endangered
405,atr,waim1253,shifting
406,ats,gros1243,extinct
407,att,pamp1244,not endangered
408,atu,reel1238,threatened
409,atv,nort2686,shifting
410,atw,atsu1245,extinct
411,atx,arut1244,nearly extinct
412,aty,anei1239,shifting
413,atz,arta1239,nearly extinct
414,aua,asum1237,moribund
415,aub,alug1235,not endangered
416,auc,waor1240,shifting
417,aud,anut1237,shifting
418,aug,agun1238,shifting
419,auh,aush1241,not endangered
420,aui,anuk1239,shifting
421,auj,awji1241,shifting
422,auk,heyo1240,shifting
423,aul,aulu1238,shifting
424,aum,asun1235,threatened
425,aun,molm1235,shifting
426,auo,auyo1240,extinct
427,aup,maka1315,not endangered
428,auq,anus1237,shifting
429,aur,arue1240,shifting
430,aut,aust1304,shifting
431,auu,auye1238,shifting
432,auw,awyi1241,shifting
433,aux,aura1243,extinct
434,auy,awiy1238,not endangered
435,auz,uzbe1248,shifting
436,ava,avar1256,threatened
437,avb,avau1237,not endangered
438,avd,alvi1241,moribund
439,ave,aves1237,extinct
440,avi,avik1243,not endangered
441,avl,east2690,not endangered
442,avm,angg1238,extinct
443,avn,avat1244,not endangered
444,avo,agav1236,extinct
445,avs,aush1242,extinct
446,avt,auuu1241,shifting
447,avu,avok1242,not endangered
448,avv,avac1239,moribund
449,awa,awad1243,not endangered
450,awb,awap1236,not endangered
451,awc,cici1237,threatened
452,awe,awet1244,shifting
453,awg,angu1242,extinct
454,awh,awbo1238,threatened
455,awi,aeky1238,not endangered
456,awk,awab1243,extinct
457,awm,araw1272,moribund
458,awn,awng1244,not endangered
459,awo,awak1250,not endangered
460,awr,awer1241,extinct
461,aws,sout2941,threatened
462,awt,araw1273,shifting
463,awu,cent2118,threatened
464,awv,jair1235,threatened
465,aww,awun1245,shifting
466,awx,awar1248,not endangered
467,awy,eder1237,threatened
468,axb,abip1241,extinct
469,axe,ayer1246,extinct
470,axg,mato1253,extinct
471,axk,yaka1272,threatened
472,axl,lowe1436,extinct
473,axx,xara1243,threatened
474,aya,awar1249,moribund
475,ayb,ayiz1245,not endangered
476,ayc,sout2996,not endangered
477,ayd,ayab1239,extinct
478,aye,ayer1245,threatened
479,ayg,giny1241,not endangered
480,ayh,hadr1236,not endangered
