,iso6393,glottocode,aes_status
1864,fir,fira1238,threatened
1865,fit,torn1244,moribund
1866,fiw,fiwa1240,threatened
1867,fkk,kiry1234,not endangered
1868,fkv,kven1236,moribund
1869,fla,kali1308,moribund
1870,flh,foau1240,shifting
1871,fli,fali1285,not endangered
1872,fll,nort2770,threatened
1873,fln,flin1247,extinct
1874,flr,fuli1240,not endangered
1875,fly,tsot1242,extinct
1876,fmp,fefe1239,not endangered
1877,fmu,farw1235,not endangered
1878,fnb,orko1234,moribund
1879,fng,fana1235,extinct
1880,fni,fani1244,shifting
1881,fod,food1238,not endangered
1882,foi,foii1241,threatened
1883,fom,foma1238,not endangered
1884,fon,fonn1241,not endangered
1885,for,fore1270,not endangered
1886,fos,sira1267,extinct
1887,fpe,fern1234,not endangered
1888,fqs,fass1245,shifting
1889,fra,stan1290,not endangered
1890,frc,caju1236,shifting
1891,frd,ford1242,threatened
1892,frk,fran1264,extinct
1893,fro,oldf1239,extinct
1894,frp,fran1260,shifting
1895,frq,fora1245,threatened
1896,frr,nort2626,shifting
1897,frs,nort2628,threatened
1898,frt,fort1240,shifting
1899,fry,west2354,not endangered
1900,fse,finn1310,shifting
1901,fsl,fren1243,not endangered
1902,fss,finl1235,shifting
1903,fub,adam1253,not endangered
1904,fuc,pula1263,not endangered
1905,fud,east2447,not endangered
1906,fue,borg1235,not endangered
1907,fuf,pula1262,not endangered
1908,fuh,west2454,not endangered
1909,fui,bagi1244,not endangered
1910,fuj,kooo1244,shifting
1911,fum,fumm1238,not endangered
1912,fun,fuln1247,shifting
1913,fuq,cent2018,not endangered
1914,fur,friu1240,threatened
1915,fut,futu1245,not endangered
1916,fuu,furu1242,not endangered
1917,fuv,nige1253,not endangered
1918,fuy,fuyu1242,not endangered
1919,fvr,furr1244,not endangered
1920,fwa,fwai1237,threatened
1921,fwe,fwee1238,not endangered
1922,gaa,gaaa1244,not endangered
1923,gab,gabr1253,not endangered
1924,gac,mixe1288,extinct
1925,gad,gadd1244,not endangered
1926,gae,guar1293,shifting
1927,gaf,gend1249,not endangered
1928,gag,gaga1249,threatened
1929,gah,alek1238,threatened
1930,gai,bore1247,shifting
1931,gaj,gads1258,not endangered
1932,gak,gamk1238,shifting
1933,gal,galo1243,threatened
1934,gam,kand1303,not endangered
1935,gan,ganc1239,not endangered
1936,gao,gant1244,not endangered
1937,gap,gall1278,threatened
1938,gaq,gata1239,shifting
1939,gar,gale1257,not endangered
1940,gas,adiw1235,not endangered
1941,gat,kena1250,not endangered
1942,gau,mudh1235,shifting
1943,gaw,nobo1238,not endangered
1944,gax,bora1271,not endangered
1945,gay,gayo1244,threatened
1946,gaz,west2721,not endangered
1947,gbb,kayt1238,shifting
1948,gbd,kara1476,nearly extinct
1949,gbe,niks1238,shifting
1950,gbf,gaik1242,shifting
1951,gbg,gban1258,threatened
1952,gbh,defi1235,not endangered
1953,gbi,gale1259,shifting
1954,gbj,bodo1267,shifting
1955,gbk,gadd1242,not endangered
1956,gbl,gami1242,not endangered
1957,gbm,garh1243,threatened
1958,gbn,moda1242,shifting
1959,gbo,nort2810,not endangered
1960,gbp,gbay1287,not endangered
1961,gbq,gbay1286,not endangered
1962,gbr,gbag1258,threatened
1963,gbs,gbes1238,not endangered
1964,gbu,gaga1251,extinct
1965,gbv,gban1260,not endangered
1966,gbw,kabi1260,extinct
1967,gbx,east2390,not endangered
1968,gby,gbar1246,not endangered
1969,gbz,zoro1242,shifting
1970,gcc,mali1284,threatened
1971,gcd,gang1267,extinct
1972,gce,gali1261,extinct
1973,gcf,guad1242,not endangered
1974,gcl,gren1247,not endangered
1975,gcn,gain1243,not endangered
1976,gcr,guia1246,not endangered
1977,gct,colo1254,shifting
1978,gda,gade1236,not endangered
1979,gdb,pott1240,threatened
1980,gdc,gugu1253,extinct
1981,gdd,geda1237,not endangered
1982,gde,gude1246,threatened
1983,gdf,gudu1252,not endangered
1984,gdg,gada1258,not endangered
1985,gdh,gadj1243,extinct
1986,gdi,gund1247,not endangered
1987,gdj,gurd1238,extinct
1988,gdk,gada1262,shifting
1989,gdl,dira1242,not endangered
1990,gdm,laal1242,shifting
1991,gdn,uman1240,not endangered
1992,gdo,ghod1238,shifting
1993,gdq,mehr1241,not endangered
1994,gdr,wipi1242,not endangered
1995,gds,ghan1245,threatened
1996,gdu,gudu1250,not endangered
1997,gdx,godw1241,threatened
1998,gea,geru1240,shifting
1999,geb,kire1240,shifting
2000,gec,gbol1235,not endangered
2001,ged,gade1242,threatened
2002,geg,geng1243,not endangered
2003,geh,hutt1235,not endangered
2004,gei,gebe1237,shifting
2005,gej,genn1243,not endangered
2006,gek,yiwo1237,not endangered
2007,gel,kagf1238,not endangered
2008,geq,geme1244,shifting
2009,ges,gese1240,not endangered
2010,gev,eviy1235,moribund
2011,gew,gera1246,threatened
2012,gex,garr1259,threatened
2013,gey,enya1247,not endangered
2014,gez,geez1241,extinct
2015,gfk,patp1243,not endangered
2016,gft,gafa1240,extinct
2017,gga,gaoo1237,shifting
2018,ggb,gbii1242,shifting
2019,ggd,guga1239,extinct
2020,gge,gura1252,nearly extinct
2021,ggg,gurg1240,not endangered
2022,ggk,kung1259,extinct
2023,ggl,gang1270,threatened
2024,ggt,gitu1237,not endangered
2025,ggu,gagu1242,not endangered
2026,ggw,gogo1265,not endangered
2027,gha,ghad1239,shifting
2028,ghc,hibe1235,extinct
2029,ghe,sout2715,threatened
2030,ghh,nort2709,threatened
2031,ghk,geko1235,not endangered
2032,ghl,ghul1238,shifting
2033,ghn,ghan1242,not endangered
2034,gho,ghom1257,shifting
2035,ghr,gher1238,not endangered
2036,ghs,guhu1244,not endangered
2037,ght,kuta1241,threatened
2038,gia,kitj1240,nearly extinct
2039,gib,giba1240,extinct
2040,gic,gail1235,extinct
2041,gid,gida1247,not endangered
2042,gie,gabo1234,threatened
2043,gig,goar1239,not endangered
2044,gih,cond1242,extinct
2045,gil,gilb1244,not endangered
2046,gim,gimi1243,not endangered
2047,gin,hinu1240,shifting
2048,gip,gimi1242,not endangered
2049,giq,gree1278,moribund
2050,gir,redg1235,nearly extinct
2051,gis,nort3047,not endangered
2052,git,gitx1241,moribund
2053,giu,gela1264,extinct
2054,giw,whit1267,moribund
2055,gix,gili1241,not endangered
2056,giy,giyu1238,extinct
2057,giz,sout3051,not endangered
2058,gjk,kach1272,not endangered
2059,gjm,warr1257,extinct
2060,gjn,gonj1241,not endangered
2061,gjr,guri1249,not endangered
2062,gju,guja1253,not endangered
2063,gka,guya1251,shifting
2064,gkd,magi1243,moribund
2065,gke,ndai1238,nearly extinct
2066,gkn,goka1239,not endangered
2067,gko,kokn1236,extinct
2068,gkp,guin1254,not endangered
2069,gku,dans1240,extinct
2070,gla,scot1245,shifting
2071,glc,bong1282,shifting
2072,gld,nana1257,moribund
2073,gle,iris1253,shifting
2074,glg,gali1258,not endangered
2075,glh,nort2665,threatened
2076,glj,gula1265,not endangered
2077,glk,gila1241,not endangered
2078,gll,kala1380,extinct
2079,glo,gala1264,moribund
2080,glr,glar1241,threatened
2081,glu,gula1269,not endangered
2082,glv,manx1243,extinct
2083,glw,glav1244,not endangered
2084,gly,gule1241,extinct
2085,gma,gamb1251,extinct
2086,gmb,gula1270,not endangered
2087,gmd,magh1238,shifting
2088,gmg,magi1244,not endangered
2089,gmh,midd1343,extinct
2090,gml,midd1318,extinct
2091,gmm,gbay1281,not endangered
2092,gmn,gimn1238,threatened
2093,gmr,mirn1245,nearly extinct
2094,gmu,guma1255,not endangered
2095,gmv,gamo1243,not endangered
2096,gmx,mago1246,not endangered
2097,gmy,myce1241,extinct
2098,gna,kaan1246,not endangered
2099,gnb,gang1266,threatened
2100,gnc,guan1277,extinct
2101,gnd,zulg1242,not endangered
2102,gne,gana1270,threatened
2103,gng,ngan1299,not endangered
2104,gnh,lere1241,extinct
2105,gni,goon1238,moribund
2106,gnj,ngen1256,threatened
2107,gnk,gana1274,shifting
2108,gnl,gang1268,extinct
2109,gnm,ginu1240,not endangered
2110,gnn,guma1253,shifting
2111,gno,nort2702,threatened
2112,gnq,gana1277,shifting
2113,gnr,gure1255,extinct
2114,gnt,gunt1241,not endangered
2115,gnu,gnau1240,shifting
2116,gnw,west2640,shifting
2117,gnz,ganz1247,shifting
2118,goa,guro1248,not endangered
2119,gob,play1240,shifting
2120,goc,gora1262,not endangered
2121,god,godi1239,not endangered
2122,goe,gong1251,shifting
2123,gof,gofa1235,not endangered
2124,gog,gogo1263,not endangered
2125,goh,oldh1241,extinct
2126,goi,goba1246,not endangered
2127,goj,gowl1242,not endangered
2128,gok,gowl1241,not endangered
2129,gol,gola1255,not endangered
2130,gom,goan1235,not endangered
2131,goo,gone1237,not endangered
2132,gop,yere1243,shifting
2133,goq,gora1261,shifting
2134,gor,goro1259,threatened
2135,gos,gron1242,threatened
2136,got,goth1244,extinct
2137,gou,gava1241,threatened
2138,gow,goro1270,not endangered
2139,gox,gobu1238,not endangered
2140,goy,goun1238,nearly extinct
2141,goz,goza1238,shifting
2142,gpa,gupa1248,not endangered
2143,gpe,ghan1244,not endangered
2144,gpn,taia1239,moribund
2145,gqa,gaan1243,threatened
2146,gqi,guiq1238,shifting
2147,gqn,guan1270,extinct
2148,gqr,gorr1238,not endangered
2149,gqu,qaua1234,moribund
2150,gra,rajp1235,not endangered
2151,grc,anci1242,extinct
2152,grd,guru1271,threatened
2153,grg,madi1261,shifting
2154,grh,gbir1241,not endangered
2155,gri,ghar1239,not endangered
2156,grj,sout2826,not endangered
2157,grm,kota1279,threatened
2158,gro,grom1238,threatened
2159,grq,goro1261,nearly extinct
2160,grr,tazn1238,threatened
2161,grs,gres1240,moribund
2162,grt,garo1247,threatened
2163,gru,kist1241,not endangered
2164,grv,cent2041,not endangered
2165,grw,gwed1239,moribund
2166,grx,guri1248,shifting
2167,gry,barc1235,not endangered
2168,grz,gura1254,extinct
2169,gse,ghan1235,not endangered
2170,gsg,germ1281,not endangered
2171,gsl,gusi1246,threatened
2172,gsm,guat1249,shifting
2173,gsn,gusa1246,not endangered
2174,gso,sout2785,not endangered
2175,gsp,wase1252,not endangered
2176,gss,gree1271,not endangered
2177,gsw,swis1247,threatened
2178,gta,guat1253,nearly extinct
2179,gtu,aghu1256,extinct
2180,gua,shik1242,shifting
2181,gub,guaj1255,threatened
2182,guc,wayu1243,threatened
2183,gud,yoco1235,not endangered
2184,gue,guri1247,shifting
2185,guf,gupa1247,shifting
2186,gug,para1311,not endangered
2187,guh,guah1255,threatened
2188,gui,east2555,threatened
2189,guj,guja1252,not endangered
2190,guk,gumu1244,not endangered
2191,gul,gull1241,threatened
2192,gum,guam1248,threatened
2193,gun,mbya1239,threatened
2194,guo,guay1257,threatened
2195,gup,gunw1252,shifting
2196,guq,ache1246,moribund
2197,gur,fare1241,not endangered
2198,gus,guin1250,not endangered
2199,gut,male1297,shifting
2200,guu,yano1261,threatened
2201,guw,gunn1250,not endangered
2202,gux,gour1243,not endangered
2203,guz,gusi1247,not endangered
2204,gva,guan1268,nearly extinct
2205,gvc,guan1269,shifting
2206,gve,duwe1237,shifting
2207,gvf,goli1247,not endangered
2208,gvj,guaj1256,shifting
2209,gvl,gula1268,not endangered
2210,gvm,gurm1246,shifting
2211,gvn,kuku1273,shifting
2212,gvo,gavi1246,shifting
2213,gvp,para1315,shifting
2214,gvr,guru1261,shifting
2215,gvs,guma1254,not endangered
2216,gvy,guya1249,extinct
2217,gwa,mbat1247,not endangered
2218,gwb,gwaa1239,threatened
2219,gwc,kala1373,shifting
2220,gwd,gaww1239,not endangered
2221,gwe,gwen1239,shifting
2222,gwf,gowr1239,shifting
2223,gwg,mooo1239,not endangered
2224,gwi,gwic1235,moribund
2225,gwj,gwii1239,shifting
2226,gwm,awng1245,extinct
2227,gwn,gwan1268,threatened
2228,gwr,gwer1238,not endangered
2229,gwt,gawa1247,threatened
2230,gwu,guwa1243,extinct
2231,gww,kwin1241,extinct
2232,gwx,guaa1238,not endangered
2233,gxx,weso1238,not endangered
2234,gya,nort2775,not endangered
2235,gyb,garu1246,not endangered
2236,gyd,kaya1319,nearly extinct
2237,gye,gyem1238,shifting
2238,gyf,gung1248,extinct
2239,gyg,gbay1278,shifting
2240,gyi,gyel1242,shifting
2241,gyl,gayi1237,not endangered
2242,gym,ngab1239,shifting
2243,gyn,creo1235,not endangered
2244,gyo,gyal1236,shifting
2245,gyr,guar1292,shifting
2246,gyy,guny1241,extinct
2247,gza,ganz1246,shifting
2248,gzi,gazi1243,shifting
2249,gzn,gane1237,threatened
2250,haa,hann1241,nearly extinct
2251,hab,hano1243,shifting
2252,hac,gura1251,threatened
2253,had,hata1243,threatened
2254,hae,east2652,not endangered
2255,haf,haip1238,shifting
2256,hag,hang1258,shifting
2257,hah,haho1237,threatened
2258,haj,hajo1238,not endangered
2259,hak,hakk1236,not endangered
2260,hal,hala1252,threatened
2261,ham,hewa1241,shifting
2262,han,hang1260,not endangered
2263,hao,hako1237,not endangered
2264,hap,hupl1238,threatened
2265,haq,haaa1252,not endangered
2266,har,hara1271,not endangered
2267,has,hais1244,nearly extinct
2268,hat,hait1244,not endangered
2269,hau,haus1257,not endangered
2270,hav,havu1238,not endangered
2271,haw,hawa1245,moribund
2272,hax,sout2956,nearly extinct
2273,hay,haya1250,not endangered
2274,haz,haza1239,not endangered
2275,hba,hamb1245,not endangered
2276,hbb,huba1236,not endangered
2277,hbn,heib1243,threatened
2278,hbo,anci1244,extinct
2279,hbs,sout1528,not endangered
2280,hbu,habu1241,shifting
2281,hca,anda1280,not endangered
2282,hch,huic1243,threatened
2283,hdn,nort2938,nearly extinct
2284,hds,hond1239,shifting
2285,hdy,hadi1240,not endangered
2286,hea,nort2747,threatened
2287,heb,hebr1245,not endangered
2288,hed,herd1236,not endangered
2289,heg,helo1243,shifting
2290,heh,hehe1240,threatened
2291,hei,heil1246,nearly extinct
2292,hem,hemb1242,not endangered
2293,her,here1253,threatened
2294,hgm,haio1238,not endangered
2295,hgw,haig1237,not endangered
2296,hhi,hoia1235,not endangered
2297,hhr,kera1248,not endangered
2298,hhy,hoya1235,shifting
2299,hia,lama1288,threatened
2300,hib,hibi1243,extinct
2301,hid,hida1246,nearly extinct
2302,hif,fiji1242,not endangered
2303,hig,kamw1239,not endangered
2304,hih,pamo1253,not endangered
2305,hii,hind1267,shifting
2306,hij,hiju1238,shifting
2307,hik,seit1239,threatened
2308,hil,hili1240,not endangered
2309,hin,hind1269,not endangered
2310,hio,tsoa1238,shifting
2311,hir,hima1247,not endangered
2312,hit,hitt1242,extinct
2313,hiw,hiww1237,shifting
2314,hix,hixk1239,shifting
2315,hji,haji1235,not endangered
2316,hka,kahe1238,threatened
2317,hke,hund1239,not endangered
2318,hkk,hunj1241,not endangered
2319,hkn,melk1242,threatened
2320,hks,hong1241,shifting
2321,hla,hali1244,not endangered
2322,hlb,halb1244,not endangered
2323,hld,hala1253,threatened
2324,hle,hler1235,threatened
2325,hlt,ngal1291,not endangered
2326,hlu,hier1240,extinct
2327,hma,sout1556,threatened
2328,hmb,humb1243,not endangered
2329,hmc,cent2013,not endangered
2330,hmd,larg1235,not endangered
2331,hme,east2372,threatened
2332,hmf,hmon1263,not endangered
2333,hmg,sout2756,not endangered
2334,hmh,sout2755,not endangered
2335,hmi,nort2749,not endangered
2336,hmj,geee1239,threatened
2337,hml,luop1235,not endangered
2338,hmm,cent1394,not endangered
2339,hmo,hiri1237,not endangered
2340,hmp,nort1546,not endangered
2341,hmq,east2370,not endangered
2342,hmr,hmar1241,threatened
2343,hms,sout2754,not endangered
2344,hmt,hamt1247,threatened
2345,hmu,hama1240,threatened
2346,hmv,hmon1332,not endangered
2347,hmw,west1507,threatened
2348,hmy,sout1555,not endangered
2349,hmz,hmon1331,not endangered
2350,hna,mina1276,not endangered
2351,hnd,sout2668,not endangered
2352,hne,chha1249,not endangered
2353,hng,hung1280,threatened
2354,hnh,anii1246,shifting
2355,hni,hani1248,not endangered
2356,hnj,hmon1264,not endangered
2357,hnn,hanu1241,not endangered
2358,hno,nort2662,not endangered
2359,hns,cari1275,not endangered
2360,hnu,hung1275,shifting
2361,hoa,hoav1238,shifting
2362,hob,mari1429,not endangered
2363,hoc,hooo1248,not endangered
2364,hod,holm1250,extinct
2365,hoe,horo1245,threatened
2366,hoh,hoby1242,shifting
2367,hoi,holi1241,extinct
2368,hoj,hado1235,not endangered
2369,hol,holu1245,not endangered
2370,hom,homa1239,extinct
2371,hoo,holo1240,threatened
2372,hop,hopi1249,shifting
2373,hor,horo1247,extinct
2374,hos,hoch1237,shifting
2375,hot,hote1245,not endangered
2376,hov,hovo1239,threatened
2377,how,honi1244,not endangered
2378,hoy,holi1239,threatened
2379,hoz,hozo1236,shifting
2380,hpo,hpon1238,extinct
2381,hps,hawa1235,nearly extinct
2382,hra,hran1239,threatened
2383,hrc,niwe1234,not endangered
2384,hre,hree1244,not endangered
2385,hrk,haru1244,moribund
2386,hrm,horn1235,not endangered
2387,hro,haro1237,shifting
2388,hrp,nhir1234,extinct
2389,hrt,hert1241,moribund
2390,hru,hrus1242,shifting
2391,hrv,croa1245,shifting
2392,hrx,riog1239,shifting
2393,hrz,harz1239,threatened
2394,hsb,uppe1395,threatened
2395,hsh,hung1263,not endangered
2396,hsl,haus1246,not endangered
2397,hsn,xian1251,not endangered
2398,hss,hars1241,shifting
2399,hti,hoti1237,extinct
2400,hto,mini1256,shifting
2401,hts,hadz1240,shifting
2402,htu,hitu1239,threatened
2403,hub,huam1247,shifting
2404,huc,hoaa1235,moribund
2405,hud,huau1237,threatened
2406,hue,sanf1258,threatened
2407,huf,hume1246,not endangered
2408,hug,huac1244,nearly extinct
2409,huh,huil1244,moribund
2410,hui,huli1244,not endangered
2411,huj,nort1545,not endangered
2412,huk,hulu1246,extinct
2413,hul,hula1239,not endangered
2414,hum,hung1278,threatened
2415,hun,hung1274,not endangered
2416,huo,huuu1240,shifting
2417,hup,hupa1239,nearly extinct
2418,huq,tsat1238,shifting
2419,hur,halk1245,moribund
2420,hus,huas1242,shifting
2421,hut,huml1238,shifting
2422,huu,muru1274,shifting
2423,huv,sanm1287,threatened
2424,huw,huku1237,extinct
2425,hux,nupo1240,moribund
2426,huy,hula1244,shifting
2427,huz,hunz1247,shifting
2428,hvc,hait1241,extinct
2429,hve,sand1278,threatened
2430,hvk,have1241,shifting
2431,hvn,sabu1255,not endangered
2432,hvv,sant1422,threatened
2433,hwa,wane1242,threatened
2434,hwc,hawa1247,not endangered
2435,hwo,hwan1240,not endangered
2436,hya,hyaa1239,moribund
2437,hye,nucl1235,not endangered
2438,hyw,homs1234,threatened
2439,iai,iaai1238,threatened
2440,ian,iatm1242,shifting
2441,iar,pura1257,shifting
2442,iba,iban1264,not endangered
2443,ibb,ibib1240,not endangered
2444,ibd,iwai1244,shifting
2445,ibe,akpe1248,shifting
2446,ibg,iban1267,not endangered
2447,ibh,biha1246,nearly extinct
2448,ibl,ibal1244,not endangered
2449,ibm,agoi1246,not endangered
2450,ibn,ibin1241,shifting
2451,ibo,nucl1417,not endangered
2452,ibr,ibuo1242,shifting
2453,ibu,ibuu1240,moribund
2454,iby,iban1261,threatened
2455,ica,edei1246,not endangered
2456,ich,etky1238,not endangered
2457,icl,icel1236,not endangered
2458,icr,sana1297,threatened
2459,ida,idak1243,not endangered
2460,idb,dama1278,threatened
2461,idc,idon1238,shifting
2462,idd,edei1244,not endangered
2463,ide,ider1238,not endangered
2464,idi,idii1243,not endangered
2465,idr,indr1247,moribund
2466,ids,ides1238,nearly extinct
2467,idt,idat1237,threatened
2468,idu,idom1241,not endangered
2469,ifa,amga1235,not endangered
2470,ifb,bata1298,not endangered
2471,ife,ifee1241,not endangered
2472,iff,ifoo1237,extinct
2473,ifk,tuwa1243,not endangered
2474,ifm,teke1274,threatened
2475,ifu,mayo1262,not endangered
2476,ify,kele1259,not endangered
2477,igb,ebir1243,not endangered
2478,ige,iged1239,not endangered
2479,igg,igan1243,shifting
2480,igl,igal1242,not endangered
2481,igm,kang1291,shifting
2482,ign,igna1246,shifting
2483,igo,iseb1246,not endangered
2484,igw,igwe1238,not endangered
2485,ihb,ihab1241,extinct
2486,ihi,ihie1238,not endangered
2487,ihp,ihaa1241,threatened
2488,ihw,gana1268,extinct
2489,iii,sich1238,not endangered
2490,iin,thii1234,extinct
2491,ijc,izon1238,not endangered
2492,ije,bise1238,shifting
2493,ijj,edei1245,not endangered
2494,ijn,kala1381,not endangered
2495,ijs,sout2774,threatened
2496,ike,east2534,threatened
2497,iki,ikoo1245,not endangered
2498,ikk,ikaa1238,not endangered
2499,ikl,ikul1238,not endangered
2500,iko,olul1245,threatened
2501,ikp,ikpe1243,not endangered
2502,ikr,ikar1243,extinct
2503,iks,inui1247,moribund
2504,ikt,west2618,threatened
2505,ikv,ikug1238,not endangered
2506,ikw,ikwe1242,not endangered
2507,ikx,ikkk1242,threatened
2508,ikz,ikiz1238,not endangered
2509,ila,ilea1237,threatened
2510,ilb,ilaa1246,not endangered
2511,ilg,gari1253,extinct
2512,ili,ilit1241,nearly extinct
2513,ilk,ilon1239,threatened
2514,ilm,saba1284,threatened
2515,ilo,ilok1237,not endangered
2516,ils,inte1259,extinct
2517,ilu,iliu1237,threatened
2518,ilv,ilue1241,shifting
2519,ima,mala1457,not endangered
2520,imi,anam1248,not endangered
2521,iml,milu1241,extinct
2522,imn,imon1245,shifting
2523,imo,imbo1238,not endangered
2524,imr,imro1237,shifting
2525,imy,mily1238,extinct
2526,ina,inte1239,N/A
2527,inb,inga1252,shifting
2528,ind,indo1316,not endangered
2529,ing,dege1248,moribund
2530,inh,ingu1240,threatened
2531,inj,jung1240,shifting
2532,inl,indo1291,shifting
2533,inm,mina1279,extinct
2534,inn,isin1239,nearly extinct
2535,ino,inok1238,not endangered
2536,inp,inap1242,nearly extinct
2537,ins,indi1237,not endangered
2538,int,inth1238,not endangered
2539,inz,ines1240,extinct
2540,ior,inor1238,not endangered
2541,iou,tuma1250,not endangered
2542,iow,iowa1245,extinct
2543,ipi,ipil1240,not endangered
2544,ipo,ipik1244,shifting
2545,iqu,iqui1243,nearly extinct
2546,ire,ires1239,shifting
2547,irh,irar1238,threatened
2548,iri,irig1241,threatened
2549,irk,iraq1241,not endangered
2550,irn,iran1263,moribund
2551,irr,irrr1240,not endangered
2552,iru,irul1243,shifting
2553,irx,kamb1302,shifting
2554,iry,iray1237,threatened
2555,isa,isab1240,threatened
2556,isc,isco1239,nearly extinct
2557,isd,isna1241,not endangered
2558,ise,ital1275,not endangered
2559,isg,iris1235,not endangered
2560,ish,esan1238,not endangered
2561,isi,nkem1242,not endangered
2562,isk,ishk1246,shifting
2563,isl,icel1247,not endangered
2564,ism,masi1265,moribund
2565,isn,isan1243,threatened
2566,iso,isok1239,not endangered
2567,isr,isra1236,not endangered
2568,ist,istr1244,moribund
2569,isu,isum1240,threatened
2570,ita,ital1282,not endangered
2571,itb,bino1237,not endangered
2572,itd,sout3241,not endangered
2573,ite,iten1243,moribund
2574,iti,inla1260,threatened
2575,itk,jude1255,moribund
2576,itl,itel1242,moribund
2577,itm,itum1245,shifting
2578,ito,iton1250,nearly extinct
2579,itr,iter1241,shifting
2580,its,isek1239,not endangered
2581,itt,maen1235,not endangered
2582,itv,itaw1240,not endangered
2583,itw,itoo1242,not endangered
2584,itx,itik1240,moribund
2585,ity,moya1235,not endangered
2586,itz,itza1241,moribund
2587,ium,iumi1238,not endangered
2588,ivb,ibat1238,threatened
2589,ivv,ivat1242,not endangered
2590,iwk,iwak1237,threatened
2591,iwm,iwam1256,shifting
2592,iwo,iwur1240,shifting
2593,iws,sepi1255,shifting
2594,ixc,ixca1245,nearly extinct
2595,ixl,ixil1251,threatened
2596,iya,iyay1238,not endangered
2597,iyo,mesa1245,not endangered
2598,iyx,yaka1274,not endangered
2599,izh,ingr1248,moribund
2600,izr,izer1241,threatened
2601,izz,izii1239,not endangered
2602,jaa,jama1261,shifting
2603,jab,hyam1245,not endangered
2604,jac,popt1235,threatened
2605,jad,jaha1245,not endangered
2606,jae,yabe1254,threatened
2607,jaf,jara1274,not endangered
2608,jah,jahh1242,shifting
2609,jaj,zaza1245,nearly extinct
2610,jak,jaku1244,threatened
2611,jal,yala1266,shifting
2612,jam,jama1262,not endangered
2613,jan,jand1248,extinct
2614,jao,yany1243,moribund
2615,jaq,yaqa1246,threatened
2616,jas,newc1244,shifting
2617,jat,jaka1245,extinct
2618,jau,yaur1239,shifting
2619,jav,java1254,not endangered
2620,jax,jamb1236,not endangered
2621,jay,yann1237,shifting
2622,jaz,jawe1237,threatened
2623,jbe,jude1262,moribund
2624,jbi,badj1244,extinct
2625,jbj,aran1237,threatened
2626,jbk,bari1298,not endangered
2627,jbn,nafu1238,moribund
2628,jbr,jofo1235,threatened
2629,jbt,djeo1235,moribund
2630,jbu,juku1254,not endangered
2631,jbw,yawi1239,extinct
2632,jcs,jama1256,shifting
2633,jct,krym1236,nearly extinct
2634,jda,jadd1243,shifting
2635,jdg,jadg1238,not endangered
2636,jdt,jude1256,threatened
2637,jeb,jebe1250,nearly extinct
2638,jee,jeru1240,shifting
2639,jeh,jehh1245,not endangered
2640,jei,yeii1239,shifting
2641,jek,jeri1242,moribund
2642,jel,yelm1242,moribund
2643,jen,dzaa1238,threatened
2644,jer,jere1244,not endangered
2645,jet,mane1266,shifting
2646,jeu,jonk1238,shifting
2647,jgb,ngbe1238,extinct
2648,jge,jude1258,not endangered
2649,jgo,ngom1272,not endangered
2650,jhi,jeha1242,shifting
2651,jhs,jhan1234,not endangered
2652,jia,jina1244,threatened
2653,jib,jibu1239,not endangered
2654,jic,toll1241,shifting
2655,jid,buuu1244,shifting
2656,jie,jilb1238,shifting
2657,jig,djin1251,moribund
2658,jih,shan1274,threatened
2659,jii,jiid1238,threatened
2660,jil,jili1241,not endangered
2661,jim,jimi1254,shifting
2662,jio,jiam1236,not endangered
2663,jiq,guan1266,not endangered
2664,jit,jita1239,not endangered
2665,jiu,youl1235,moribund
2666,jiv,shua1257,threatened
2667,jiy,buyu1238,shifting
2668,jje,jeju1234,shifting
2669,jjr,bank1257,not endangered
2670,jka,kaer1234,threatened
2671,jkm,mobw1234,threatened
2672,jko,kubo1242,not endangered
2673,jkp,paku1238,not endangered
2674,jkr,koro1316,shifting
2675,jku,labi1245,threatened
2676,jle,ngil1242,threatened
2677,jls,jama1263,not endangered
2678,jma,dima1252,not endangered
2679,jmb,zumb1240,not endangered
2680,jmc,mach1266,not endangered
2681,jmd,yamd1240,threatened
2682,jmi,jimi1255,moribund
2683,jml,juml1238,not endangered
2684,jmn,maku1273,not endangered
2685,jmr,kama1357,threatened
2686,jms,mash1269,threatened
2687,jmw,mouw1234,not endangered
2688,jmx,west2643,threatened
2689,jna,jang1254,shifting
2690,jnd,jand1246,not endangered
2691,jng,yang1288,extinct
2692,jni,janj1240,shifting
2693,jnj,yems1235,shifting
2694,jnl,rawa1264,shifting
2695,jns,jaun1243,threatened
2696,job,joba1238,threatened
2697,jod,woje1238,not endangered
2698,jor,jora1240,extinct
2699,jos,jord1238,not endangered
2700,jow,jowu1238,not endangered
2701,jpn,nucl1643,not endangered
2702,jpr,jude1257,extinct
2703,jqr,jaqa1244,moribund
2704,jra,jara1266,not endangered
2705,jrr,jiru1238,not endangered
2706,jrt,jort1240,threatened
2707,jru,japr1238,moribund
2708,jsl,japa1238,not endangered
2709,jua,juma1249,nearly extinct
2710,jub,wann1241,not endangered
2711,juc,jurc1239,extinct
2712,jud,woro1256,not endangered
2713,juh,hone1235,moribund
2714,jui,ngad1257,extinct
2715,juk,wapa1235,not endangered
2716,jul,jire1238,shifting
2717,jum,jumj1238,not endangered
2718,jun,juan1238,threatened
2719,juo,jiba1237,shifting
2720,jup,hupd1244,not endangered
