,lang,family,dialects,iso3code,glottocode,speakers,regions,off_lang,rec_min_lang,url
0,%27Phags-pa_script,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/%27Phags-pa_script
1,(Upper) Umpqua,"Dené–Yeniseian,Na-Dené, Athabaskan, Pacific Coast Athabaskan, (Upper) Umpqua","Dené–Yeniseian,Na-Dené, Athabaskan, Pacific Coast Athabaskan, (Upper) Umpqua",xup,uppe1436,Uknown,Oregon (Umpqua Valley),Unknown,Unknown,https://en.wikipedia.org/wiki/Upper_Umpqua_language
2,2006_South_Ossetian_independence_referendum,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/2006_South_Ossetian_independence_referendum
3,Aari,"Afro-Asiatic, Omotic, South, Aari","Afro-Asiatic, Omotic, South, Aari",aiw,aari1239,"290,000 ",north central Omo Region,Unknown,Unknown,https://en.wikipedia.org/wiki/Aari_language
4,Abai Sungai,"Austronesian, Malayo-Polynesian, North Bornean, Southwest Sabahan, Paitanic, Abai Sungai","Austronesian, Malayo-Polynesian, North Bornean, Southwest Sabahan, Paitanic, Abai Sungai",abf,abai1240,Uknown,Sabah,Unknown,Unknown,https://en.wikipedia.org/wiki/Sungai_language
5,Abaza,"Northwest Caucasian, Abazgi, Abaza","Northwest Caucasian, Abazgi, Abaza",abq,abaz1241,"49,800 ",Karachay-Cherkessia, Russia Karachay-Cherkessia,Unknown,https://en.wikipedia.org/wiki/Abaza_language
6,Abellen,"Austronesian, Malayo-Polynesian, Philippine, Central Luzon, Sambalic, Abellen","Austronesian, Malayo-Polynesian, Philippine, Central Luzon, Sambalic, Abellen",abp,aben1249,"3,000 ",Tarlac,Unknown,Unknown,https://en.wikipedia.org/wiki/Abellen_language
7,Abenaki,"Algic, Algonquian, Eastern Algonquian, Abenaki","Algic, Algonquian, Eastern Algonquian, Abenaki",Either:titleaaqtitle – Eastern Abenakititleabetitle – Western Abenaki,east2544title  Eastern Abenakititlewest2630title  Western Abenaki,14 Western Abenaki ,"Quebec, New Brunswick, Maine, Vermont, New Hampshire",Unknown,Unknown,https://en.wikipedia.org/wiki/Abenaki_language
8,Abenaki#Eastern_Abenaki,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Abenaki#Eastern_Abenaki
9,Abenaki_people,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Abenaki_people
10,Abkhaz,"Northwest Caucasian, Abazgi, Abkhaz","Northwest Caucasian, Abazgi, Abkhaz",abktitle  Abkhazian,abkh1244title  Abkhaz,"190,000 ",Georgia,Republic of Abkhaziaa,Georgia,https://en.wikipedia.org/wiki/Abkhaz_language
11,Abkhazia,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Abkhazia
12,Abui,"Trans–New Guinea, \xa, West Bomberai, \xa, Timor–Alor–Pantar, Alor–Pantar, Alor, Abui","Trans–New Guinea, \xa, West Bomberai, \xa, Timor–Alor–Pantar, Alor–Pantar, Alor, Abui",abz,abui1241,Uknown,Alor Island,Unknown,Unknown,https://en.wikipedia.org/wiki/Abui_language
13,Abure,"Niger–Congo,Atlantic–Congo, Kwa, Potou–Tano, Tano, West, Abure","Niger–Congo,Atlantic–Congo, Kwa, Potou–Tano, Tano, West, Abure",abu,abur1243,"93,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Abure_language
14,Acazulco Otomi,"Oto-Manguean, Oto-Pamean, Otomian, Eastern, Acazulco Otomi","Oto-Manguean, Oto-Pamean, Otomian, Eastern, Acazulco Otomi",Nonetitle (titlemistitle),,100-200 ,"Ocoyoacac, Mexico State",Unknown,Unknown,https://en.wikipedia.org/wiki/Acazulco_Otomi
15,Acehnese,"Austronesian, Malayo-Polynesian, Chamic, Acehnese","Austronesian, Malayo-Polynesian, Chamic, Acehnese",ace,achi1257,2.8 million ,"Aceh, Sumatra","Indonesia
Aceh (co-official with Indonesian)
",Unknown,https://en.wikipedia.org/wiki/Acehnese_language
16,Achagua,"Arawakan, Northern, Upper Amazon, Western Nawiki, Piapoko, Achagua","Arawakan, Northern, Upper Amazon, Western Nawiki, Piapoko, Achagua",acatitle  Achagua,acha1250title  Achaguatitlepona1251title  Ponares,250 ,,Unknown,Unknown,https://en.wikipedia.org/wiki/Achagua_language
17,Achang,"Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Burmish, Achang","Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Burmish, Achang",acn,acha1252,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Achang_language
18,Achang,"Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Burmish, Achang","Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Burmish, Achang",acn,acha1252,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Chintaw_language
19,Acheron,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Acheron
20,Achi,"Mayan, Quichean–Mamean, Greater Quichean, Quichean, Quiché–Achi, Achi","Mayan, Quichean–Mamean, Greater Quichean, Quichean, Quiché–Achi, Achi",acr,achi1256,"120,000 ",Baja Verapaz,Unknown, Guatemala,https://en.wikipedia.org/wiki/Achi_language
21,Achomawi,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Achomawi
22,Achuar,"Chicham, Achuar","Chicham, Achuar",acu,achu1248,"4,420 in Peru ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Shiwiar_language
23,Achuar,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Achuar
24,Achumawi,"Hokan, \xa, Shasta, –Palaihnihan\xa, Palaihnihan, Achumawi","Hokan, \xa, Shasta, –Palaihnihan\xa, Palaihnihan, Achumawi",acv,achu1247,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Achumawi_language
25,Adai,unclassified,unclassified,xad,adai1235,Uknown,Louisiana,Unknown,Unknown,https://en.wikipedia.org/wiki/Adai_language
26,Adele,"Niger–Congo,Atlantic–Congo, Kwa, Anii–Adere, Adele","Niger–Congo,Atlantic–Congo, Kwa, Anii–Adere, Adele",ade,adel1244,"37,000 ",Ghana and Togo,Unknown,Unknown,https://en.wikipedia.org/wiki/Adele_language
27,Adjukru,"Niger–Congo,Atlantic–Congo, Kwa, Adjukru","Niger–Congo,Atlantic–Congo, Kwa, Adjukru",adj,adio1239,"160,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Adjukru_language
28,Administrative_units_of_Pakistan,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Administrative_units_of_Pakistan
29,Adnyamathanha,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Adnyamathanha
30,Adnyamathanha; Kuyani,"Pama–Nyungan, Thura-Yura, Yura, Adnyamathanha; Kuyani","Pama–Nyungan, Thura-Yura, Yura, Adnyamathanha; Kuyani",Either:titleadttitle – Adnyamathanhatitlegvytitle – Guyani,adny1235title  Adnyamathanhatitleguya1249title  Guyani,262 ,South Australia,Unknown,Unknown,https://en.wikipedia.org/wiki/Adnyamathanha_language
31,Adygea,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Adygea
32,Adyghe,"Northwest Caucasian, Circassian, Adyghe","Northwest Caucasian, Circassian, Adyghe",ady,adyg1241,"610,000 ",," Russia
 Adygea
"," Jordan Syria Israel
Kfar Kama
Rehaniya
 Autonomous Administration of North and East Syria",https://en.wikipedia.org/wiki/Adyghe_language
33,Afade,"Afro-Asiatic, Chadic, Biu–Mandara, Kotoko,  (B.), North, Afade","Afro-Asiatic, Chadic, Biu–Mandara, Kotoko,  (B.), North, Afade",aal,afad1236,"5,000 in Cameroon ","Far North Province, Cameroon; Borno State, Nigeria",Unknown,Unknown,https://en.wikipedia.org/wiki/Afade
34,Afar,"Afro-Asiatic, Cushitic, Lowland East, Saho–Afar, Afar","Afro-Asiatic, Cushitic, Lowland East, Saho–Afar, Afar",aar,afar1241,2.6 million ,Horn of Africa, Ethiopia, Djibouti Eritrea,https://en.wikipedia.org/wiki/Afar_language
35,Afghanistan,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Afghanistan
36,Afitti_people,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Afitti_people
37,Africa,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Africa
38,African_Union,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/African_Union
39,Afrihili,Uknown,Uknown,afh,afri1275,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Afrihili
40,Afrikaans,"Indo-European, Germanic, West Germanic, Weser–Rhine Germanic, Low Franconian, Dutch, African Dutch, Afrikaans","Indo-European, Germanic, West Germanic, Weser–Rhine Germanic, Low Franconian, Dutch, African Dutch, Afrikaans",afr,afri1274,7.2 million ,, South Africa, Namibia,https://en.wikipedia.org/wiki/Afrikaans
41,Aghem,"Niger–Congo,Atlantic–Congo, Benue–Congo, Southern Bantoid, Grassfields, Ring, West, Aghem","Niger–Congo,Atlantic–Congo, Benue–Congo, Southern Bantoid, Grassfields, Ring, West, Aghem",agq,aghe1239,"27,000 ",Menchum,Unknown,Unknown,https://en.wikipedia.org/wiki/Aghem
42,Aghul,"Northeast Caucasian, Lezgic, Samur, Eastern Samur, Lezgi, –Aghul–, Tabasaran, Aghul","Northeast Caucasian, Lezgic, Samur, Eastern Samur, Lezgi, –Aghul–, Tabasaran, Aghul",agx,aghu1260title  Aghulictitleaghu1253,"29,300 ",Southeastern Dagestan, Russia Dagestan,Unknown,https://en.wikipedia.org/wiki/Aghul_language
43,Ahom,"Kra–Dai, Tai, Southwestern,  (Thai), Northwestern, Ahom","Kra–Dai, Tai, Southwestern,  (Thai), Northwestern, Ahom",aho,ahom1240,Uknown,Assam,Unknown,Unknown,https://en.wikipedia.org/wiki/Ahom_language
44,Ahtna,"Dené–Yeniseian,Na-Dené, Athabaskan, Northern Athabaskan, Ahtna","Dené–Yeniseian,Na-Dené, Athabaskan, Northern Athabaskan, Ahtna",aht,ahte1237,15 ,Alaska (Copper River region), Alaska,Unknown,https://en.wikipedia.org/wiki/Ahtna_language
45,Aigon,"Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero–Vitiaz, Southwest New Britain, Arawe–Pasismanua, Pasismanua, Aigon","Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero–Vitiaz, Southwest New Britain, Arawe–Pasismanua, Pasismanua, Aigon",aix,aigh1235,2000 ,"parts of West New Britain Province, Papua New Guinea",Unknown,Unknown,https://en.wikipedia.org/wiki/Getmata_language
46,Aikanã,Language isolate,Language isolate,tba,aika1237,150 ,Rondônia,Unknown,Unknown,https://en.wikipedia.org/wiki/Aikana_language
47,Aimol_people,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Aimol_people
48,Aimor%C3%A9,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Aimor%C3%A9
49,Ainbai,"Border, Bewani Range, Poal River, Ainbai","Border, Bewani Range, Poal River, Ainbai",aic,ainb1238,100 ,Sandaun Province,Unknown,Unknown,https://en.wikipedia.org/wiki/Ainbai_language
50,Aivilik,"Eskaleut, Eskimo, Inuit, (variously consideredInuvialuktun,  orInuktitut, ), Aivilik","Eskaleut, Eskimo, Inuit, (variously consideredInuvialuktun,  orInuktitut, ), Aivilik",–,,Uknown,"Aivilik, Nunavut",Unknown,Unknown,https://en.wikipedia.org/wiki/Aivilingmiutut
51,Ajië,"Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, New Caledonian – Loyalties, New Caledonian, Southern, South Southern, Wailic, Ajië","Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, New Caledonian – Loyalties, New Caledonian, Southern, South Southern, Wailic, Ajië",aji,ajie1238,"5,400 ","Houailou, New Caledonia",Unknown,Unknown,https://en.wikipedia.org/wiki/Aji%C3%AB
52,Akan,"Niger–Congo,Atlantic–Congo, Volta–Congo, Kwa, Potou–Tano, Tano, Central Tano, Akan","Niger–Congo,Atlantic–Congo, Volta–Congo, Kwa, Potou–Tano, Tano, Central Tano, Akan",aka,akan1251title  Akanictitleakan1250,L1: 8.9 million ,,None.— Government-sponsored language of Ghana,Unknown,https://en.wikipedia.org/wiki/Akan_language
53,Akanland,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Akanland
54,Akatek,"Mayan, Qʼanjobalan–Chujean, Qʼanjobalan, Kanjobal–Jacaltec, Akatek","Mayan, Qʼanjobalan–Chujean, Qʼanjobalan, Kanjobal–Jacaltec, Akatek",knj,west2635,"65,000 in Guatemala ",HuehuetenangoChiapas,Unknown, Mexico Guatemala,https://en.wikipedia.org/wiki/Akatek_language
55,Akeu,"Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Loloish, Southern Loloish, Akeu","Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Loloish, Southern Loloish, Akeu",aeu,akeu1235title  Akeu,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Akeu_language
56,Akhmim,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Akhmim
57,Akhvakh,"Northeast Caucasian, Avar–Andic, Andic, Akhvakh–Tindi, Akhvakh","Northeast Caucasian, Avar–Andic, Andic, Akhvakh–Tindi, Akhvakh",akv,akhv1240title  Akhvakhic,210 in Dagestan ,"Southern Dagestan, northern Azerbaijan",Unknown,Unknown,https://en.wikipedia.org/wiki/Akhvakh_language
58,Akkadian,"Afro-Asiatic, Semitic, East Semitic, Akkadian","Afro-Asiatic, Semitic, East Semitic, Akkadian",akk,akka1240,Uknown,Mesopotamia,Initially Akkad (central Mesopotamia); lingua franca of the Middle East and Egypt in the late Bronze and early Iron Ages.,Unknown,https://en.wikipedia.org/wiki/Akkadian_language
59,Akkala Sámi,"Uralic, Sámi, Eastern, Mainland, Akkala Sámi","Uralic, Sámi, Eastern, Mainland, Akkala Sámi",sia,akka1237,Uknown,Southwest Kola Peninsula,Unknown,Unknown,https://en.wikipedia.org/wiki/Akkala_S%C3%A1mi
60,Aklanon,"Austronesian, Malayo-Polynesian, Philippine, Central Philippine, Bisayan, Western Bisayan, Aklanon","Austronesian, Malayo-Polynesian, Philippine, Central Philippine, Bisayan, Western Bisayan, Aklanon",Either:titleakltitle – Aklanon title[2]titlemlztitle – Malaynon,akla1240title  Aklanon,"560,000 ","Aklan, northwestern Capiz, northern Antique, and southern Romblon",Regional language in the Philippines,Unknown,https://en.wikipedia.org/wiki/Aklanon_language
61,Akum,"Niger–Congo,Atlantic–Congo, Benue–Congo, Plateau, Yukubenic, Akum–Beezen, Akum","Niger–Congo,Atlantic–Congo, Benue–Congo, Plateau, Yukubenic, Akum–Beezen, Akum",aku,akum1238,"1,400 in Cameroon ",Taraba State,Unknown,Unknown,https://en.wikipedia.org/wiki/Akum_language
62,Akuntsu,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Akuntsu
63,Akwáwa,"Tupian, Tupí–Guaraní, Group IV, Akwáwa","Tupian, Tupí–Guaraní, Group IV, Akwáwa",Variously:titleasutitle – Asurinítitlemdztitle – titleSuruítitlepaktitle – Parakanã,tupi1284,"1,500 ",Pará,Unknown,Unknown,https://en.wikipedia.org/wiki/Akw%C3%A1wa_language
64,Alabama,"Muskogean, Eastern, Alabama–, Koasati, Alabama","Muskogean, Eastern, Alabama–, Koasati, Alabama",akz,alab1237,approx. 370 ,"Currently in Texas, Formerly in Oklahoma and Alabama",Unknown,Unknown,https://en.wikipedia.org/wiki/Alabama_language
65,Alabama,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Alabama
66,Alaska,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Alaska
67,Alawa,"Macro-Pama-Nyungan,Macro-Gunwinyguan, Marran, Alawa","Macro-Pama-Nyungan,Macro-Gunwinyguan, Marran, Alawa",alh,alaw1244,5 ,"Northern Territory; Arnhem Land, Roper River.",Unknown,Unknown,https://en.wikipedia.org/wiki/Alawa_language
68,Albania,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Albania
69,Albanian,"Indo-European, Albanoid, Albanian","Indo-European, Albanoid, Albanian",sqititle – inclusive codetitleIndividual codes:titleaaetitle – titleArbëreshtitleaattitle – titleArvanitikatitlealntitle – titleGhegtitlealstitle – titleTosk,alba1267,7.5 million ,, Albania Kosovo North Macedonia (co-official) Montenegro (co-official), Italy Serbia Croatia Romania,https://en.wikipedia.org/wiki/Albanian_language
70,Aleut,"Eskaleut, Aleut","Eskaleut, Aleut",ale,aleu1260,<80 ,, Alaska,Unknown,https://en.wikipedia.org/wiki/Aleut_language
71,Algeria,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Algeria
72,Algerian Saharan Arabic,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabic, Maghrebi Arabic, Algerian Saharan Arabic","Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabic, Maghrebi Arabic, Algerian Saharan Arabic",aao,alge1240,"310,000 ","Atlas Mountains, southern Sahara",Unknown,Unknown,https://en.wikipedia.org/wiki/Algerian_Saharan_Arabic
73,Algherese / Alguerese,"Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Romance, Occitano-Romance, Catalan, Eastern, Insular, Algherese / Alguerese","Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Romance, Occitano-Romance, Catalan, Eastern, Insular, Algherese / Alguerese",–,algh1238,Uknown,Alghero,Unknown,Unknown,https://en.wikipedia.org/wiki/Algherese_dialect
74,Algonquin,"Algic, Algonquian, Ojibwe, -, Potawatomi, Ojibwe, Severn, -Algonquin, , Algonquin","Algic, Algonquian, Ojibwe, -, Potawatomi, Ojibwe, Severn, -Algonquin, , Algonquin",alq,algo1255,"3,330 ",Quebec and into Ontario,Unknown,Unknown,https://en.wikipedia.org/wiki/Algonquin_language
75,Altai,"Turkic, Common Turkic, Siberian Turkic,  orKipchak, Southern Siberian or Kyrgyz–Kipchak, , , Altai","Turkic, Common Turkic, Siberian Turkic,  orKipchak, Southern Siberian or Kyrgyz–Kipchak, , , Altai",Either:titleatvtitle – titleNorthern Altaititlealttitle – titleSouthern Altai,Nonetitlealta1276title  code retired,"125,700 ","Altai Republic, Altai Krai, Kemerovo Oblast", Russia Altai Republic,Unknown,https://en.wikipedia.org/wiki/Altai_language
76,Altai,"Turkic, Common Turkic, Siberian Turkic,  orKipchak, Southern Siberian or Kyrgyz–Kipchak, , , Altai","Turkic, Common Turkic, Siberian Turkic,  orKipchak, Southern Siberian or Kyrgyz–Kipchak, , , Altai",Either:titleatvtitle – titleNorthern Altaititlealttitle – titleSouthern Altai,Nonetitlealta1276title  code retired,"125,700 ","Altai Republic, Altai Krai, Kemerovo Oblast", Russia Altai Republic,Unknown,https://en.wikipedia.org/wiki/Altay_language
77,Altai_Republic,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Altai_Republic
78,Alune_people,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Alune_people
79,Aluo,"Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Loloish, Nisoish, Northern Loloish, Nasoid, Aluo","Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Loloish, Nisoish, Northern Loloish, Nasoid, Aluo",yna,aluo1235,"25,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Aluo_language
80,Alutiiq,"Eskaleut, Eskimo, Yupik, Alutiiq","Eskaleut, Eskimo, Yupik, Alutiiq",ems,paci1278,80 ,coastal Alaska (Alaska Peninsula to Prince William Sound),Alaska,Unknown,https://en.wikipedia.org/wiki/Alutiiq_language
81,Alyutor,"Chukotko-Kamchatkan, Chukotkan, Alyutor","Chukotko-Kamchatkan, Chukotkan, Alyutor",alr,alut1245,25 ,Kamchatka,"Tigilsky District, Karaginsky District, Kamchatka (Russia)",Unknown,https://en.wikipedia.org/wiki/Alyutor_language
82,Alyutors,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Alyutors
83,Amahai,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Amahai
84,Amahuaca,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Amahuaca
85,Amanay%C3%A9,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Amanay%C3%A9
86,Amazonas_(Brazilian_state),Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Amazonas_(Brazilian_state)
87,Amblong,"Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, North-Central Vanuatu, North Vanuatu, Espiritu Santo, Amblong","Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, North-Central Vanuatu, North Vanuatu, Espiritu Santo, Amblong",alm,ambl1237,Uknown,Espiritu Santo,Unknown,Unknown,https://en.wikipedia.org/wiki/Amblong_language
88,Amdang,"Nilo-Saharan,Fur, Amdang","Nilo-Saharan,Fur, Amdang",amj,amda1238,"170,000 ","Mainly Biltine, Wadi Fira",Unknown,Unknown,https://en.wikipedia.org/wiki/Amdang_language
89,American_Samoa,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/American_Samoa
90,Americas,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Americas
91,Amharic,"Afro-Asiatic, Semitic, West Semitic, South Semitic, Ethiopic, South, Transversal South, Amharic–Argobba, Amharic","Afro-Asiatic, Semitic, West Semitic, South Semitic, Ethiopic, South, Transversal South, Amharic–Argobba, Amharic",amh,amha1245,L1: 35 million ,, Ethiopia,Unknown,https://en.wikipedia.org/wiki/Amharic
92,Amis,"Austronesian, East Formosan, Amis–, Sakizaya, Amis","Austronesian, East Formosan, Amis–, Sakizaya, Amis",ami,amis1246,"110,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Amis_language
93,Amonap,"Cariban, (Nahukwa), Amonap","Cariban, (Nahukwa), Amonap",Either:titlekuititle – Kuikúro-Kalapálotitlemzotitle – Matipuhy,nucl1656,"1,000 ","Xingu Indigenous Park, Mato Grosso",Unknown,Unknown,https://en.wikipedia.org/wiki/Nahukwa_language
94,Amoy,"Sino-Tibetan, Sinitic, Chinese, Min, Coastal Min, Southern Min, Hokkien, Amoy","Sino-Tibetan, Sinitic, Chinese, Min, Coastal Min, Southern Min, Hokkien, Amoy",–,xiam1236,2 million ,"part of Xiamen (Amoy) (Siming and Huli districts), Haicang and Longhai districts to the west",Unknown,Unknown,https://en.wikipedia.org/wiki/Amoy_dialect
95,Amuesha,"Arawakan, Southern, Western\xa, Amuesha","Arawakan, Southern, Western\xa, Amuesha",ame,yane1238,"9,800 ",Department of Pasco,Unknown,Unknown,https://en.wikipedia.org/wiki/Yanesha%27_language
96,Amuesha,"Arawakan, Southern, Western\xa, Amuesha","Arawakan, Southern, Western\xa, Amuesha",ame,yane1238,"9,800 ",Department of Pasco,Unknown,Unknown,https://en.wikipedia.org/wiki/Yanesha_language
97,Anambé,"Tupian, Tupi–Guaraní, Xingu, Anambé","Tupian, Tupi–Guaraní, Xingu, Anambé",aan,anam1249,6 ,"Pará, Cairari River",Unknown,Unknown,https://en.wikipedia.org/wiki/Anambe_language
98,Anatolia,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Anatolia
99,Ancash Quechua,"Quechua, Quechua I, Central, Ancash Quechua","Quechua, Quechua I, Central, Ancash Quechua",Variously:titleqwatitle – titleCorongotitleqwhtitle – titleHuaylastitleqxntitle – titleNorte de Conchucostitleqwstitle – titleSihuastitleqxotitle – titleSur de Conchucostitleqvhtitle – Huamalíes y Norte de Dos de Mayo,huay1239,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Ancash_Quechua
100,Ancient Greek,"Indo-European, Hellenic, Ancient Greek","Indo-European, Hellenic, Ancient Greek",grctitle  (includes all pre-modern stages),anci1242,Uknown,eastern Mediterranean,Unknown,Unknown,https://en.wikipedia.org/wiki/Ancient_Greek
101,Ancient_Egypt,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Ancient_Egypt
102,Andalusi Arabic,"Afro-Asiatic, Semitic, Central Semitic, Arabic, Maghrebi Arabic, Andalusi Arabic","Afro-Asiatic, Semitic, Central Semitic, Arabic, Maghrebi Arabic, Andalusi Arabic",xaa,anda1287,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Andalusian_Arabic
103,Andalusi Romance,"Indo-European, Italic, Romance, Western Romance, Ibero-Romance, Pyrenean–Mozarabic, Andalusi Romance","Indo-European, Italic, Romance, Western Romance, Ibero-Romance, Pyrenean–Mozarabic, Andalusi Romance",mxi,moza1249,Uknown,Al-Andalus,Unknown,Unknown,https://en.wikipedia.org/wiki/Andalusi_Romance
104,Andaman_and_Nicobar_Islands,Uknown,Uknown,Not provided,,Uknown,East India,Unknown,Unknown,https://en.wikipedia.org/wiki/Andaman_and_Nicobar_Islands
105,Andhra_Pradesh,Uknown,Uknown,Not provided,,Uknown,South India,Unknown,Unknown,https://en.wikipedia.org/wiki/Andhra_Pradesh
106,Andoa,"Zaparoan, Arabela–Andoa, Andoa","Zaparoan, Arabela–Andoa, Andoa",anb,ando1255,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Andoa_language
107,Andoque,"Bora–Witoto, \xa, Andoque–Urequena, Andoque","Bora–Witoto, \xa, Andoque–Urequena, Andoque",ano,ando1256,370 ,,Unknown,Unknown,https://en.wikipedia.org/wiki/Andoque_language
108,Andorra,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Andorra
109,Anfillo,"Afro-Asiatic, Omotic, North Omotic, Gonga, Anfillo","Afro-Asiatic, Omotic, North Omotic, Gonga, Anfillo",myo,anfi1235,Uknown,Ethiopia,Unknown,Unknown,https://en.wikipedia.org/wiki/Anfillo
110,Anfillo,"Afro-Asiatic, Omotic, North Omotic, Gonga, Anfillo","Afro-Asiatic, Omotic, North Omotic, Gonga, Anfillo",myo,anfi1235,Uknown,Ethiopia,Unknown,Unknown,https://en.wikipedia.org/wiki/Anfillo_language
111,Angami,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman,  Kuki-Chin–Naga, Angami–Pochuri, Angami","Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman,  Kuki-Chin–Naga, Angami–Pochuri, Angami",njm,anga1288,"150,000 ",Nagaland,Unknown,Unknown,https://en.wikipedia.org/wiki/Angami_language
