,lang,family,dialects,iso3code,glottocode,speakers,regions,off_lang,rec_min_lang,url
2328,Scottish Gaelic,"Indo-European, Celtic, Insular Celtic, Goidelic, Scottish Gaelic","Indo-European, Celtic, Insular Celtic, Goidelic, Scottish Gaelic",gla,scot1245,"57,000 fluent L1 and L2 speakers in Scotland ","Scotland; Cape Breton Island, Nova Scotia",Unknown,"Canada
Nova Scotia
",https://en.wikipedia.org/wiki/Scottish_Gaelic
2329,Sechelt,Uknown,Uknown,Not provided,,Uknown,Sunshine Coast,Unknown,Unknown,https://en.wikipedia.org/wiki/Sechelt
2330,Segeju_people,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Segeju_people
2331,Sekani,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Sekani
2332,Selenge_Province,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Selenge_Province
2333,Selkup,"Uralic, Samoyedic, (core), Kamas, –Selkup, Selkup","Uralic, Samoyedic, (core), Kamas, –Selkup, Selkup",sel,selk1253,"1,600 ",Yamalo-Nenets Autonomous Okrug,Unknown,Unknown,https://en.wikipedia.org/wiki/Central_Selkup_language
2334,Selkup,"Uralic, Samoyedic, (core), Kamas, –Selkup, Selkup","Uralic, Samoyedic, (core), Kamas, –Selkup, Selkup",sel,selk1253,"1,600 ",Yamalo-Nenets Autonomous Okrug,Unknown,Unknown,https://en.wikipedia.org/wiki/Selkup_language
2335,Selkup,"Uralic, Samoyedic, (core), Kamas, –Selkup, Selkup","Uralic, Samoyedic, (core), Kamas, –Selkup, Selkup",sel,selk1253,"1,600 ",Yamalo-Nenets Autonomous Okrug,Unknown,Unknown,https://en.wikipedia.org/wiki/Southern_Selkup_language
2336,Semai,"Austroasiatic, Aslian, Senoic, Semai","Austroasiatic, Aslian, Senoic, Semai",sea,sema1266,"60,438 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Semai_language
2337,Semaq Beri,"Austroasiatic, Aslian, Southern Aslian, Semaq Beri","Austroasiatic, Aslian, Southern Aslian, Semaq Beri",szc,sema1265,"2,500 ",Malay Peninsula,Unknown,Unknown,https://en.wikipedia.org/wiki/Semaq_Beri_language
2338,Semelai,"Austroasiatic, Aslian, Southern Aslian, Semelai","Austroasiatic, Aslian, Southern Aslian, Semelai",sza,seme1247,"4,100 ",Malay Peninsula,Unknown,Unknown,https://en.wikipedia.org/wiki/Semelai_language
2339,Senaya,"Afro-Asiatic, Semitic, Central Semitic, Aramaic, Eastern Aramaic, Northeastern, Assyrian Neo-Aramaic, Senaya","Afro-Asiatic, Semitic, Central Semitic, Aramaic, Eastern Aramaic, Northeastern, Assyrian Neo-Aramaic, Senaya",syn,sena1268,Uknown,Tehran and Qazvin,Unknown,Unknown,https://en.wikipedia.org/wiki/Christian_Neo-Aramaic_dialect_of_Senaya
2340,Seneca,"Iroquoian, Northern, Lake Iroquoian, Five Nations, Seneca","Iroquoian, Northern, Lake Iroquoian, Five Nations, Seneca",see,sene1264,100 ,"Western New York and the Six Nations Reserve, Ontario",Unknown,Unknown,https://en.wikipedia.org/wiki/Seneca_language
2341,Sened,"Afro-Asiatic, Berber, Northern, Zenati, East Zenati, Sened","Afro-Asiatic, Berber, Northern, Zenati, East Zenati, Sened",sds,sene1271,Uknown,Sened and Tmagourt,Unknown,Unknown,https://en.wikipedia.org/wiki/Sened_language
2342,Senegal,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Senegal
2343,Senggi,"Border, Senggi","Border, Senggi",snu,seng1285,250 ,"Papua province: Keerom Regency, Senggi District, Senggi village",Unknown,Unknown,https://en.wikipedia.org/wiki/Viid_language
2344,Sengseng,"Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero–Vitiaz, Southwest New Britain, Arawe–Pasismanua, Pasismanua, Sengseng","Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero–Vitiaz, Southwest New Britain, Arawe–Pasismanua, Pasismanua, Sengseng",ssz,seng1281,"1,800 ","southwest interior of West New Britain Province, Papua New Guinea",Unknown,Unknown,https://en.wikipedia.org/wiki/Sengseng_language
2345,Sentinelese,"Unclassified,  (possiblyOngan, )","Unclassified,  (possiblyOngan, )",std,sent1241,250 ,"North Sentinel Island, in the southwest of the Andaman and Nicobar Islands",Unknown,Unknown,https://en.wikipedia.org/wiki/Sentinelese_language
2346,Sephardim,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Sephardim
2347,Sera,"Austronesian, Malayo-Polynesian, Oceanic, Western, Schouten, Siau, Sera","Austronesian, Malayo-Polynesian, Oceanic, Western, Schouten, Siau, Sera",sry,sera1260,510 ,Sandaun Province,Unknown,Unknown,https://en.wikipedia.org/wiki/Sera_language
2348,Serbia,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Serbia
