glottocode,name,isocodes,level,macroarea,latitude,longitude,name_normalized,Name in English,Number of speakers,Degree of endangerment
riri1237,Ririo,rri,language,Papunesia,-6.88927,156.92,ririo,Ririo,18,Critically endangered
rita1239,Ritharrngu,rit,language,Australia,-13.4559,135.259,ritharrngu,Ritharrngu,66,Definitely endangered
roma1326,Romansh,roh,language,Eurasia,46.5538,9.92812,romansh,Romansh,35095,Definitely endangered
rong1264,Rongpo,rnp,language,Eurasia,30.528,79.567,rongpo,Rongpo,8000,Vulnerable
rotu1241,Rotuman,rtm,language,Papunesia,-12.5008,177.066,rotuman,Rotuman,3000,Vulnerable
rucc1239,Ruc,,dialect,Eurasia,17.68293,105.7841,ruc,Ruc,250,Definitely endangered
ruga1238,Ruga,ruh,language,Eurasia,25.506,91.469,ruga,Ruga,100,Critically endangered
ruka1240,Rukai,dru,language,Papunesia,22.7738,120.844,rukai,Rukai,2000,Vulnerable
rush1239,Rushani,,dialect,Eurasia,38.07829,71.58549,rushani,Rushani,30000,Definitely endangered
rusy1239,Rusyn,rue,language,Eurasia,48.7171,22.9579,rusyn,Rusyn,1000000,Vulnerable
rutu1240,Rutul,rut,language,Eurasia,41.6187,47.3244,rutul,Rutul,29383,Definitely endangered
saar1237,Saaroa,sxr,language,Papunesia,23.2632,120.711,saaroa,Saaroa,1500,Critically endangered
saba1276,Saba,saa,language,Africa,11.3072,18.4906,saba,Saba,1335,Definitely endangered
saba1268,Sabanê,sae,language,South America,-12.9857,-60.335,sabanê,Sabanê,3,Critically endangered
sach1240,Sach,,dialect,Eurasia,,,sach,Sach,1000,Definitely endangered
saek1240,Saek,skb,language,Eurasia,17.4558,104.787,saek,Saek,25000,Definitely endangered
sais1237,Saisiyat,xsy,language,Papunesia,24.6043,121.067,saisiyat,Saisiyat,200,Severely endangered
sake1247,Sake,sak,language,Africa,0.25188,11.787,sake,Sake,1000,Severely endangered
sakm1234,Sak (Myanmar),,dialect,Eurasia,,,sak (myanmar),Sak (Myanmar),3500,Vulnerable
saku1239,Sakurabiat,,dialect,South America,,,sakurabiat,Sakurabiat,25,Severely endangered
sala1264,Salar,slr,language,Eurasia,35.5457,102.819,salar,Salar,104503,Vulnerable
sala1269,Salas,sgu,language,Papunesia,-3.14654,130.53,salas,Salas,50,Severely endangered
sali1298,Sáliba,slc,language,South America,5.30115,-69.3843,sáliba,Sáliba,2000,Severely endangered
salu1253,Saluan,loe,language,Papunesia,-2.748,121.3,saluan,Saluan,1500,Vulnerable
sama1295,Samatao,ysd,language,Eurasia,25.012,102.2,samatao,Samatao,100,Critically endangered
sama1296,Samatu,,language,Eurasia,23.76,98.825,samatu,Samatu,500,Critically endangered
samb1307,Sambe,xab,language,Africa,9.160672,8.505628,sambe,Sambe,2,Critically endangered
same1240,Samei,smh,language,Eurasia,24.7859,99.9217,samei,Samei,12000,Severely endangered
samo1306,Samosa,swm,language,Papunesia,-5.01391,145.537,samosa,Samosa,94,Severely endangered
samp1249,Sampang,rav,language,Eurasia,27.2999,87.0019,sampang,Sampang,10810,Vulnerable
sand1278,San Dionisio del Mar Huave,hve,language,North America,16.3514,-94.7001,san dionisio del mar huave,San Dionisio del Mar Huave,5165,Definitely endangered
sanf1258,San Francisco del Mar Huave,hue,language,North America,16.2836,-94.5738,san francisco del mar huave,San Francisco del Mar Huave,6874,Critically endangered
sang1320,Sangkong,sgk,language,Eurasia,21.64,100.77,sangkong,Sangkong,2000,Vulnerable
sang1344,Sanglechi,sgy,language,Eurasia,36.45,71.3,sanglechi,Sanglechi,2500,Severely endangered
sanm1287,San Mateo del Mar Huave,huv,language,North America,16.2129,-95.0077,san mateo del mar huave,San Mateo del Mar Huave,12667,Vulnerable
sant1422,Santa María del Mar Huave,hvv,language,North America,16.2167,-94.8159,santa maría del mar huave,Santa María del Mar Huave,862,Severely endangered
sapa1251,Saparua,spr,language,Papunesia,-3.58314,128.639,saparua,Saparua,10216,Definitely endangered
sape1238,Sapé,spc,language,South America,4.0735661,-62.9666521,sapé,Sapé,50,Critically endangered
sapo1254,Saponi,spi,language,Papunesia,-2.385,136.497,saponi,Saponi,4,Critically endangered
sari1246,Sarikoli,srh,language,Eurasia,37.905,75.1449,sarikoli,Sarikoli,22000,Definitely endangered
saus1247,Sause,sao,language,Papunesia,-3.16632,139.627,sause,Sause,250,Severely endangered
savo1254,Savo,,dialect,Eurasia,,,savo,Savo,1147,Definitely endangered
scot1243,Scots,sco,language,Eurasia,55.886945,-3.710133,scots,Scots,1500000,Vulnerable
scot1245,Scottish Gaelic,gla,language,Eurasia,56.7574,-5.24366,scottish gaelic,Scottish Gaelic,58552,Definitely endangered
sech1246,Sechelt,sec,language,North America,49.4757,-123.765,sechelt,Sechelt,15,Critically endangered
sege1246,Segeju,seg,language,Africa,-5.00659,39.12249,segeju,Segeju,7000,Severely endangered
seka1250,Sekani,sek,language,North America,57.4421,-125.664,sekani,Sekani,75,Critically endangered
sema1266,Semai,sea,language,Eurasia,4.13257,101.477,semai,Semai,15000,Severely endangered
sema1265,Semaq Beri,szc,language,Eurasia,4.1217,102.816,semaq beri,Semaq Beri,1500,Critically endangered
seme1247,Semelai,sza,language,Eurasia,2.82799,102.806,semelai,Semelai,2500,Severely endangered
sena1268,Senaya,syn,dialect,Eurasia,35.7776,51.4363,senaya,Senaya,60,Critically endangered
sene1263,Sene,sej,language,Papunesia,-6.3859,147.807,sene,Sene,10,Critically endangered
sene1271,Sened,sds,language,Africa,34.4678,9.43778,sened,Sened,0,Extinct
seng1285,Senggi,snu,language,Papunesia,-3.41983,140.77,senggi,Senggi,100,Vulnerable
seng1275,Sengmai,,language,Eurasia,24.945633,93.881401,sengmai,Sengmai,0,Extinct
seng1281,Sengseng,ssz,language,Papunesia,-6.16474,149.784,sengseng,Sengseng,400,Vulnerable
sepa1243,Sepa,,dialect,Papunesia,,,sepa,Sepa,200,Vulnerable
sera1260,Sera,sry,language,Papunesia,-2.9854,141.951,sera,Sera,432,Severely endangered
seri1257,Seri,sei,language,North America,28.9877,-112.384,seri,Seri,518,Vulnerable
seri1255,Serili,sve,language,Papunesia,-8.11241,129.901,serili,Serili,328,Vulnerable
serr1255,Serrano,ser,language,North America,33.9479,-116.772,serrano,Serrano,0,Extinct
seru1247,Seru,szd,language,Papunesia,1.73885,112.133,seru,Seru,0,Extinct
shab1252,Shabo,sbf,language,Africa,7.64407,35.223,shabo,Shabo,450,Severely endangered
shan1283,Shanenawa,swo,language,South America,-8.00919,-73.3264,shanenawa,Shanenawa,300,Vulnerable
shar1245,Sharanahua,mcd,language,South America,-9.8626,-71.1232,sharanahua,Sharanahua,450,Severely endangered
shat1244,Shatt,shj,language,Africa,10.8525,29.7687,shatt,Shatt,15000,Severely endangered
shaw1249,Shawnee,sjw,language,North America,40.0,-83.0,shawnee,Shawnee,100,Severely endangered
shee1238,She,shx,language,Eurasia,23.0399,114.814,she,She,1000,Critically endangered
sher1257,Sherdukpen,sdp,language,Eurasia,27.0035,92.5799,sherdukpen,Sherdukpen,3000,Vulnerable
ship1254,Shipibo-Conibo,shp,language,South America,-7.17105,-74.8219,shipibo-conibo,Shipibo-Conibo,16085,Definitely endangered
shiw1235,Shiwiar,,dialect,South America,,,shiwiar,Shiwiar,100,Severely endangered
shix1238,Shixing,sxg,language,Eurasia,28.3895,100.4,shixing,Shixing,1800,Definitely endangered
shug1248,Shughni,sgh,language,Eurasia,37.5018,71.7925,shughni,Shughni,95000,Vulnerable
shum1235,Shumashti,sts,language,Eurasia,34.73008,70.782866,shumashti,Shumashti,1000,Severely endangered
shus1248,Shuswap,shs,language,North America,50.8734,-119.667,shuswap,Shuswap,570,Definitely endangered
shwa1239,Shwai,shw,language,Africa,11.2708,30.3533,shwai,Shwai,3500,Critically endangered
sibe1252,Sibe,,dialect,Eurasia,,,sibe,Sibe,27000,Severely endangered
sici1248,Sicilian,scn,language,Eurasia,37.5735,14.0414,sicilian,Sicilian,5000000,Vulnerable
sigh1238,Sighu,sxe,language,Africa,-0.95605,13.1214,sighu,Sighu,1000,Severely endangered
sigl1242,Siglitun,,dialect,North America,,,siglitun,Siglitun,230,Severely endangered
guah1255,Sikuani,guh,language,South America,5.81736,-68.9839,sikuani,Sikuani,34614,Vulnerable
sila1247,Sila,slt,language,Eurasia,21.6888,102.134,sila,Sila,2600,Definitely endangered
sing1266,Singa,sgm,language,Africa,-0.24587,33.8997,singa,Singa,0,Extinct
siri1273,Sirionó,srq,language,South America,-15.5298,-63.9688,sirionó,Sirionó,400,Severely endangered
siss1243,Sissano,sso,language,Papunesia,-3.01976,142.049,sissano,Sissano,300,Critically endangered
sius1254,Siuslaw,sis,language,North America,42.5111,-124.379,siuslaw,Siuslaw,0,Extinct
siva1239,Sivandi,siy,language,Eurasia,30.08,52.92,sivandi,Sivandi,7000,Definitely endangered
siwi1239,Siwi,siz,language,Africa,29.200415,25.519627,siwi,Siwi,15000,Definitely endangered
skol1241,Skolt Saami,sms,language,Eurasia,68.8326,29.7204,skolt saami,Skolt Saami,300,Severely endangered
slov1270,Slovincian,,dialect,Eurasia,,,slovincian,Slovincian,0,Extinct
sobe1238,Sobei,sob,language,Papunesia,-1.86998,138.75,sobei,Sobei,1000,Definitely endangered
soii1240,Soi,,dialect,Eurasia,,,soi,Soi,7000,Definitely endangered
solo1263,Solon,,dialect,Eurasia,48.166,119.4873,solon,Solon,10000,Definitely endangered
somy1238,Somyev,kgt,language,Africa,6.90525,11.4826,somyev,Somyev,20,Critically endangered
sons1242,Sonsorol,sov,language,Papunesia,5.328596,132.221282,sonsorol,Sonsorol,600,Severely endangered
sooo1256,Soo,teu,language,Africa,2.58367,34.7595,soo,Soo,100,Critically endangered
soqo1240,Soqotri,sqt,language,Africa,12.4892,53.9168,soqotri,Soqotri,50000,Severely endangered
sora1254,Sora,srb,language,Eurasia,19.1213,84.19,sora,Sora,250000,Vulnerable
sors1241,Sorsorian,,language,Papunesia,-16.437,167.785,sorsorian,Sorsorian,5,Critically endangered
sout2982,Southeastern Pomo,pom,language,North America,38.9354,-122.599,southeastern pomo,Southeastern Pomo,0,Extinct
sout2972,Southeastern Tarahumara,tcu,language,North America,26.7282,-106.706,southeastern tarahumara,Southeastern Tarahumara,5406,Vulnerable
sout2978,Southern East Cree,crj,language,North America,51.4078,-78.6971,southern east cree,Southern East Cree,4455,Vulnerable
sout2956,Southern Haida,hax,language,North America,53.2616,-132.008,southern haida,Southern Haida,55,Critically endangered
sout3226,Southern Khanty,,language,Eurasia,59.500948,69.085972,southern khanty,Southern Khanty,0,Extinct
sout3253,Southern Mansi,,language,Eurasia,58.4362,65.5664,southern mansi,Southern Mansi,0,Extinct
sout2984,Southern Pomo,peq,language,North America,38.7643,-122.545,southern pomo,Southern Pomo,3,Critically endangered
sout3262,Southern Selkup,,dialect,Eurasia,58.6626,85.8581,southern selkup,Southern Selkup,5,Critically endangered
sout2985,Southern Sierra Miwok,skd,language,North America,38.2363,-120.507,southern sierra miwok,Southern Sierra Miwok,3,Critically endangered
sout2739,Southern Tujia,tjs,language,Eurasia,28.2368,110.022,southern tujia,Southern Tujia,10000,Severely endangered
sout2957,Southern Tutchone,tce,language,North America,60.7823,-136.573,southern tutchone,Southern Tutchone,40,Critically endangered
sout2674,South Saami,sma,language,Eurasia,62.8801,13.7006,south saami,South Saami,500,Severely endangered
sout2959,South Slavey,xsl,language,North America,59.8794,-117.047,south slavey,South Slavey,920,Definitely endangered
sout2977,Southwestern Tepehuan,tla,language,North America,23.2553,-104.688,southwestern tepehuan,Southwestern Tepehuan,2756,Vulnerable
sowa1244,Sowa,sww,language,Papunesia,-15.82653,168.18653,sowa,Sowa,10,Critically endangered
soya1237,Soyaltepec Mazatec,vmp,language,North America,18.2868,-96.4946,soyaltepec mazatec,Soyaltepec Mazatec,27524,Vulnerable
soyo1234,Soyot,,dialect,Eurasia,52.0406,101.0659,soyot,Soyot,0,Extinct
spok1245,Spokane,spo,language,North America,47.9087,-118.062,spokane,Spokane,2,Critically endangered
ston1242,Stoney,sto,language,North America,51.1939,-114.984,stoney,Stoney,2765,Vulnerable
suba1238,Suba,sxb,language,Africa,-0.95719,34.1033,suba,Suba,100000,Vulnerable
subt1250,Subtiaba,sut,language,North America,12.4667,-86.9166,subtiaba,Subtiaba,0,Extinct
suma1269,Sumariup,siv,language,Papunesia,-4.73083,143.239,sumariup,Sumariup,65,Severely endangered
sunw1242,Sunwar,suz,language,Eurasia,27.5201,86.2476,sunwar,Sunwar,26611,Vulnerable
sure1238,Surel,,dialect,Eurasia,27.6969,86.3058,surel,Surel,25,Critically endangered
suru1263,Suruahá,swx,language,South America,-6.82525,-66.3146,suruahá,Suruahá,136,Vulnerable
susu1251,Susuami,ssu,language,Papunesia,-7.19275,146.561,susuami,Susuami,10,Critically endangered
svan1243,Svan,sva,language,Eurasia,42.9134,42.5915,svan,Svan,80000,Definitely endangered
swam1239,Swampy Cree,csw,language,North America,56.0,-95.0,swampy cree,Swampy Cree,16685,Vulnerable
taba1259,Tabasaran,tab,language,Eurasia,42.0198,47.8379,tabasaran,Tabasaran,128391,Vulnerable
tafi1243,Tafi,tcd,language,Africa,6.79522,0.39875,tafi,Tafi,4400,Vulnerable
tagi1241,Tagin,tgj,language,Eurasia,27.986064,94.221711,tagin,Tagin,30000,Vulnerable
tago1246,Tagoi,tag,language,Africa,12.0346,30.9306,tagoi,Tagoi,13000,Severely endangered
tahl1239,Tahltan,tht,language,North America,58.4498,-130.052,tahltan,Tahltan,60,Critically endangered
taia1239,Taiap,gpn,language,Papunesia,-4.05047,144.506,taiap,Taiap,89,Severely endangered
taid1253,Tai Daeng,,dialect,Eurasia,,,tai daeng,Tai Daeng,80000,Vulnerable
taik1255,Taikat,aos,language,Papunesia,-2.9408,140.7495,taikat,Taikat,500,Definitely endangered
taje1237,Taje,pee,language,Papunesia,-0.72583,120.078,taje,Taje,350,Critically endangered
taji1246,Tajio,tdj,language,Papunesia,-0.31553,120.01,tajio,Tajio,12000,Vulnerable
talo1252,Taloki,tlk,language,Papunesia,-4.6478,122.872,taloki,Taloki,500,Definitely endangered
tamb1253,Tambotalo,tls,language,Papunesia,-15.5004,167.139,tambotalo,Tambotalo,50,Severely endangered
tamk1242,Tamki,tax,language,Africa,11.4926,18.2295,tamki,Tamki,500,Critically endangered
tana1290,Tanacross,tcb,language,North America,63.4046,-143.338,tanacross,Tanacross,50,Critically endangered
tand1253,Tandia,tni,language,Papunesia,-2.84228,134.532,tandia,Tandia,0,Extinct
tane1237,Tanema,tnx,language,Papunesia,-11.68,166.97,tanema,Tanema,4,Critically endangered
tang1377,Tangam,,language,Eurasia,28.95,94.98,tangam,Tangam,100,Critically endangered
tang1373,Tangwang,,language,Eurasia,35.803799,103.54273,tangwang,Tangwang,20000,Definitely endangered
tani1255,Tanimbili,tbe,language,Papunesia,-11.2975,166.507,tanimbili,Tanimbili,50,Severely endangered
taok1237,Taokas,,dialect,Papunesia,,,taokas,Taokas,0,Extinct
taos1236,Taos,,dialect,North America,,,taos,Taos,800,Definitely endangered
tapi1254,Tapirapé,taf,language,South America,-10.5373,-50.5438,tapirapé,Tapirapé,564,Vulnerable
tara1313,Tarao,tro,language,Eurasia,24.4003,94.1703,tarao,Tarao,870,Critically endangered
tarp1240,Tarpia,tpf,language,Papunesia,-2.322279,140.115497,tarpia,Tarpia,300,Severely endangered
taul1251,Taulil,tuh,language,Papunesia,-4.44425,152.095,taulil,Taulil,800,Vulnerable
taus1252,Tause,tad,language,Papunesia,-2.8406,136.899,tause,Tause,300,Vulnerable
taus1253,Taushiro,trr,language,South America,-3.22497,-75.5603,taushiro,Taushiro,1,Critically endangered
tawo1244,Taworta,tbp,language,Papunesia,-3.43455,139.061,taworta,Taworta,140,Vulnerable
tchi1245,Tchitchege,tck,language,Africa,-2.03393,13.6001,tchitchege,Tchitchege,2000,Definitely endangered
tchu1241,Tchumbuli,bqa,language,Africa,8.43449,2.55627,tchumbuli,Tchumbuli,1838,Critically endangered
tean1237,Teanu,tkw,language,Papunesia,-11.6752,166.868,teanu,Teanu,600,Definitely endangered
tehu1242,Tehuelche,teh,language,South America,-47.5796,-68.3235,tehuelche,Tehuelche,4,Critically endangered
emer1243,Teko,eme,language,South America,3.23694,-52.3699,teko,Teko,71,Severely endangered
nucl1339,Temein,teq,language,Africa,11.8275,29.3898,temein,Temein,10000,Severely endangered
temi1246,Temiar,tea,language,Eurasia,4.974,101.438,temiar,Temiar,10000,Definitely endangered
temu1239,Temuan,tmw,language,Eurasia,2.78176,101.906,temuan,Temuan,8000,Severely endangered
nucl1663,Tenharim,,dialect,South America,,,tenharim,Tenharim,350,Severely endangered
tenn1246,Tennet,tex,language,Africa,4.91107,32.6307,tennet,Tennet,4000,Vulnerable
tere1281,Terena,,dialect,South America,,,terena,Terena,19000,Severely endangered
ters1235,Ter Saami,sjt,language,Eurasia,67.2458,38.5061,ter saami,Ter Saami,10,Critically endangered
tese1238,Tese,keg,language,Africa,11.3885,29.5803,tese,Tese,1400,Critically endangered
tete1252,Tetete,teb,language,South America,-0.02668,-76.5761,tetete,Tetete,0,Extinct
tets1235,Tetserret,tez,language,Africa,14.973333,5.699722,tetserret,Tetserret,40000,Severely endangered
thak1245,Thakali,ths,language,Eurasia,28.7014,83.6466,thakali,Thakali,6441,Vulnerable
than1259,Thangmi,thf,language,Eurasia,28.7554,85.7657,thangmi,Thangmi,33500,Definitely endangered
thao1240,Thao,ssf,language,Papunesia,23.8333,120.93,thao,Thao,10,Critically endangered
thee1239,Theen,,language,Eurasia,19.379873,102.414123,theen,Theen,200,Severely endangered
thom1243,Thompson,thp,language,North America,50.1668,-120.193,thompson,Thompson,335,Severely endangered
thul1246,Thulung,tdh,language,Eurasia,27.5389,87.6063,thulung,Thulung,14034,Definitely endangered
thur1255,Thuri,thu,language,Africa,8.72567,26.4858,thuri,Thuri,6600,Vulnerable
ticu1245,Ticuna,tca,language,South America,-3.66289,-69.8723,ticuna,Ticuna,35000,Definitely endangered
tidi1242,Tidikelt,,dialect,Africa,,,tidikelt,Tidikelt,30000,Critically endangered
till1254,Tillamook,til,language,North America,45.5,-123.83,tillamook,Tillamook,0,Extinct
tilu1238,Tilung,tij,language,Eurasia,27.2203,86.4694,tilung,Tilung,310,Definitely endangered
tima1241,Tima,tms,language,Africa,11.7176,29.1632,tima,Tima,3305,Severely endangered
tind1238,Tindi,tin,language,Eurasia,42.3316,45.9227,tindi,Tindi,6000,Definitely endangered
ting1253,Tingal,tie,language,Africa,12.1797,31.1244,tingal,Tingal,8000,Definitely endangered
tini1245,Tinigua,tit,language,South America,2.716,-73.768,tinigua,Tinigua,1,Critically endangered
tira1253,Tirahi,tra,language,Eurasia,34.1792,69.5901,tirahi,Tirahi,100,Critically endangered
tiri1261,Tiri,,dialect,Papunesia,,,tiri,Tiri,221,Definitely endangered
tirm1240,Tirma,,dialect,Africa,,,tirma,Tirma,1000,Critically endangered
tiwi1244,Tiwi,tiw,language,Australia,-11.6308,130.949,tiwi,Tiwi,2100,Vulnerable
tlac1235,Tlachichilco Tepehua,tpt,language,North America,20.704,-98.1947,tlachichilco tepehua,Tlachichilco Tepehua,2234,Definitely endangered
toba1269,Toba,tob,language,South America,-23.77,-61.96,toba,Toba,30000,Definitely endangered
toba1266,Tobati,tti,language,Papunesia,-2.56434,140.71,tobati,Tobati,80,Severely endangered
tobi1238,Tobian,tox,language,Papunesia,3.004528,131.171295,tobian,Tobian,22,Critically endangered
toch1257,Tocho,taz,language,Africa,10.8828,30.1567,tocho,Tocho,3800,Severely endangered
toda1252,Toda,tcx,language,Eurasia,11.4184,77.0168,toda,Toda,1006,Critically endangered
tofa1248,Tofa,,dialect,Eurasia,,,tofa,Tofa,40,Critically endangered
tofa1246,Tofanma,tlg,language,Papunesia,-3.74322,140.591,tofanma,Tofanma,90,Vulnerable
togo1252,Togoyo,tgy,language,Africa,8.6629,25.9756,togoyo,Togoyo,0,Extinct
toll1241,Tol,jic,language,North America,14.6686,-87.0372,tol,Tol,300,Critically endangered
tolo1255,Tolomako,tlm,language,Papunesia,-15.1569,166.772,tolomako,Tolomako,450,Definitely endangered
toma1248,Tomadino,tdi,language,Papunesia,-2.56493,121.944,tomadino,Tomadino,500,Definitely endangered
tomb1245,Tombelala,ttp,language,Papunesia,-2.50998,121.915,tombelala,Tombelala,1000,Vulnerable
tonj1246,Tonjon,tjn,language,Africa,8.357,-4.40666,tonjon,Tonjon,0,Extinct
tora1263,Torá,trz,language,South America,-6.19532,-61.7416,torá,Torá,0,Extinct
tora1267,Toram,trj,language,Africa,11.2027,19.5254,toram,Toram,8456,Severely endangered
torw1241,Torwali,trw,language,Eurasia,35.3101,72.5316,torwali,Torwali,60000,Definitely endangered
toto1302,Toto,txo,language,Eurasia,26.67,88.975,toto,Toto,1000,Critically endangered
toto1304,Totoli,txe,language,Papunesia,1.14995,120.875,totoli,Totoli,15000,Vulnerable
tran1294,Transylvanian Saxon,,dialect,Eurasia,,,transylvanian saxon,Transylvanian Saxon,50000,Severely endangered
triw1234,Triw,,dialect,Eurasia,15.6833,107.2,triw,Triw,1328,Definitely endangered
trum1247,Trumai,tpy,language,South America,-11.8119,-53.5717,trumai,Trumai,51,Critically endangered
colo1256,Tsafiki,cof,language,South America,-0.21181,-79.2347,tsafiki,Tsafiki,2000,Definitely endangered
tsak1249,Tsakhur,tkr,language,Eurasia,41.5916,46.8858,tsakhur,Tsakhur,25000,Definitely endangered
tsak1248,Tsakonian,tsd,language,Eurasia,37.1405,22.7341,tsakonian,Tsakonian,300,Critically endangered
tset1236,Tsetsaut,txc,language,North America,55.5,-130.08,tsetsaut,Tsetsaut,0,Extinct
dido1241,Tsez,ddo,language,Eurasia,42.2646,45.8096,tsez,Tsez,15356,Definitely endangered
tsha1245,Tshangla,tsj,language,Eurasia,27.3694,91.7741,tshangla,Tshangla,193000,Vulnerable
tsix1234,Ts'ixa,,language,Africa,-19.180953,23.998153,ts'ixa,Ts'ixa,390,Definitely endangered
tsou1248,Tsou,tsu,language,Papunesia,23.216,120.787,tsou,Tsou,1200,Vulnerable
tsum1240,Tsum,ttz,language,Eurasia,28.4719,85.0817,tsum,Tsum,4786,Definitely endangered
tuam1242,Tuamotuan,pmt,language,Papunesia,-16.17259,-146.321755,tuamotuan,Tuamotuan,14400,Definitely endangered
tule1245,Tule-Kaweah Yokuts,,language,North America,36.05354,-118.768616,tule-kaweah yokuts,Tule-Kaweah Yokuts,10,Critically endangered
tuli1249,Tulishi,tey,language,Africa,11.4507,29.108,tulishi,Tulishi,8628,Severely endangered
tulu1258,Tulu,tcy,language,Eurasia,12.8114,75.2651,tulu,Tulu,1722768,Vulnerable
tumt1243,Tumtum,tbr,language,Africa,10.6378,30.4128,tumtum,Tumtum,6500,Severely endangered
tund1254,Tundra Enets,enh,language,Eurasia,70.36,84.08,tundra enets,Tundra Enets,10,Critically endangered
nene1249,Tundra Nenets,yrk,language,Eurasia,66.1775,71.0234,tundra nenets,Tundra Nenets,30000,Definitely endangered
tuni1252,Tunica,tun,language,North America,30.9888,-92.5403,tunica,Tunica,0,Extinct
tuot1238,Tuotomb,ttf,language,Africa,4.65626,10.6592,tuotomb,Tuotomb,1000,Severely endangered
tura1265,Turaka,trh,language,Papunesia,-9.83576,149.567,turaka,Turaka,35,Critically endangered
turi1246,Turi,trd,language,Eurasia,22.0122,84.4712,turi,Turi,5000,Definitely endangered
turo1239,Turoyo,tru,language,Eurasia,37.2275,42.1451,turoyo,Turoyo,50000,Severely endangered
tutu1241,Tutuba,tmi,language,Papunesia,-15.580667,167.268889,tutuba,Tutuba,120,Definitely endangered
tutu1242,Tututni,tuu,language,North America,42.5563,-124.293,tututni,Tututni,0,Extinct
tuwu1238,Tuwuli,bov,language,Africa,7.31095,0.38008,tuwuli,Tuwuli,11400,Vulnerable
twan1247,Twana,twa,language,North America,47.48952,-123.21227,twana,Twana,0,Extinct
tzut1248,Tz'utujil,tzj,language,North America,14.6351,-91.2012,tz'utujil,Tz'utujil,63237,Definitely endangered
uuuu1243,U,uuu,language,Eurasia,22.6767,101.772,u,U,3000,Definitely endangered
ubii1238,Ubi,ubi,language,Africa,11.8006,18.558,ubi,Ubi,1100,Severely endangered
udmu1245,Udmurt,udm,language,Eurasia,56.12921,52.63548,udmurt,Udmurt,463837,Definitely endangered
ujir1237,Ujir,udj,language,Papunesia,-5.69329,134.257,ujir,Ujir,1200,Definitely endangered
ukhw1241,Ukhwejo,ukh,language,Africa,2.9095,16.267,ukhwejo,Ukhwejo,2000,Severely endangered
ulit1238,Ulithian,uli,language,Papunesia,9.961388,139.603611,ulithian,Ulithian,3000,Severely endangered
ulwa1239,Ulwa,ulw,language,North America,12.932292,-83.581467,ulwa,Ulwa,500,Severely endangered
umbr1254,Umbrul,,dialect,Papunesia,,,umbrul,Umbrul,5,Critically endangered
umes1235,Ume Saami,sju,language,Eurasia,64.6383,18.646,ume saami,Ume Saami,20,Critically endangered
umpi1239,Umpila,ump,language,Australia,-13.1528,143.467,umpila,Umpila,12,Severely endangered
uppe1439,Upper Chehalis,cjh,language,North America,46.7981,-123.169,upper chehalis,Upper Chehalis,0,Extinct
uppe1438,Upper Kuskokwim,kuu,language,North America,62.2976,-155.951,upper kuskokwim,Upper Kuskokwim,25,Critically endangered
uppe1436,Upper Umpqua,xup,language,North America,43.22,-123.36,upper umpqua,Upper Umpqua,0,Extinct
uraa1244,Ura,,dialect,Eurasia,27.466667,90.9,ura,Ura,3,Critically endangered
urar1246,Urarina,ura,language,South America,-4.44006,-75.4211,urarina,Urarina,2000,Vulnerable
uruu1244,Uru,ure,language,South America,-16.72547,-68.97119,uru,Uru,1,Extinct
urua1245,Uruak,,dialect,South America,,,uruak,Uruak,19,Critically endangered
urua1242,Uruava,urv,language,Papunesia,-6.23314,155.573,uruava,Uruava,0,Extinct
usho1238,Ushojo,ush,language,Eurasia,35.1584,72.643,ushojo,Ushojo,2000,Definitely endangered
usku1243,Usku,ulf,language,Papunesia,-3.63853,140.502,usku,Usku,20,Critically endangered
vafs1240,Vafsi,vaf,language,Eurasia,34.5309,50.0013,vafsi,Vafsi,18000,Definitely endangered
vall1253,Valle Nacional Chinantec,cvn,language,North America,17.7964,-96.3187,valle nacional chinantec,Valle Nacional Chinantec,442,Definitely endangered
vall1251,Valley Yokuts,,dialect,North America,,,valley yokuts,Valley Yokuts,30,Severely endangered
vehe1237,Vehes,val,language,Papunesia,-6.92151,146.895,vehes,Vehes,100,Severely endangered
vent1242,Ventureño,veo,language,North America,34.1761,-119.035,ventureño,Ventureño,0,Extinct
veps1250,Veps,vep,language,Eurasia,60.3353,34.7865,veps,Veps,5753,Severely endangered
vera1241,Vera'a,vra,language,Papunesia,-13.892528,167.428701,vera'a,Vera'a,300,Definitely endangered
vidu1238,Vidunda,vid,language,Africa,-7.52674,36.9316,vidunda,Vidunda,10000,Vulnerable
vile1241,Vilela,vil,language,South America,-27.4063,-58.9661,vilela,Vilela,0,Extinct
volo1238,Volow,,dialect,Papunesia,,,volow,Volow,1,Critically endangered
seto1243,Võro-Seto,,dialect,Eurasia,,,võro-seto,Võro-Seto,50000,Definitely endangered
vumb1238,Vumbu,vum,language,Africa,-2.17673,10.6498,vumbu,Vumbu,2460,Definitely endangered
wabb1237,Wab,wab,language,Papunesia,-5.61216,146.461,wab,Wab,142,Vulnerable
waim1252,Waima'a,wmh,language,Papunesia,-8.53416,126.317,waima'a,Waima'a,3000,Definitely endangered
waja1257,Wajarri,wbv,language,Australia,-28.1761,117.153,wajarri,Wajarri,20,Severely endangered
wakh1245,Wakhi,wbl,language,Eurasia,37.1768,73.9777,wakhi,Wakhi,75000,Definitely endangered
wali1265,Wali,,dialect,Papunesia,,,wali,Wali,487,Critically endangered
