glottocode,name,isocodes,level,macroarea,latitude,longitude,name_normalized,Name in English,Number of speakers,Degree of endangerment
mund1320,Mundari,unr,language,Eurasia,23.03,85.85,mundari,Mundari,750000,Vulnerable
mund1330,Mundurukú,myu,language,South America,-8.41095,-57.691,mundurukú,Mundurukú,8000,Vulnerable
munj1244,Munji,mnj,language,Eurasia,35.9321,70.9404,munji,Munji,2000,Severely endangered
mura1273,Múra,,dialect,South America,,,múra,Múra,0,Extinct
murs1242,Mursi,muz,language,Africa,5.69801,36.0971,mursi,Mursi,3278,Vulnerable
muso1238,Musom,msu,language,Papunesia,-6.53817,146.93,musom,Musom,219,Definitely endangered
muss1246,Mussau-Emira,emi,language,Papunesia,-1.44105,149.624,mussau-emira,Mussau-Emira,3651,Definitely endangered
mwat1237,Mwatebu,mwa,language,Papunesia,-10.0271,151.066,mwatebu,Mwatebu,166,Definitely endangered
mwes1235,Mwesen,,dialect,Papunesia,,,mwesen,Mwesen,15,Critically endangered
naaa1245,Na,nbt,language,Eurasia,28.431524,93.248908,na,Na,350,Critically endangered
nade1244,Nadëb,mbj,language,South America,-1.24449,-66.3068,nadëb,Nadëb,350,Definitely endangered
nafi1237,Nafi,srf,language,Papunesia,-6.43306,146.815,nafi,Nafi,100,Severely endangered
nafu1238,Nafusi,jbn,language,Africa,33.4398,9.83329,nafusi,Nafusi,240000,Severely endangered
nagu1244,Nagumi,ngv,language,Africa,8.7162,13.4264,nagumi,Nagumi,0,Extinct
naik1250,Naiki,,dialect,Eurasia,,,naiki,Naiki,10000,Critically endangered
naka1263,Naka'ela,nae,language,Papunesia,-2.85543,128.516,naka'ela,Naka'ela,0,Extinct
nalu1240,Nalu,naj,language,Africa,11.0397,-14.8188,nalu,Nalu,13000,Definitely endangered
litz1237,Naman,lzl,language,Papunesia,-16.1331,167.415,naman,Naman,5,Critically endangered
namo1247,Namonuito,nmt,language,Papunesia,8.584627,149.685202,namonuito,Namonuito,944,Severely endangered
namu1246,Namuyi,nmy,language,Eurasia,28.5909,101.898,namuyi,Namuyi,5000,Vulnerable
nant1250,Nanti,cox,language,South America,-12.1018,-72.3507,nanti,Nanti,450,Vulnerable
napu1241,Napu,npy,language,Papunesia,-1.43707,120.338,napu,Napu,4000,Vulnerable
nara1265,Narau,nxu,language,Papunesia,-3.43594,139.876,narau,Narau,85,Severely endangered
nari1240,Narim,loh,language,Africa,4.80331,33.3312,narim,Narim,3623,Definitely endangered
nasa1240,Nasarian,nvh,language,Papunesia,-16.3497,167.414,nasarian,Nasarian,5,Critically endangered
nask1242,Naskapi,nsk,language,North America,55.9316,-61.1318,naskapi,Naskapi,525,Vulnerable
nata1257,Natanzi,,dialect,Eurasia,,,natanzi,Natanzi,7000,Severely endangered
natc1249,Natchez,ncz,language,North America,31.75,-91.33,natchez,Natchez,0,Extinct
nets1241,Natsilingmiutut,,dialect,North America,,,natsilingmiutut,Natsilingmiutut,1455,Vulnerable
naun1237,Nauna,ncn,language,Papunesia,-2.21213,148.201,nauna,Nauna,130,Vulnerable
nava1243,Navajo,nav,language,North America,36.33,-109.38,navajo,Navajo,120000,Vulnerable
navw1234,Navwien,,language,Papunesia,-16.502947,167.554419,navwien,Navwien,5,Critically endangered
nayi1243,Nayi,noz,language,Africa,6.88202,36.3813,nayi,Nayi,3656,Vulnerable
nucl1272,Nayini,,dialect,Eurasia,,,nayini,Nayini,7000,Severely endangered
ndai1238,Ndai,gke,language,Africa,8.09039,14.2888,ndai,Ndai,5,Critically endangered
ndin1245,Nding,eli,language,Africa,10.2741,30.7306,nding,Nding,3513,Critically endangered
ndun1251,Ndunda,nuh,language,Africa,6.73205,11.11047,ndunda,Ndunda,400,Severely endangered
negi1245,Negidal,neg,language,Eurasia,52.96584,139.20575,negidal,Negidal,147,Critically endangered
neku1237,Neku,nek,language,Papunesia,-21.6524,165.578,neku,Neku,221,Severely endangered
nemi1240,Nemi,nem,language,Papunesia,-20.6791,164.797,nemi,Nemi,325,Definitely endangered
newr1237,New River Shasta,,language,North America,41.100052,-123.179627,new river shasta,New River Shasta,0,Extinct
nezp1238,Nez Perce,nez,language,North America,46.3073,-116.408,nez perce,Nez Perce,20,Critically endangered
ngaa1240,Ngaanyatjarra,ntj,language,Australia,-25.7514,127.602,ngaanyatjarra,Ngaanyatjarra,700,Vulnerable
ngal1292,Ngalkbun,ngk,language,Australia,-13.9783,133.936,ngalkbun,Ngalkbun,30,Severely endangered
ngan1291,Nganasan,nio,language,Eurasia,73.1354,86.2106,nganasan,Nganasan,505,Severely endangered
ngan1295,Ngandi,nid,language,Australia,-12.8448,134.649,ngandi,Ngandi,9,Critically endangered
ngar1288,Ngardi,rxd,language,Australia,-21.0231,129.0308,ngardi,Ngardi,10,Critically endangered
ngar1235,Ngarinman,nbj,language,Australia,-15.4661,130.651,ngarinman,Ngarinman,50,Severely endangered
ngar1284,Ngarinyin,ung,language,Australia,-16.4006,126.433,ngarinyin,Ngarinyin,90,Definitely endangered
ngar1296,Ngarla,nrk,language,Australia,-20.20748,119.30579,ngarla,Ngarla,0,Extinct
ngar1287,Ngarluma,nrl,language,Australia,-20.9235,117.203,ngarluma,Ngarluma,9,Critically endangered
ngil1242,Ngile,jle,language,Africa,10.7194,29.997,ngile,Ngile,38000,Severely endangered
ngom1269,Ngombe,,dialect,Africa,,,ngombe,Ngombe,1450,Definitely endangered
ngon1275,Ngong,nnx,language,Africa,8.78874,13.42855,ngong,Ngong,0,Extinct
ngwa1251,Ngwaba,ngw,language,Africa,10.0921,12.7942,ngwaba,Ngwaba,10000,Severely endangered
