,glottocode,name,isocodes,level,macroarea,latitude,longitude,name_normalized,Name in English,Number of speakers,Degree of endangerment,lang,family,dialects,iso3code,speakers,regions,off_lang,rec_min_lang,url
683,temi1246,Temiar,tea,language,Eurasia,4.974,101.438,temiar,Temiar,10000,Definitely endangered,Temiar,"Austroasiatic
	Aslian
		Senoic
			Temiar
				
	","Austroasiatic, Aslian, Senoic, Temiar",tea,"30,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Temiar_language
684,tenn1246,Tennet,tex,language,Africa,4.91107,32.6307,tennet,Tennet,4000,Vulnerable,Tennet,"Nilo-Saharan
	\n
		Eastern Sudanic
			
				Kir–Abbaian
					
						Surmic
							South Surmic
								Southwest Surmic
									Didinga–Murle
										Tennet
											
	","Nilo-Saharan, \n, Eastern Sudanic, , Kir–Abbaian, , Surmic, South Surmic, Southwest Surmic, Didinga–Murle, Tennet",tex,"30,000 ","Eastern Equatoria, Lafon County",Unknown,Unknown,https://en.wikipedia.org/wiki/Tennet_language
685,ters1235,Ter Saami,sjt,language,Eurasia,67.2458,38.5061,ter saami,Ter Saami,10,Critically endangered,Ter Sámi,"Uralic
	Sámi
		Eastern Sámi
			Ter Sámi
				
	","Uralic, Sámi, Eastern Sámi, Ter Sámi",sjt,2 ,,Unknown,Unknown,https://en.wikipedia.org/wiki/Ter_S%C3%A1mi
686,tets1235,Tetserret,tez,language,Africa,14.973333,5.699722,tetserret,Tetserret,40000,Severely endangered,Tetserret,"Afro-Asiatic
	Berber
		Western
			Tetserret
				
	","Afro-Asiatic, Berber, Western, Tetserret",tez,"2,000 ",Sahara,Unknown,Unknown,https://en.wikipedia.org/wiki/Tetserret_language
687,than1259,Thangmi,thf,language,Eurasia,28.7554,85.7657,thangmi,Thangmi,33500,Definitely endangered,Thangmi,"Sino-Tibetan
	Tibeto-Burman
		Newaric
			Baram–Thangmi
				Thangmi
					
	","Sino-Tibetan, Tibeto-Burman, Newaric, Baram–Thangmi, Thangmi",thf,"23,200 ",Nepal and India,Unknown,Unknown,https://en.wikipedia.org/wiki/Thangmi_language
688,thee1239,Theen,,language,Eurasia,19.379873,102.414123,theen,Theen,200,Severely endangered,Theen,"Austroasiatic
	Khmuic
		Theen
			
	","Austroasiatic, Khmuic, Theen",Nonetitle (titlemistitle),,,Unknown,Unknown,https://en.wikipedia.org/wiki/Theen_language
689,thul1246,Thulung,tdh,language,Eurasia,27.5389,87.6063,thulung,Thulung,14034,Definitely endangered,Thulung,"Sino-Tibetan
	Tibeto-Burman
		Mahakiranti
			 ()
				Kiranti
					Western
						Midwestern
							Thulung
								
	","Sino-Tibetan, Tibeto-Burman, Mahakiranti,  (), Kiranti, Western, Midwestern, Thulung",tdh,"21,000 ","Nepal, India",Unknown,Unknown,https://en.wikipedia.org/wiki/Thulung_language
690,thur1255,Thuri,thu,language,Africa,8.72567,26.4858,thuri,Thuri,6600,Vulnerable,Thuri,"Nilo-Saharan
	\n
		Eastern Sudanic
			Nilotic
				Western Nilotic
					Luo
						Northern
							Thuri
								
	","Nilo-Saharan, \n, Eastern Sudanic, Nilotic, Western Nilotic, Luo, Northern, Thuri",thu,,,Unknown,Unknown,https://en.wikipedia.org/wiki/Thuri_language
691,till1254,Tillamook,til,language,North America,45.5,-123.83,tillamook,Tillamook,0,Extinct,Tillamook,"Salishan
	Coast Salish
		Tillamook
			
	","Salishan, Coast Salish, Tillamook",til,Uknown,Northwestern Oregon,Unknown,Unknown,https://en.wikipedia.org/wiki/Tillamook_language
692,tilu1238,Tilung,tij,language,Eurasia,27.2203,86.4694,tilung,Tilung,310,Definitely endangered,Tilung,"Sino-Tibetan
	Tibeto-Burman
		Mahakiranti
			 ()
				Kiranti
					Central or Western ()
						Tilung
							
	","Sino-Tibetan, Tibeto-Burman, Mahakiranti,  (), Kiranti, Central or Western (), Tilung",tij,20 ,Sagarmatha Zone,Unknown,Unknown,https://en.wikipedia.org/wiki/Tilung_language
