,name,glottocode,iso6393,aes_status,Degree of endangerment,family,family_id,dialects,child_dialect_count,child_family_count,child_language_count,speakers,Number of speakers,regions,macroarea,latitude,longitude,level,type,scope,bookkeeping,description,markup_description,country_ids,parent_id,off_lang,rec_min_lang,Wikipedia_Url
10,Afade,afad1236,aal,threatened,Data not available,<ul><li>Afro-Asiatic</li><ul><li>Chadic</li><ul><li>Biu–Mandara</li><ul><li>Kotoko</li><ul><li> (B.1)</li><ul><li>North</li><ul><li>Afade</li></ul></ul></ul></ul></ul></ul></ul>,afro1255,Data not available,0.0,0.0,0.0,"5,000 in Cameroon (2004)[1]unknown number in Nigeria",Data not available,"Far North Province, Cameroon; Borno State, Nigeria",Africa,12.0551,14.6343,language,living,individual,False,Data not available,Data not available,"CM, NG",koto1268,Data not available,Data not available,https://en.wikipedia.org/wiki/Afade_language
11,Anambé,anam1249,aan,extinct,Critically endangered,<ul><li>Tupian</li><ul><li>Tupi–Guaraní</li><ul><li>Xingu</li><ul><li>Anambé</li></ul></ul></ul></ul>,tupi1275,Data not available,0.0,0.0,0.0,6 (2006)[1],6.0,"Pará, Cairari River",South America,-2.71119,-49.303,language,living,individual,False,Data not available,Data not available,BR,araw1290,Data not available,Data not available,https://en.wikipedia.org/wiki/Anamb%C3%A9_language
12,Algerian Saharan Arabic,alge1240,aao,not endangered,Data not available,<ul><li>Afro-Asiatic</li><ul><li>Semitic</li><ul><li>West Semitic</li><ul><li>Central Semitic</li><ul><li>Arabic</li><ul><li>Maghrebi</li><ul><li>Algerian Saharan Arabic</li></ul></ul></ul></ul></ul></ul></ul>,afro1255,Data not available,0.0,0.0,0.0,"310,000 (2022)[1]",Data not available,"Atlas Mountains, southern Sahara",Africa,20.8884,4.80626,language,living,individual,False,Data not available,Data not available,"DZ, EH, LY, MA, NE",nort3191,Data not available,Data not available,https://en.wikipedia.org/wiki/Algerian_Saharan_Arabic
13,Pará Arára,para1310,aap,threatened,Data not available,<ul><li>Cariban</li><ul><li>Pekodian</li><ul><li>Arara</li><ul><li>Arára</li></ul></ul></ul></ul>,cari1283,Data not available,0.0,0.0,0.0,340 (2010)[1],Data not available,Pará,South America,-3.71263,-53.0657,language,living,individual,False,Data not available,Data not available,BR,xing1247,Data not available,Data not available,https://en.wikipedia.org/wiki/Par%C3%A1_Ar%C3%A1ra_language
14,Eastern Abnaki,east2544,aaq,extinct,Data not available,<ul><li>None</li></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,extinct,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,Data not available
15,Afar,afar1241,aar,not endangered,Data not available,<ul><li>Afro-Asiatic</li><ul><li>Cushitic</li><ul><li>Lowland East</li><ul><li>Saho–Afar</li><ul><li>Afar</li></ul></ul></ul></ul></ul>,afro1255,"Aussa ', "" Ba'adu "", ' Central Afar ,  Northern Afar",4.0,0.0,0.0,2.6 million (2019–2020)[1],Data not available,Horn of Africa,Africa,12.2281,41.8083,language,living,individual,False,Data not available,Data not available,"DJ, ER, ET",saho1245, Ethiopia, Djibouti Eritrea,https://en.wikipedia.org/wiki/Afar_language
16,Aasáx,aasa1238,aas,extinct,Data not available,<ul><li>Afro-Asiatic</li><ul><li>Cushitic</li><ul><li>Rift</li><ul><li>?</li><ul><li>East Rift</li><ul><li>Asa</li></ul></ul></ul></ul></ul></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Tanzania,Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Asa_language
17,Arvanitika Albanian,arva1236,aat,threatened,Data not available,<ul><li>Indo-European</li><ul><li>Albanian</li><ul><li>Tosk</li><ul><li>Southern</li><ul><li>Arvanitika</li></ul></ul></ul></ul></ul>,indo1319,"Viotia Arvanitika, Attiki Arvanitika, Salamina Arvanitika, Evia Arvanitika",3.0,0.0,0.0,"50,000 (2007)[3](may be republished older data)",Data not available,"Attica, Boeotia, South Euboea, Saronic Islands; Western Thrace; Peloponnese; some villages in NW of Greece; N of island of Andros; more than 500 villages in total[1]",Eurasia,38.283,23.3703,language,living,individual,False,Data not available,Data not available,GR,sout3378,Data not available,Data not available,https://en.wikipedia.org/wiki/Arvanitika
18,Abau,abau1245,aau,shifting,Data not available,<ul><li>Sepik</li><ul><li>Upper Sepik</li><ul><li>Abau</li></ul></ul></ul>,sepi1257,Data not available,0.0,0.0,0.0,"7,500 (2008 census)[1]",Data not available,Sandaun Province,Papunesia,-3.97222,141.324,language,living,individual,False,Data not available,Data not available,PG,sepi1257,Data not available,Data not available,https://en.wikipedia.org/wiki/Abau_language
19,Solong,solo1258,aaw,not endangered,Data not available,<ul><li>Austronesian</li><ul><li>Malayo-Polynesian</li><ul><li>Oceanic</li><ul><li>Western Oceanic</li><ul><li>North New Guinea</li><ul><li>Ngero–Vitiaz</li><ul><li>Southwest New Britain</li><ul><li>Arawe–Pasismanua</li><ul><li>West Arawe</li><ul><li>Solong</li></ul></ul></ul></ul></ul></ul></ul></ul></ul></ul>,aust1307,Data not available,1.0,0.0,0.0,"(2,200 cited 1981)[1]",Data not available,West New Britain Province,Papunesia,-5.86129,148.825,language,living,individual,False,Data not available,Data not available,PG,west2530,Data not available,Data not available,https://en.wikipedia.org/wiki/Solong_language
20,Mandobo Atas,mand1444,aax,threatened,Data not available,<ul><li>None</li></ul>,nucl1709,Data not available,4.0,0.0,0.0,Data not available,Data not available,Data not available,Papunesia,-5.69357,140.624,language,living,individual,False,Data not available,Data not available,ID,mand1473,Data not available,Data not available,Data not available
21,Amarasi,amar1273,aaz,threatened,Data not available,<ul><li>Austronesian</li><ul><li>Malayo-Polynesian</li><ul><li>Central–Eastern</li><ul><li>Timoric</li><ul><li>West Timor</li><ul><li>Atoni</li><ul><li>Amarasi</li></ul></ul></ul></ul></ul></ul></ul>,aust1307,Data not available,5.0,0.0,0.0,"70,000 (2011)[1]",Data not available,West Timor,Papunesia,-10.21751,123.96373,language,living,individual,False,Data not available,Data not available,ID,uabm1238,Data not available,Data not available,https://en.wikipedia.org/wiki/Amarasi_language
22,Abé,abee1242,aba,not endangered,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Kwa</li><ul><li>Abé</li></ul></ul></ul></ul>,atla1278,Data not available,4.0,0.0,0.0,"300,000 (2017)[1]",Data not available,Ivory Coast,Africa,5.59682,-4.38497,language,living,individual,False,Data not available,Data not available,CI,agne1238,Data not available,Data not available,https://en.wikipedia.org/wiki/Ab%C3%A9_language
23,Bankon,bank1256,abb,threatened,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Benue–Congo</li><ul><li>Southern Bantoid</li><ul><li>Bantu</li><ul><li> (</li><ul><li>Zone A</li><ul><li>)</li><ul><li>Basaa</li><ul><li> (A.40)</li><ul><li>Rombi–Bankon</li><ul><li>Bankon</li></ul></ul></ul></ul></ul></ul></ul></ul></ul></ul></ul></ul>,atla1278,Data not available,0.0,0.0,0.0,"12,000 (2001)[1]",Data not available,Littoral region,Africa,4.3702,9.6403,language,living,individual,False,Data not available,Data not available,CM,abob1234,Data not available,Data not available,https://en.wikipedia.org/wiki/Bankon_language
24,Ambala Ayta,amba1267,abc,threatened,Data not available,<ul><li>Austronesian</li><ul><li>Malayo-Polynesian</li><ul><li>Philippine</li><ul><li>Central Luzon</li><ul><li>Sambalic</li><ul><li>Ambala</li></ul></ul></ul></ul></ul></ul>,aust1307,Data not available,0.0,0.0,0.0,"(1,700 cited 1986)[1]",Data not available,"Zambales, Olongapo, Dinalupihan",Papunesia,14.8156,120.283,language,living,individual,False,Data not available,Data not available,PH,samb1319,Data not available,Data not available,https://en.wikipedia.org/wiki/Ambala_language
25,Manide,cama1250,abd,threatened,Data not available,<ul><li>Austronesian</li><ul><li>Malayo-Polynesian</li><ul><li>Philippine</li><ul><li>?</li><ul><li>Manide–</li><ul><li>Alabat</li><ul><li>Manide</li></ul></ul></ul></ul></ul></ul></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,"3,800 (2010)[1]",Data not available,"Camarines Norte & Quezon, Luzon",Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Manide_language
26,Western Abnaki,west2630,abe,nearly extinct,Data not available,<ul><li>None</li></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,Data not available
27,Abai Sungai,abai1240,abf,shifting,Definitely endangered,<ul><li>Austronesian</li><ul><li>Malayo-Polynesian</li><ul><li>North Bornean</li><ul><li>Southwest Sabahan</li><ul><li>Paitanic</li><ul><li>Abai Sungai</li></ul></ul></ul></ul></ul></ul>,aust1307,Data not available,0.0,0.0,0.0,Data not available,400.0,Sabah,Papunesia,5.55394,118.306,language,living,individual,False,Data not available,Data not available,MY,pait1248,Data not available,Data not available,https://en.wikipedia.org/wiki/Sungai_language
28,Abaga,abag1245,abg,nearly extinct,Critically endangered,<ul><li>Trans–New Guinea</li><ul><li>? </li><ul><li>Kainantu–Goroka</li><ul><li>Goroka</li><ul><li>Kamono–Yagaria</li><ul><li>Abaga</li></ul></ul></ul></ul></ul></ul>,nucl1709,Data not available,0.0,0.0,0.0,600 (2017)[1],5.0,Eastern Highlands Province,Papunesia,-6.12028,145.665,language,living,individual,False,Data not available,Data not available,PG,unun9976,Data not available,Data not available,https://en.wikipedia.org/wiki/Abaga_language
29,Tajiki Arabic,taji1248,abh,shifting,Data not available,<ul><li>None</li></ul>,afro1255,Data not available,2.0,0.0,0.0,Data not available,Data not available,Data not available,Eurasia,37.2176,67.3267,language,living,individual,False,Data not available,Data not available,"AF, TJ, UZ",cent2410,Data not available,Data not available,https://en.wikipedia.org/wiki/Tajiki_Arabic
30,Abidji,abid1235,abi,not endangered,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Kwa</li><ul><li>Abidji</li></ul></ul></ul></ul>,atla1278,"Enyembe, Ogbru",2.0,0.0,0.0,"85,000 (2017)[1]",Data not available,Lagunes District,Africa,5.65656,-4.58421,language,living,individual,False,Data not available,Data not available,CI,agne1238,Data not available,Data not available,https://en.wikipedia.org/wiki/Abidji_language
31,Aka-Bea,akab1249,abj,extinct,Data not available,<ul><li>Great Andamanese</li><ul><li>Southern †</li><ul><li>Bea</li></ul></ul></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,"Andaman Islands; South Andaman island except northeast coast, and north and east interiors; Rutland island except south coast; small islands southeast of Rutland; Labyrinth Islands.",Data not available,Data not available,Data not available,Data not available,extinct,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Aka-Bea_language
32,Abkhazian,abkh1244,abk,threatened,Data not available,<ul><li>None</li></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Abkhaz_language
33,Lampung Nyo,lamp1242,abl,not endangered,Data not available,<ul><li>None</li></ul>,aust1307,Data not available,3.0,0.0,0.0,Data not available,Data not available,Data not available,Papunesia,-4.43957,105.397,language,living,individual,False,Data not available,Data not available,ID,lamp1241,Data not available,Data not available,Data not available
34,Abanyom,aban1242,abm,not endangered,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Benue–Congo</li><ul><li>Southern Bantoid</li><ul><li>Ekoid</li><ul><li>Efutop–Ekajuk</li><ul><li>Abanyom</li></ul></ul></ul></ul></ul></ul></ul>,atla1278,Data not available,0.0,0.0,0.0,"(13,000 cited 1986)[1]",Data not available,Cross River State,Africa,6.30619,8.63055,language,living,individual,False,Data not available,Data not available,NG,aban1245,Data not available,Data not available,https://en.wikipedia.org/wiki/Abanyom_language
35,Abua,abua1244,abn,not endangered,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Benue–Congo</li><ul><li>Cross River</li><ul><li>Central Delta</li><ul><li>Abua–Odual</li><ul><li>Abua</li></ul></ul></ul></ul></ul></ul></ul>,atla1278,Data not available,4.0,0.0,0.0,"(25,000 cited 1989)[1]",Data not available,Rivers State,Africa,4.83057,6.61492,language,living,individual,False,Data not available,Data not available,NG,abua1243,Data not available,Data not available,https://en.wikipedia.org/wiki/Abua_language
36,Abon,abon1238,abo,threatened,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Benue–Congo</li><ul><li>Southern Bantoid</li><ul><li>Tivoid</li><ul><li>North</li><ul><li>Abon</li></ul></ul></ul></ul></ul></ul></ul>,atla1278,Data not available,0.0,0.0,0.0,"(1,000 cited 1973)[1]",Data not available,Taraba State,Africa,6.90621,10.8769,language,living,individual,False,Data not available,Data not available,"CM, NG",nort3192,Data not available,Data not available,https://en.wikipedia.org/wiki/Abon_language
37,Abellen Ayta,aben1249,abp,shifting,Data not available,<ul><li>Austronesian</li><ul><li>Malayo-Polynesian</li><ul><li>Philippine</li><ul><li>Central Luzon</li><ul><li>Sambalic</li><ul><li>Abellen</li></ul></ul></ul></ul></ul></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,"3,000 (2008)[2]",Data not available,Tarlac,Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Abellen_language
38,Abaza,abaz1241,abq,threatened,Definitely endangered,<ul><li>Northwest Caucasian</li><ul><li>Abazgi</li><ul><li>Abaza</li></ul></ul></ul>,abkh1242,Data not available,3.0,0.0,0.0,"49,800 (2010–2014)[1]",31000.0,Karachay-Cherkessia,Eurasia,44.25,42.0,language,living,individual,False,Data not available,Data not available,"RU, TR",abkh1243, Russia Karachay-Cherkessia,Data not available,https://en.wikipedia.org/wiki/Abaza_language
39,Abron,abro1238,abr,not endangered,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Kwa</li><ul><li>Potou–Tano</li><ul><li>Tano</li><ul><li>Central Tano (Akan)</li><ul><li>Akan</li><ul><li>Twi</li><ul><li>Abron</li></ul></ul></ul></ul></ul></ul></ul></ul></ul>,atla1278,Data not available,0.0,0.0,0.0,1.4 million (2013)[1],Data not available,Data not available,Africa,7.72094,-2.50289,language,living,individual,False,Data not available,Data not available,"CI, GH",akan1251,Ghana,Data not available,https://en.wikipedia.org/wiki/Bono_dialect
40,Ambonese Malay,ambo1250,abs,not endangered,Data not available,<ul><li>Malay Creole</li><ul><li>East Indonesian</li><ul><li>Ambonese Malay</li></ul></ul></ul>,aust1307,"Ambon Malay, Dobo Malay, Melayu Sini (, Dutch Ambonese Malay, )",3.0,0.0,0.0,"(250,000 cited 1987)[1]1.4 million L2 speakers",Data not available,Maluku Islands,Papunesia,-3.71342,128.184,language,living,individual,False,Data not available,Data not available,ID,ambo1253,Data not available,Data not available,https://en.wikipedia.org/wiki/Ambonese_Malay
41,Ambulas,ambu1247,abt,threatened,Data not available,<ul><li>Sepik</li><ul><li>Middle Sepik</li><ul><li>Ndu</li><ul><li>Abelam</li></ul></ul></ul></ul>,nduu1242,Data not available,4.0,0.0,0.0,"33,000 (2004)[1]",Data not available,Sepik River basin,Papunesia,-3.7801,143.059,language,living,individual,False,Data not available,Data not available,PG,ambu1246,Data not available,Data not available,https://en.wikipedia.org/wiki/Abelam_language
42,Abure,abur1243,abu,not endangered,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Kwa</li><ul><li>Potou–Tano</li><ul><li>Tano</li><ul><li>West</li><ul><li>Abure</li></ul></ul></ul></ul></ul></ul></ul>,atla1278,Data not available,0.0,0.0,0.0,"93,000 (2017)[1]",Data not available,Data not available,Africa,5.21534,-3.64123,language,living,individual,False,Data not available,Data not available,CI,west2816,Data not available,Data not available,https://en.wikipedia.org/wiki/Abure_language
43,Baharna Arabic,baha1259,abv,not endangered,Data not available,<ul><li>Afro-Asiatic</li><ul><li>Semitic</li><ul><li>Central Semitic</li><ul><li>Arabic</li><ul><li>Peninsular</li><ul><li>Bahrani Arabic</li></ul></ul></ul></ul></ul></ul>,afro1255,Qatifi,0.0,0.0,0.0,"730,000 (2019)[1]",Data not available,Data not available,Eurasia,26.223615,50.580811,language,living,individual,False,Data not available,Data not available,"BH, OM",nort3402,Data not available,Data not available,https://en.wikipedia.org/wiki/Bahrani_Arabic
44,Pal,pall1244,abw,not endangered,Data not available,<ul><li>Trans–New Guinea</li><ul><li>Madang</li><ul><li>Croisilles</li><ul><li>Omosan</li><ul><li>Pal</li></ul></ul></ul></ul></ul>,nucl1709,Data not available,0.0,0.0,0.0,"1,200 (2000 census)[1]",Data not available,"Madang Province, Papua New Guinea",Papunesia,-4.756,145.24,language,living,individual,False,Data not available,Data not available,PG,omos1240,Data not available,Data not available,https://en.wikipedia.org/wiki/Pal_language
45,Inabaknon,inab1237,abx,not endangered,Data not available,<ul><li>Austronesian</li><ul><li>Malayo-Polynesian</li><ul><li>Sama–Bajaw</li><ul><li>Abaknon</li></ul></ul></ul></ul>,aust1307,Data not available,0.0,0.0,0.0,"26,000 (2010)[1]",Data not available,"Capul, Northern Samar, Eastern Visayas",Papunesia,12.4264,124.166,language,living,individual,False,Data not available,Data not available,PH,sama1302,Data not available,Data not available,https://en.wikipedia.org/wiki/Abaknon_language
46,Aneme Wake,anem1248,aby,not endangered,Data not available,<ul><li>Trans–New Guinea</li><ul><li>Yareban</li><ul><li>Moikodi–Abia</li><ul><li>Aneme Wake</li></ul></ul></ul></ul>,yare1250,Data not available,5.0,0.0,0.0,(650 cited 1990)[1],Data not available,Oro Province,Papunesia,-9.75911,148.479,language,living,individual,False,Data not available,Data not available,PG,dori1247,Data not available,Data not available,https://en.wikipedia.org/wiki/Aneme_Wake_language
47,Abui,abui1241,abz,shifting,Data not available,<ul><li>Trans–New Guinea</li><ul><li>\xa0</li><ul><li>West Bomberai</li><ul><li>\xa0?</li><ul><li>Timor–Alor–Pantar</li><ul><li>Alor–Pantar</li><ul><li>Alor</li><ul><li>Abui</li></ul></ul></ul></ul></ul></ul></ul></ul>,timo1261,Data not available,4.0,0.0,0.0,"(16,000? cited 1981)[1]",Data not available,Alor Island,Papunesia,-8.31058,124.588,language,living,individual,False,Data not available,Data not available,ID,abui1242,Data not available,Data not available,https://en.wikipedia.org/wiki/Abui_language
48,Achagua,acha1250,aca,shifting,Severely endangered,<ul><li>None</li></ul>,araw1281,Data not available,0.0,0.0,0.0,Data not available,283.0,Data not available,South America,4.38649,-72.2005,language,living,individual,False,Data not available,Data not available,CO,piap1247,Data not available,Data not available,https://en.wikipedia.org/wiki/Achawa_language
49,Áncá,anca1236,acb,not endangered,Data not available,<ul><li>None</li></ul>,book1242,Data not available,0.0,0.0,0.0,Data not available,Data not available,Data not available,Africa,6.66524,11.1087,language,living,individual,True,Data not available,Data not available,NG,book1242,Data not available,Data not available,Data not available
50,Gikyode,giky1238,acd,not endangered,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Kwa</li><ul><li>Potou–Tano</li><ul><li>Tano</li><ul><li>Guang</li><ul><li>North</li><ul><li>Kyode</li></ul></ul></ul></ul></ul></ul></ul></ul>,atla1278,Data not available,0.0,0.0,0.0,"10,400 (2003)[1]",Data not available,Data not available,Africa,8.39478,0.56975,language,living,individual,False,Data not available,Data not available,"GH, TG",giky1241,Data not available,Data not available,https://en.wikipedia.org/wiki/Kyode_language
51,Achinese,achi1257,ace,threatened,Data not available,<ul><li>Austronesian</li><ul><li>Malayo-Polynesian</li><ul><li>Chamic</li><ul><li>Acehnese</li></ul></ul></ul></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,2.8 million (2010 census)[1],Data not available,"Aceh, Sumatra",Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,"Indonesia
Aceh (co-official with Indonesian)
",Data not available,https://en.wikipedia.org/wiki/Acehnese_language
52,Saint Lucian Creole French,sain1246,acf,not endangered,Data not available,<ul><li>None</li></ul>,indo1319,Data not available,2.0,0.0,0.0,Data not available,Data not available,Data not available,North America,15.3947,-61.3641,language,living,individual,False,Data not available,Data not available,LC,less1242,Data not available,Data not available,https://en.wikipedia.org/wiki/Saint_Lucian_Creole
53,Acoli,acol1236,ach,not endangered,Data not available,<ul><li>None</li></ul>,nilo1247,Data not available,3.0,0.0,0.0,Data not available,Data not available,Data not available,Africa,3.57738,32.5147,language,living,individual,False,Data not available,Data not available,"SS, UG",sout2831,Data not available,Data not available,https://en.wikipedia.org/wiki/Acholi_dialect
54,Aka-Cari,akac1240,aci,extinct,Data not available,<ul><li>Great Andamanese</li><ul><li>Northern</li><ul><li>Cari</li></ul></ul></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,"Andaman Islands; north coast of North Andaman Island, Landfall Island, other nearby small islands.",Data not available,Data not available,Data not available,Data not available,extinct,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Aka-Cari_language
55,Aka-Kora,akak1251,ack,extinct,Data not available,<ul><li>Great Andamanese</li><ul><li>Northern</li><ul><li>Kora</li></ul></ul></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,"Andaman Islands; northeast and north central coasts of North Andaman Island, Smith Island",Data not available,Data not available,Data not available,Data not available,extinct,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Aka-Kora_language
