Name in English,Number of speakers,Degree of endangerment,Wikipedia URL
Pémono,1,Critically endangered,https://en.wikipedia.org/wiki/Mapoyo-Yabarana_language
Taushiro,1,Critically endangered,https://en.wikipedia.org/wiki/Taushiro_language
Tinigua,1,Critically endangered,https://en.wikipedia.org/wiki/Tinigua
Tolowa,1,Critically endangered,https://en.wikipedia.org/wiki/Tolowa
Uru,1,Extinct,https://en.wikipedia.org/wiki/Uru
Volow,1,Critically endangered,https://en.wikipedia.org/wiki/Volow_language
Wintu-Nomlaki,1,Critically endangered,https://en.wikipedia.org/wiki/Wintu_language
Yahgan,1,Critically endangered,https://en.wikipedia.org/wiki/Yaghan
Yarawi,1,Critically endangered,https://en.wikipedia.org/wiki/Yarawi_language
!Gan!ne,0,Extinct,"https://en.wikipedia.org/wiki/Gan_Chinese#:~:text=Gan%2C%20Gann%20or%20Kan%20is,Hubei%2C%20Anhui%2C%20and%20Fujian."
Aasax,0,Extinct,https://en.wikipedia.org/wiki/Asa_language
Ahom,0,Extinct,https://en.wikipedia.org/wiki/Ahom
Ainu (Kuril),0,Extinct,https://en.wikipedia.org/wiki/Ainu_language
Ainu (Sakhalin),0,Extinct,https://en.wikipedia.org/wiki/Ainu_language
Akkala Saami,0,Extinct,https://en.wikipedia.org/wiki/Akkala_S%C3%A1mi
Alderney French,0,Extinct,https://en.wikipedia.org/wiki/Auregnais
Amanayé,0,Extinct,https://en.wikipedia.org/wiki/Amanay%C3%A9
Andoa (Ecuador),0,Extinct,https://en.wikipedia.org/wiki/Andoa_language
Andro,0,Extinct,https://en.wikipedia.org/wiki/Andro
Antoniano,0,Extinct,https://en.wikipedia.org/wiki/Antoniano
Aore,0,Extinct,https://en.wikipedia.org/wiki/Aore_Island
Apolista,0,Extinct,https://en.wikipedia.org/wiki/Apolista
Arapaho (Oklahoma),0,Extinct,https://en.wikipedia.org/wiki/Arapaho_language
Arapáso,0,Extinct,https://en.wikipedia.org/wiki/Arapaho_language
Aribwatsa,0,Extinct,https://en.wikipedia.org/wiki/Aribwatsa_language
Arin,0,Extinct,https://en.wikipedia.org/wiki/Arin
Arman,0,Extinct,https://en.wikipedia.org/wiki/Arman
Arta,0,Extinct,https://en.wikipedia.org/wiki/Arta
Atacameño,0,Extinct,https://en.wikipedia.org/wiki/Atacama_people
Atsugewi,0,Extinct,https://en.wikipedia.org/wiki/Atsugewi
Babuza,0,Extinct,https://en.wikipedia.org/wiki/Babuza
Badala,0,Critically endangered,https://en.wikipedia.org/wiki/Bhadra_(2005_film)
Baga Kalem,0,Extinct,https://en.wikipedia.org/wiki/Baga_language
Baga Mboteni,0,Critically endangered,https://en.wikipedia.org/wiki/Mboteni_language
Barbareño,0,Extinct,https://en.wikipedia.org/wiki/Barbare%C3%B1o_language
Barzani Jewish Neo-Aramaic (Iraq),0,Extinct,https://en.wikipedia.org/wiki/Barzani_Jewish_Neo-Aramaic
Basay,0,Extinct,https://en.wikipedia.org/wiki/Basay
Baygo,0,Extinct,https://en.wikipedia.org/wiki/Beigo_language
Berakou,0,Extinct,https://en.wikipedia.org/wiki/Beraku_language
Berti,0,Extinct,https://en.wikipedia.org/wiki/Berti
Bina,0,Extinct,https://en.wikipedia.org/wiki/Bina
Birgid,0,Extinct,https://en.wikipedia.org/wiki/Birgid_language
Boro,0,Extinct,https://en.wikipedia.org/wiki/Boro
Cacaopera,0,Extinct,https://en.wikipedia.org/wiki/Cacaopera
Cape Khoekhoe,0,Extinct,https://en.wikipedia.org/wiki/Khoekhoe_language
Cappadocian Greek (Turkey),0,Extinct,https://en.wikipedia.org/wiki/Cappadocian_Greek
Catawba,0,Extinct,https://en.wikipedia.org/wiki/Catawba
Cayuga (Oklahoma),0,Extinct,https://en.wikipedia.org/wiki/Cayuga_language
Cayuse,0,Extinct,https://en.wikipedia.org/wiki/Cayuse
Central Kalapuyan,0,Extinct,https://en.wikipedia.org/wiki/Kalapuya_language
Chairel,0,Extinct,https://en.wikipedia.org/wiki/Chakpa_language
Cholon,0,Extinct,https://en.wikipedia.org/wiki/Cholon
Coptic,0,Extinct,https://en.wikipedia.org/wiki/Coptic
Cowlitz,0,Extinct,https://en.wikipedia.org/wiki/Cowlitz
Culle,0,Extinct,https://en.wikipedia.org/wiki/Culle_language
Cuman,0,Extinct,https://en.wikipedia.org/wiki/Cumans
Cupeño,0,Extinct,https://en.wikipedia.org/wiki/Cupe%C3%B1o
Dalmatian,0,Extinct,https://en.wikipedia.org/wiki/Dalmatian
Deti,0,Extinct,https://en.wikipedia.org/wiki/Deti_language
Dharug,0,Critically endangered,https://en.wikipedia.org/wiki/Dharug
Dhurga,0,Critically endangered,https://en.wikipedia.org/wiki/Durga_(2002_film)
Dicamay Agta,0,Extinct,https://en.wikipedia.org/wiki/Dicamay_Agta_language
Dorasque,0,Extinct,https://en.wikipedia.org/wiki/Dorasque
Dororo,0,Extinct,https://en.wikipedia.org/wiki/Dororo
Duli,0,Extinct,https://en.wikipedia.org/wiki/Duli
Dungidjau,0,Extinct,https://en.wikipedia.org/wiki/Dungidjau_language
Dura,0,Extinct,https://en.wikipedia.org/wiki/Dura
Eastern Abenaki,0,Extinct,https://en.wikipedia.org/wiki/Abenaki#Eastern_Abenaki
Eastern Kamchadal,0,Extinct,https://en.wikipedia.org/wiki/Eastern_Kamchadal_language
Eastern Pomo,0,Extinct,https://en.wikipedia.org/wiki/Eastern_Pomo_language
Eel River Athabaskan,0,Extinct,https://en.wikipedia.org/wiki/Wailaki_language
Eliri,0,Severely endangered,https://en.wikipedia.org/wiki/Eliri_people
Elmolo,0,Extinct,https://en.wikipedia.org/wiki/Elmolo_language
Eotile,0,Extinct,https://en.wikipedia.org/wiki/Eotile_language
Eyak,0,Extinct,https://en.wikipedia.org/wiki/Eyak
Gaagudju,0,Extinct,https://en.wikipedia.org/wiki/Gaagudju
Gafat,0,Extinct,https://en.wikipedia.org/wiki/Gafat_language
Garífuna (Nicaragua),0,Critically endangered,https://en.wikipedia.org/wiki/Garifuna_language
Ge'ez,0,Extinct,https://en.wikipedia.org/wiki/Ge%CA%BDez
Getmata,0,Extinct,https://en.wikipedia.org/wiki/Getmata_language
Gey,0,Extinct,https://en.wikipedia.org/wiki/Gey
Gothic,0,Extinct,https://en.wikipedia.org/wiki/Gothic
Guanche,0,Extinct,https://en.wikipedia.org/wiki/Guanche
Gule,0,Extinct,https://en.wikipedia.org/wiki/Gule
Guliguli,0,Extinct,https://en.wikipedia.org/wiki/Kazukuru_language
Gününa Küne,0,Extinct,https://en.wikipedia.org/wiki/Puelche_language
Gyasumdo,0,Definitely endangered,https://en.wikipedia.org/wiki/Gyasumdo_language
Hanis,0,Extinct,https://en.wikipedia.org/wiki/Hanis
Hoanya,0,Extinct,https://en.wikipedia.org/wiki/Hoanya_people
Homa,0,Extinct,https://en.wikipedia.org/wiki/Homa
Horo,0,Extinct,https://en.wikipedia.org/wiki/Horo
Hpun,0,Extinct,https://en.wikipedia.org/wiki/Hpon_language
Huitoto (Brazil),0,Extinct,https://en.wikipedia.org/wiki/Huitoto_language
Hukumina,0,Extinct,https://en.wikipedia.org/wiki/Hukumina_language
Huron-Wyandot (United States of America),0,Extinct,https://en.wikipedia.org/wiki/Wyandot_language
Ifo,0,Extinct,https://en.wikipedia.org/wiki/Ifo
Ineseño,0,Extinct,https://en.wikipedia.org/wiki/Santa_Ynez_Band_of_Chumash_Mission_Indians
Island Carib,0,Extinct,https://en.wikipedia.org/wiki/Kalinago
Island Chumash,0,Extinct,https://en.wikipedia.org/wiki/Chumashan_languages
Jorá,0,Critically endangered,https://en.wikipedia.org/wiki/Sirion%C3%B3_language
Judeo-Berber (Morocco),0,Extinct,https://en.wikipedia.org/wiki/Judeo-Berber_language
Kamas,0,Extinct,https://en.wikipedia.org/wiki/Kamas
Kamas Turk,0,Extinct,https://en.wikipedia.org/wiki/Kamas_language
Kaniet,0,Extinct,https://en.wikipedia.org/wiki/Kaniet
Kansa,0,Extinct,https://en.wikipedia.org/wiki/Kansa
Karaim (Crimea),0,Extinct,https://en.wikipedia.org/wiki/Karaim_language
Karami,0,Extinct,https://en.wikipedia.org/wiki/Karami
Karelian (Valday),0,Extinct,https://en.wikipedia.org/wiki/Karelian_language
Katabaga,0,Extinct,https://en.wikipedia.org/wiki/Katabangan_language
Kato,0,Extinct,https://en.wikipedia.org/wiki/Kato
Kayeli,0,Extinct,https://en.wikipedia.org/wiki/Kayeli
Kazukuru,0,Extinct,https://en.wikipedia.org/wiki/Kazukuru_language
Kede,0,Extinct,https://en.wikipedia.org/wiki/Kede_language
Kemi Saami,0,Extinct,https://en.wikipedia.org/wiki/Kemi_S%C3%A1mi
Kenaboi,0,Extinct,https://en.wikipedia.org/wiki/Kenaboi_language
Kerek,0,Extinct,https://en.wikipedia.org/wiki/Kerek
Ketangalan,0,Extinct,https://en.wikipedia.org/wiki/Luilang_language
Khaccaḍ Bhoṭe,0,Definitely endangered,https://en.wikipedia.org/wiki/Central_Tibetan
Kilit,0,Extinct,https://en.wikipedia.org/wiki/Kilit_dialect
Kinare,0,Extinct,https://en.wikipedia.org/wiki/Kinare
Klamath-Modoc,0,Extinct,https://en.wikipedia.org/wiki/Klamath_language
Konomihu,0,Extinct,https://en.wikipedia.org/wiki/Konomihu_language
Kore,0,Extinct,https://en.wikipedia.org/wiki/Kore
Kott,0,Extinct,https://en.wikipedia.org/wiki/Kott
Krenjê,0,Extinct,https://en.wikipedia.org/wiki/Krenak_language
Krevin,0,Extinct,"https://en.wikipedia.org/wiki/Krevinian_dialect#:~:text=Krevinian%2C%20or%20Krevin%20(Latvian%3A,city%20of%20Bauske%2C%20in%20Courland.&text=The%20Krevinian%20dialect%20left%20loanwords,such%20as%20kurika%20"
