,lang,family,dialects,iso3code,goglottocodettolog,speakers,regions,off_lang,rec_min_lang,url
410,Yap,,,,,,,,,https://en.wikipedia.org/wiki/Yap
411,Amharic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'South Semitic', 'Ethiopic', 'South', 'Transversal South', 'Amharic–Argobba', 'Amharic']",,amh,amha1245,"L1: 35 million (2020)[1]L2: 25 million (2019)[1] Total:  
60 million (2019–2020)[1]",, Ethiopia[3],,https://en.wikipedia.org/wiki/Amharic
412,Cornish,"['Indo-European', 'Celtic', 'Insular Celtic', 'Brittonic', 'Southwestern Brittonic', 'Cornish']",,Variously:titlecortitle – Modern Cornishtitlecnxtitle – Middle Cornishtitleocotitle – Old Cornish,corn1251,,Cornwall,,"England
Cornwall
",https://en.wikipedia.org/wiki/Cornish_language
413,Maltese,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Maghrebi Arabic', 'Pre-Hilalian Arabic', 'Siculo-Arabic', 'Maltese']","['Cottonera', 'Gozitan', 'Qormi', 'Żejtuni', 'Australian', 'Central', 'Western', 'Eastern', 'Zurrieq', 'Port Maltese', 'Mġarr', 'Xlukkajr', 'Għaxaq', 'Qawsra', ' ', '†']",mlt,malt1254,"570,000 (2012)[1]",,MaltaEuropean Union,,https://en.wikipedia.org/wiki/Maltese_language
414,Tampuan,"['Austroasiatic', 'Bahnaric', 'Central', 'Tampuan']",,tpu,tamp1251,"31,000 (2008 census)[1]to 57,000 (2013 survey)[2]",,,,https://en.wikipedia.org/wiki/Tumpoon_language
415,Harari_Region,,,,,,,,,https://en.wikipedia.org/wiki/Harari_Region
416,Regions_of_Ethiopia,,,,,,,,,https://en.wikipedia.org/wiki/Regions_of_Ethiopia
417,"Sonsonate,_El_Salvador",,,,,,,,,"https://en.wikipedia.org/wiki/Sonsonate,_El_Salvador"
418,Batanes,,,,,,Cagayan Valley,,,https://en.wikipedia.org/wiki/Batanes
419,Chhattisgarhi,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Central Zone', 'Eastern Hindi', 'Chhattisgarhi']",['Surgujia'],Either:titlehnetitle – Chhattisgarhititlesgjtitle – titleSurgujia,chha1249,"18 million, partial count, including Surgujia (2011 census)[1](additional speakers counted under Hindi)",Chhattisgarh and a minority of speakers in Odisha and Maharashtra,"India
Chhattisgarh (additional)[2]
",,https://en.wikipedia.org/wiki/Chhattisgarhi
420,Abure,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Potou–Tano', 'Tano', 'West', 'Abure']",,abu,abur1243,"93,000 (2017)[1]",,,,https://en.wikipedia.org/wiki/Abure_language
421,Johann_Martin_Schleyer,,,,,,,,,https://en.wikipedia.org/wiki/Johann_Martin_Schleyer
422,Silesian,"['Indo-European', 'Balto-Slavic', 'Slavic', 'West Slavic', 'Lechitic', '[2]', 'East Lechitic', 'Silesian']","['Cieszyn', 'Sulkovian', 'Texan', 'Prudnik', 'Niemodlin']",szl,sile1253,"457,900 (2021 census)[1]",Silesia,,,https://en.wikipedia.org/wiki/Silesian_language
423,Sinhala,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Southern Zone', 'Insular Indo-Aryan', 'Sinhalese–Maldivian', 'Sinhala']","['Vedda', ' (perhaps a ', 'Creole language', ')']",sin,sinh1246,L1: 16 million (2021)[1]L2: 2.0 million  (1997)[1],, Sri Lanka,,https://en.wikipedia.org/wiki/Sinhala_language
424,Cyprus,,,,,,,,,https://en.wikipedia.org/wiki/Cyprus
425,Mordovia,,,,,,,,,https://en.wikipedia.org/wiki/Mordovia
426,Chiapas,,,,,,,,,https://en.wikipedia.org/wiki/Chiapas
427,Algeria,,,,,,,,,https://en.wikipedia.org/wiki/Algeria
428,Turkmen,"['Turkic', 'Common Turkic', 'Oghuz', 'Eastern Oghuz', 'Turkmen']",['Trukhmen'],tuk,turk1304,6.56 million (2009–2015)[3],, Turkmenistan,,https://en.wikipedia.org/wiki/Turkmen_language
429,Ido,,,ido,idoo1234,,,,,https://en.wikipedia.org/wiki/Ido
430,Country_of_Cura%C3%A7ao,,,,,,,,,https://en.wikipedia.org/wiki/Country_of_Cura%C3%A7ao
431,Kingdom_of_Tonga,,,,,,,,,https://en.wikipedia.org/wiki/Kingdom_of_Tonga
432,Turkish,"['Turkic', 'Common Turkic', 'Oghuz', 'Western Oghuz', 'Turkish']","['Cypriot Turkish', 'Iraqi Turkmen', 'Karamanli Turkish', 'Meskhetian Turkish', '[2]', 'Rumelian Turkish', 'Syrian Turkish', '[3]']",tur,nucl1301,"L1: 84 million (2006)[1]L2: 6.0 million (2019)[1]
Total: 90 million[1]","Anatolia, Balkans, Cyprus, Mesopotamia, Levant, Transcaucasia",CyprusNorthern CyprusTurkey,Bosnia and Herzegovina[4] Croatia[5][6]Greece[7]Iraq[a][9][10][11]Kosovo[b][9]North Macedonia[c][9]Romania[9][14],https://en.wikipedia.org/wiki/Turkish_language
433,Andalusi Arabic,"['Afro-Asiatic', 'Semitic', 'Central Semitic', 'Arabic', 'Maghrebi Arabic', 'Andalusi Arabic']",,xaa,anda1287,,,,,https://en.wikipedia.org/wiki/Andalusian_Arabic
434,Tausūg,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Greater Central Philippine', 'Central Philippine', 'Bisayan', 'Southern Bisayan', 'Butuan', '–Tausug', 'Tausūg']",,tsg,taus1251,1.2 million (2010)[1][needs update],"— Spoken throughout the Sulu Archipelago (Basilan and Tawi-Tawi), southern Palawan and eastern Sabah— Also spoken in Zamboanga City and Zamboanga Peninsula",Regional language in the Philippines,,https://en.wikipedia.org/wiki/Tausug_language
435,Northern Thai,"['Kra–Dai', 'Tai', 'Southwestern', ' (Thai)', 'Chiang Saen', 'Northern Thai']",,nod,nort2740,6 million (2015)[1],Northern Thailand,, Thailand,https://en.wikipedia.org/wiki/Northern_Thai_language
