,lang,family,dialects,iso3code,goglottocodettolog,speakers,regions,off_lang,rec_min_lang,url
0,Singapore,,,,,,,,,https://en.wikipedia.org/wiki/Singapore
1,Pridnestrovian_Moldavian_Republic,,,,,,,,,https://en.wikipedia.org/wiki/Pridnestrovian_Moldavian_Republic
2,Amazonas_(Brazilian_state),,,,,,,,,https://en.wikipedia.org/wiki/Amazonas_(Brazilian_state)
3,Lebanon,,,,,,,,,https://en.wikipedia.org/wiki/Lebanon
4,States_of_Myanmar,,,,,,,,,https://en.wikipedia.org/wiki/States_of_Myanmar
5,Istria_County,,,,,,,,,https://en.wikipedia.org/wiki/Istria_County
6,Kabyle,"['Afro-Asiatic', 'Berber', 'Northern', 'Kabyle']",,kab,kaby1243,"3 million in Algeria (2004, 9.4% of the population)[1][a]1 million diaspora[2]","Kabylia (Provinces of Béjaïa, Bouira, Boumerdes, Tizi Ouzou)",,,https://en.wikipedia.org/wiki/Kabyle_language
7,Illinois_Confederation,,,,,,,,,https://en.wikipedia.org/wiki/Illinois_Confederation
8,Autonomous_Region_of_Bougainville,,,,,,,,,https://en.wikipedia.org/wiki/Autonomous_Region_of_Bougainville
9,Osmanya_alphabet,,,,,,,,,https://en.wikipedia.org/wiki/Osmanya_alphabet
10,Min_Nan,,,,minn1241,,,,,https://en.wikipedia.org/wiki/Min_Nan
11,Dargwa,"['Northeast Caucasian', 'Dargin', 'Dargwa']",,dartitle  (also titleDargin languagestitle),darg1241titlesout3261,"490,000 (2010 census)[1]",Dagestan," Russia
 Dagestan
",,https://en.wikipedia.org/wiki/Dargwa_language
12,Madagascar,,,,,,,,,https://en.wikipedia.org/wiki/Madagascar
13,Khmer,"['Austroasiatic', 'Khmer']",,Either:titlekhmtitle – Khmertitlekxmtitle – titleNorthern Khmer,khme1253title  Khmerictitlecent1989title  Central Khmer,,, Cambodia, Thailand Vietnam,https://en.wikipedia.org/wiki/Khmer_language
14,Sasak,"['Austronesian', 'Malayo-Polynesian', 'Malayo-Sumbawan', '?', 'Bali–Sasak–Sumbawa', 'Sasak–', 'Sumbawa', 'Sasak']",,sas,sasa1249,2.7 million (2010)[1],Lombok,,"Indonesia
West Nusa Tenggara (Lombok)
",https://en.wikipedia.org/wiki/Sasak_language
15,Tamil,"['Dravidian', 'Southern', 'Tamil–Kannada', 'Tamil–Kodagu', 'Tamil–Malayalam', 'Tamil languages', 'Tamil']","['Eelam', 'Malesiyat', 'Bunagurr', 'Iyengar', 'Kongu', 'Chennai', 'Madurai', 'Tiruneveli', 'Sankethi', 'Estate', 'Central', 'Malabar', ' ', '†']",Either:titletamtitle – Modern Tamiltitleotytitle – Old Tamil,tami1289title  Modern Tamiltitleoldt1248title  Old Tamil,L1: 79 million (2011–2019)[1]L2: 8 million (2011)[1],"
Tamil Nadu and the enclaves of Puducherry and Karaikal
Sri Lanka
Northern Province
Eastern Province
","
India
Tamil Nadu[2]
Puducherry[3]
Sri Lanka[4]
Singapore[5]
","
South Africa[a][6]
Malaysia[7]
",https://en.wikipedia.org/wiki/Tamil_language
16,Occitan,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Western Romance', 'Gallo-Iberian', 'Gallo-Romance', '[a]', 'Occitano-Romance', '[a]', 'Occitan']","['Auvergnat', 'Gascon', 'Languedocien', 'Limousin', 'Provençal', 'Vivaro-Alpine', 'Niçard', 'Judeo-Provençal', ' †', 'Judeo-Gascon', ' †', 'Judeo Niçard', ' †']",ocititle – inclusive codetitleIndividual code:titlesdttitle – titleJudeo-Occitan,occi1239,"(c. 200,000 cited 1990–2012)[1]Estimates range from 100,000 to 800,000 total speakers (2007–2012),[2][3] with 68,000 in Italy (2005 survey),[4] 4,000 in Spain (Val d'Aran)[5]",Occitania,"Spain
Catalonia (as Aranese)
","France
Auvergne-Rhône-Alpes
Centre-Val de Loire
Nouvelle-Aquitaine
Occitania
Provence-Alpes-Côte d'Azur
Italy (Occitan Valleys) (Law number 482 of 15 December 1999)[6]

Monaco",https://en.wikipedia.org/wiki/Occitan_language
17,Adele,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Anii–Adere', 'Adele']",,ade,adel1244,"37,000 (2003–2012)[1]",Ghana and Togo,,,https://en.wikipedia.org/wiki/Adele_language
18,Inuinnaqtun,"['Eskaleut', 'Eskimo', 'Inuit', 'Inuvialuktun', 'Inuinnaqtun']",,"ikttitle  Inuinnaqtun, Western Canadian Inuktitut",copp1244,"1,310 (2016 census)[1]",,Nunavut[2]Northwest Territories[3],,https://en.wikipedia.org/wiki/Inuinnaqtun
19,Samtskhe-Javakheti,,,,,,,,,https://en.wikipedia.org/wiki/Samtskhe-Javakheti
20,Autonomous_prefectures_of_the_People%27s_Republic_of_China,,,,,,,,,https://en.wikipedia.org/wiki/Autonomous_prefectures_of_the_People%27s_Republic_of_China
21,Cocos_(Keeling)_Islands,,,,,,,,,https://en.wikipedia.org/wiki/Cocos_(Keeling)_Islands
22,Ayapa Zoque,"['Mixe-Zoquean', 'Zoquean', 'Gulf Zoquean', 'Ayapa Zoque']",,zoq,taba1264,70 (2020 census)[1],"Jalpa de Méndez, Tabasco",,,https://en.wikipedia.org/wiki/Ayapaneco
23,Irrawaddy_River,,,,,,,,,https://en.wikipedia.org/wiki/Irrawaddy_River
24,Livonian,"['Uralic', 'Finno-Ugric', 'Finno-Permic', '?', 'Finno-Samic', '?', 'Finnic', 'Southern Finnic', 'Livonian']","['Courland', 'Salaca', ' ', '†', '[5]']",liv,livv1244,,Livonian Coast,,Latvia[6],https://en.wikipedia.org/wiki/Livonian_language
25,Republic_of_China,,,,,,,,,https://en.wikipedia.org/wiki/Republic_of_China
26,Republic_of_Niger,,,,,,,,,https://en.wikipedia.org/wiki/Republic_of_Niger
27,Khanty-Mansi_Autonomous_Okrug,,,,,,,,,https://en.wikipedia.org/wiki/Khanty-Mansi_Autonomous_Okrug
28,Ilocano,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Northern Luzon', 'Ilocano']",,ilo,ilok1237,"6,370,000 (2005)[1]2 million L2 speakers (2000)[2] Third most spoken native language in the Philippines[3]","Northern Luzon, many parts of Central Luzon and a few parts of the Soccsksargen region in Mindanao",La Union[4], Philippines,https://en.wikipedia.org/wiki/Ilocano_language
29,Mediterranean_Sea,,,,,,,,,https://en.wikipedia.org/wiki/Mediterranean_Sea
30,Saraiki,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Northwestern', 'Saraiki']",,skr,sera1259,26 million (2017)[1],South Punjab and neighbouring regions,,,https://en.wikipedia.org/wiki/Saraiki_language
31,Uspantek,"['Mayan', '\nQuichean–Mamean', 'Greater Quichean', 'Uspantek']",,usp,uspa1245,"5,100 (2019 census)[1]",Quiché (department),,,https://en.wikipedia.org/wiki/Uspanteco
32,Suriname,,,,,,,,,https://en.wikipedia.org/wiki/Suriname
33,Polish,"['Indo-European', 'Balto-Slavic', 'Slavic', 'West Slavic', 'Lechitic', 'Polish']","['Chełmnian–Kocievian–Warmian', 'Greater Poland', 'Lesser Poland', 'Masovian', 'Masurian', 'New mixed dialects', 'Northern Borderlands', 'Silesian', '[a]', 'Southern Borderlands', 'Podhale', 'Warmian']",pol,poli1260,"L1: 40 million (2012)[1]L2: 670,000 (2012)[1]Total: 41 million[1]",,PolandEuropean Union,Bosnia and Herzegovina[2]Brazil[3]Czech Republic[2]Hungary[4]Lithuania[5][6]Romania[7]Slovakia[2]Ukraine[2][8],https://en.wikipedia.org/wiki/Polish_language
34,Maasai_people,,,,,,,,,https://en.wikipedia.org/wiki/Maasai_people
35,Ga,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Kwa', 'Ga–Dangme', 'Ga']",,gaa,gaaa1244,"745,000 (2016)[1]","South-eastern Ghana, around Accra",None. Government sponsored language.,,https://en.wikipedia.org/wiki/Ga_language
36,Dangbe,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Kwa', 'Ga-Dangme', 'Dangbe']",,ada,adan1247,"1,020,000 (2013)[1]","South-eastern Ghana, east of Accra",Ghana,,https://en.wikipedia.org/wiki/Adangbe
37,Batak,,,,,,,,,https://en.wikipedia.org/wiki/Batak
38,Slovene,"['Indo-European', 'Balto-Slavic', 'Slavic', 'South Slavic', 'Western South Slavic', 'Slovene']","['Prekmurje dialect', 'Resian', 'approx. ', '48 unstandardised dialects']",slvtitle  Slovenian,slov1268title  Slovenian,2.5 million (2010)[4],, Slovenia  European Union, Austria[5] Hungary[6] Italy[7],https://en.wikipedia.org/wiki/Slovene_language
39,Portugal,,,,,,,,,https://en.wikipedia.org/wiki/Portugal
40,Senegal,,,,,,,,,https://en.wikipedia.org/wiki/Senegal
41,Kyrgyz,"['Turkic', 'Common Turkic', 'Kipchak', 'Kyrgyz–Kipchak', 'Kyrgyz']",['Pamiri Kyrgyz'],kir,kirg1245,5.15 million (2009 census)[1],Central Asia," Kyrgyzstan
 China

Kizilsu Kyrgyz Autonomous Prefecture

Organisations:
 Organization of Turkic States Collective Security Treaty Organization
",,https://en.wikipedia.org/wiki/Kyrgyz_language
42,Turkey,,,,,,,,,https://en.wikipedia.org/wiki/Turkey
43,Vietnamese,"['Austroasiatic', 'Vietic', 'Viet–Muong', 'Vietnamese']",,vie,viet1252,85 million (2019)[1],, Vietnam," Czech Republic[2] Slovakia[3]
",https://en.wikipedia.org/wiki/Vietnamese_language
44,Tobago,,,,,,,,,https://en.wikipedia.org/wiki/Tobago
45,Catawba,"['Siouan', 'Catawban (Eastern Siouan)', 'Catawba']",,chc,cata1286,,South Carolina,,,https://en.wikipedia.org/wiki/Catawba_language
46,Terengganu,,,,,,,,,https://en.wikipedia.org/wiki/Terengganu
47,Gwichʼin,"['Dené–Yeniseian', '?\n', 'Na-Dené', 'Athabaskan', 'Northern Athabaskan', 'Gwichʼin']","['Western', 'Eastern']",gwi,gwic1235,ca. 560 (2007–2016)[1],"Canada (Northwest Territories, Yukon), United States (Alaska)",Canada (Northwest Territories)[2]United States(Alaska)[3],,https://en.wikipedia.org/wiki/Gwich%27in_language
48,Provinces_of_Panama,,,,,,,,,https://en.wikipedia.org/wiki/Provinces_of_Panama
49,Hill Mari,"['Uralic', 'Mari', 'Western Mari', 'Hill Mari']",,mrj,kozy1238,"30,000 (2012)[1]","Mari El (Gornomariysky, Yurinsky, Kilemarsky districts)", Russia Mari El,,https://en.wikipedia.org/wiki/Hill_Mari
50,Baga,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Mel', 'Temne', 'Baga languages', 'Baga']",,Variously:titlebgotitle – Kogatitlebsptitle – Sitemutitlebmdtitle – Mandarititlebqftitle – Kaloum (spurious)titlebsvtitle – Sobané (spurious),temn1245title  adds Temne & Landoma,"Koga: No dataSitemu: 40,000 (2018)Mandari: 4,000 (2011)Kaloum: Extinct by the 1950sSobané: Extinct by the 1950s[1]",,,,https://en.wikipedia.org/wiki/Baga_language
51,Wolof,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'West Atlantic', 'Senegambian', 'Fula–Wolof', 'Wolof']","['Baol', 'Cayor', 'Jolof', 'Lebu', 'Jander', 'Dakar–Wolof']",Either:titlewoltitle – Woloftitlewoftitle – Gambian Wolof,wolo1247,L1: 7.1 million (2013–2021)[1]L2: 16 million (2021)[1],Senegambia,,,https://en.wikipedia.org/wiki/Wolof_language
52,Cara%C8%99-Severin_County,,,,,,,,,https://en.wikipedia.org/wiki/Cara%C8%99-Severin_County
53,Chakma,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern', 'Bengali–Assamese', 'Chakma']",,ccp,chak1266,"483,299 in Bangladesh (2022)[1]228,000 in India (2011)[2]","Chittagong Hill TractsCADC, MizoramTripuraArunachal Pradesh",,,https://en.wikipedia.org/wiki/Chakma_language
54,French_Community_of_Belgium,,,,,,,,,https://en.wikipedia.org/wiki/French_Community_of_Belgium
55,Evenki,"['Tungusic', '\nNorthern', 'Ewenic', 'Evenki group', 'Evenki']",,evn,even1259,"16,000 (2007–2010)[2]",Inner Mongolia and Heilongjiang in China; Krasnoyarsk Krai in Russia,,,https://en.wikipedia.org/wiki/Evenki_language
56,Sikkimese,"['Sino-Tibetan', 'Tibeto-Burman', 'Tibeto-Kanauri', ' (?)', 'Bodish', 'Tibetic', 'Dzongkha–Lhokä', 'Sikkimese']",,sip,sikk1242,"70,000 (2022)[1]","Sikkim, Nepal (Koshi Province), and Bhutan"," India
Sikkim
",,https://en.wikipedia.org/wiki/Sikkimese_language
57,Altai,"['Turkic', 'Common Turkic', 'Siberian Turkic', ' or ', 'Kipchak', 'Southern Siberian or Kyrgyz–Kipchak', '[3]', '[4]', 'Altai']",,Either:titleatvtitle – titleNorthern Altaititlealttitle – titleSouthern Altai,Nonetitlealta1276title  code retired,"125,700 (Total of Southern and Northern Altai speakers)[1][2]","Altai Republic, Altai Krai, Kemerovo Oblast", Russia Altai Republic,,https://en.wikipedia.org/wiki/Altai_language
58,Low Prussian,"['Indo-European', 'Germanic', 'West Germanic', 'North Sea Germanic', 'Low German', 'Low Prussian']",['Plautdietsch'],ndstitle  for titleLow German,lowe1387,,"
West and East Prussia
Free City of Danzig
",,,https://en.wikipedia.org/wiki/Low_Prussian_dialect
59,Chittagong_Hill_Tracts,,,,,,,,,https://en.wikipedia.org/wiki/Chittagong_Hill_Tracts
60,Northern_Africa,,,,,,,,,https://en.wikipedia.org/wiki/Northern_Africa
61,Bekasi_Regency,,,,,,,,,https://en.wikipedia.org/wiki/Bekasi_Regency
62,Pangasinan,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Northern Philippine', 'Northern Luzon', 'Meso-Cordilleran', 'Southern Cordilleran', 'West Southern Cordilleran', 'Pangasinan']",,pag,pang1290,1.8 million (2010)[2][needs update]8th most spoken native language in the Philippines[3],"Ilocos Region (entirety of Pangasinan, southwestern La Union)Central Luzon (northern Tarlac, northwestern Nueva Ecija, northern Zambales)Cordilleras (southwestern Benguet)Cagayan Valley (southwestern Nueva Vizcaya)",Pangasinan, Philippines(Regional language),https://en.wikipedia.org/wiki/Pangasinan_language
63,Filipino Sign Language,"['French Sign', 'American Sign', '?', 'Filipino Sign Language']",,psp,phil1239,"121,000 (2008) to est. 325,000–650,000 (2021)[1]",,,,https://en.wikipedia.org/wiki/Filipino_Sign_Language
64,Piedmont,,,,,,,,,https://en.wikipedia.org/wiki/Piedmont
65,Kosraean,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Micronesian', 'Micronesian Proper', 'Nuclear Micronesian', 'Kosraean']",,kos,kosr1238,"9,000 (2001)[1]",Kosrae,Federated States of Micronesia,,https://en.wikipedia.org/wiki/Kosraean_language
66,Afar,"['Afro-Asiatic', 'Cushitic', 'Lowland East', 'Saho–Afar', 'Afar']","['Aussa ', "" Ba'adu "", ' Central Afar ', ' Northern Afar']",aar,afar1241,2.6 million (2019–2020)[1],Horn of Africa, Ethiopia, Djibouti Eritrea,https://en.wikipedia.org/wiki/Afar_language
67,Borama_alphabet,,,,,,,,,https://en.wikipedia.org/wiki/Borama_alphabet
68,Istro-Romanian,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Eastern Romance', 'Northern Romanian?', '[a]', 'Istro-Romanian']",,ruo,istr1245,"300 (2007)[1]L2 speakers: 1,100 (2007)[1]",Istria,,,https://en.wikipedia.org/wiki/Istro-Romanian_language
69,Regions_of_Slovenia,,,,,,,,,https://en.wikipedia.org/wiki/Regions_of_Slovenia
70,Xhosa,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Southern Bantu', 'Nguni', '-', 'Tsonga', 'Nguni', 'Zunda', 'Xhosa']",,xho,xhos1239,8 million (2013)[1]11 million L2 speakers (2002)[2],eastern Eastern Cape; scattered communities elsewhere, South Africa Zimbabwe, Botswana,https://en.wikipedia.org/wiki/Xhosa_language
71,Provinces_of_Indonesia,,,,,,,,,https://en.wikipedia.org/wiki/Provinces_of_Indonesia
72,United_States,,,,,,,,,https://en.wikipedia.org/wiki/United_States
73,Cocos Islands Malay,"['Creole', 'Malay-based creole', 'Betawic', 'Cocos Islands Malay']",,coa,coco1260,"(1,100 in Australia cited 1987–2012)[1]","Cocos (Keeling) Islands, Sabah",,,https://en.wikipedia.org/wiki/Cocos_Malay
74,United_Nations,,,,,,,,,https://en.wikipedia.org/wiki/United_Nations
75,Bocas_del_Toro_Province,,,,,,,,,https://en.wikipedia.org/wiki/Bocas_del_Toro_Province
76,South_Africa,,,,,,,,,https://en.wikipedia.org/wiki/South_Africa
77,Val_d%27Aran,,,,,,Alt Pirineu i Aran,,,https://en.wikipedia.org/wiki/Val_d%27Aran
78,Kashubian,"['Indo-European', 'Balto-Slavic', 'Slavic', 'West Slavic', 'Lechitic', 'Pomeranian', 'Kashubian']",,csb,kash1274,"87,600 (2021 census)[1]",Kashubia,"Officially recognized as of 2005, as a regional language, in some communes of Pomeranian Voivodeship, Poland", Poland[2],https://en.wikipedia.org/wiki/Kashubian_language
79,Bulgarian,"['Indo-European', 'Balto-Slavic', 'Slavic', 'South Slavic', 'Eastern South Slavic', 'Bulgarian']",['Bulgarian dialects'],bul,bulg1262,L1: 7.6 million in Bulgaria (2011 census)[4]L1 + L2: c. 10 million in all countries (2023)[5],,BulgariaEuropean Union,"
Albania
Czech Republic[6]
Hungary[7]
Moldova
Romania[8]
Russia
Serbia
Turkey[9][10][11][12]
Ukraine
",https://en.wikipedia.org/wiki/Bulgarian_language
80,French,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Western Romance', 'Gallo-Romance', 'Oïl', 'French']",,fra,stan1290,L1: 74 million (2020)[1]L2: 238 million (2022)[1]  Total: 310 million[1],,"
27 countries
Belgium
Benin
Burundi
Cameroon
Canada
Central African Republic
Chad
Comoros
Congo
Democratic Republic of the Congo
Djibouti
Equatorial Guinea
France
Gabon
Guinea
Haiti
Ivory Coast
Luxembourg
Madagascar
Monaco
Niger
Rwanda
Senegal
Seychelles
Switzerland
Togo
Vanuatu



10 subnational
Aosta Valley (Italy)
French Polynesia
Louisiana (United States)
Maine (United States)
New Caledonia
Puducherry (India)
Saint Barthélemy
Saint Martin
Saint Pierre and Miquelon
Wallis and Futuna



Non-official but administrative/cultural
Algeria
Burkina Faso
Cambodia
Laos
Lebanon
Mali
Mauritania
Mauritius
Morocco
New Hampshire (United States)
Tunisia
Vietnam



Intergovernmental organizations
Organisation internationale de la Francophonie
United Nations
International Olympic Committee
General Conference on Weights and Measures
International Committee of the Red Cross
European Union
African Union
North Atlantic Treaty Organization
World Trade Organization
Council of Europe

",,https://en.wikipedia.org/wiki/French_language
81,Indonesia,,,,,,,,,https://en.wikipedia.org/wiki/Indonesia
82,Serer,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'West Atlantic', 'Senegambian', 'Serer']",,srr,sere1260,1.9 million (2021–2022)[1],,,,https://en.wikipedia.org/wiki/Serer_language
83,Persian,"['Indo-European', 'Indo-Iranian', 'Iranian', 'Western Iranian', 'Southwestern Iranian', 'Persian']","['Iranian/Western', 'Dari/Eastern', 'Tajik', 'Bukhori', 'Pahlavani', 'Hazaragi', 'Aimaq', 'Judeo-Persian', 'Dehwari', 'Judeo-Tat', '[8]', 'Caucasian Tat', '[8]', 'Armeno-Tat', '[8]', 'Madaklashti', 'Kuwaiti', 'Sistani']",fastitle – inclusive codetitleIndividual codes:titlepestitle – titleIranian Persiantitleprstitle – titleDarititletgktitle – titleTajik languagetitleaiqtitle – titleAimaq dialecttitlebhhtitle – titleBukhori dialecttitlehaztitle – titleHazaragi dialecttitlejprtitle – titleJudeo-Persiantitlephvtitle – titlePahlavanititledehtitle – titleDehwarititlejdttitle – titleJudeo-Tattitlettttitle – titleCaucasian Tat,fars1254,L1: 72 million (2017–2021)[7]L2: 38 million (2021–2022)[7]Total (L1+L2): 130 million[8],,"
Iran[9]
Afghanistan (as Dari)
Tajikistan (as Tajik)

Russia

Dagestan (as Tat)[10]
",,https://en.wikipedia.org/wiki/Persian_language
84,Fiji,,,,,,,,,https://en.wikipedia.org/wiki/Fiji
85,Bambara,"['Niger-Congo', '?\n', 'Mande', 'Western', 'Manding', 'East', 'Bambara–Dyula', 'Bambara']",,bam,bamb1269,L1:  4.2 million (2012)[1]L2: 10 million (2012)[1],central southern Mali,Mali (co-official),,https://en.wikipedia.org/wiki/Bambara_language
86,Abkhaz,"['Northwest Caucasian', 'Abazgi', 'Abkhaz']","['Abzhywan', 'Bzyp', 'Sadz']",abktitle  Abkhazian,abkh1244title  Abkhaz,"190,000 (2015–2019)[1]",Georgia,Republic of Abkhazia[a],Georgia,https://en.wikipedia.org/wiki/Abkhaz_language
87,Inuktitut,"['Eskaleut', 'Eskimo', 'Inuit', 'Inuktitut']","['Qikiqtaaluk nigiani', ' (South Baffin)', 'Nunavimmiutitut', ' (Quebec)', 'Inuttitut', ' (Labrador)', 'Inuktun', ' (Thule)']",ikutitle – inclusive code InuktituttitleIndividual codes:titleiketitle – Eastern Canadian Inuktituttitleikttitle – titleInuinnaqtun,east2534title  Eastern Canadian Inuktitut,"L1: 38,000 (2021 census)[1]L1 + L2: 42,000 (2021 census)[2]","Northwest Territories, Nunatsiavut (Newfoundland and Labrador), Nunavik (Quebec), Nunavut",NunavutNorthwest Territories,Quebec (Nunavik)Newfoundland and Labrador (Nunatsiavut)Yukon (Inuvialuit Settlement Region),https://en.wikipedia.org/wiki/Inuktitut
88,Khakassia,,,,,,,,,https://en.wikipedia.org/wiki/Khakassia
89,Republic_of_Ireland,,,,,,,,,https://en.wikipedia.org/wiki/Republic_of_Ireland
90,South_Sulawesi,,,,,,,,,https://en.wikipedia.org/wiki/South_Sulawesi
91,Ojibwe,"['Algic', 'Algonquian', 'Ojibwe-', 'Potawatomi', 'Ojibwe']","['(see ', 'Ojibwe dialects', ')']",ojititle – inclusive code – OjibwatitleIndividual codes:titleojstitle – titleSevern Ojibwatitleojgtitle – titleEastern Ojibwatitleojctitle – titleCentral Ojibwatitleojbtitle – titleNorthwestern Ojibwatitleojwtitle – titleWestern Ojibwatitleciwtitle – titleChippewatitleotwtitle – titleOttawatitlealqtitle – titleAlgonquin,ojib1241title  Ojibwa,"(50,000 cited 1990–2016 censuses)[1]","Canada: Quebec, Ontario, Manitoba, Saskatchewan, groups in Alberta, British Columbia; United States: Michigan, Wisconsin, Minnesota, groups in North Dakota, Montana",,,https://en.wikipedia.org/wiki/Ojibwe_language
92,Bislama,"['English Creole', '\nPacific', 'Melanesian Pidgin', 'Bislama']",,bis,bisl1239,"10,000 (2011)[1]200,000 L2 speakers[citation needed]",Vanuatu,Vanuatu,,https://en.wikipedia.org/wiki/Bislama
93,Gothic,"['Indo-European', 'Germanic', 'East Germanic', 'Gothic']","['Crimean Gothic', ' †', 'Gepid', '? †']",got,goth1244,,"Oium, Dacia, Pannonia, Dalmatia, Italy, Gallia Narbonensis, Gallia Aquitania, Hispania, Crimea, North Caucasus",,,https://en.wikipedia.org/wiki/Gothic_language
94,Himachal_Pradesh,,,,,,North India,,,https://en.wikipedia.org/wiki/Himachal_Pradesh
95,Tamil_Nadu,,,,,,South India,,,https://en.wikipedia.org/wiki/Tamil_Nadu
96,Malayalam,"['Dravidian', 'Southern', '[4]', 'Tamil–Kannada', 'Tamil–Kodagu', 'Tamil–Malayalam', 'Malayalam languages', 'Malayalam']","['Jeseri', 'Arabi Malayalam', 'Suriyani', 'Judeo-Malayalam', 'Beary', 'Paniya', 'Ravula', 'Aranadan', 'Kadar', 'Malapandaram', 'Malaryan', 'Malavedan', 'Mannan', 'Paliyan', 'Mullu Kurumba', 'Malankuravan', 'Kakkala']",mal,mala1464,"L1: 37 million (2011)[1][2][3]L2: 710,000[2]","Kerala with border communities in the Kanyakumari district of Tamil Nadu, Lakshadweep and Mahé, Puducherry","
Official languages of India
Kerala[5]
Lakshadweep
Mahé, Puducherry
",,https://en.wikipedia.org/wiki/Malayalam
97,Canada,,,,,,,,,https://en.wikipedia.org/wiki/Canada
98,Pakistan,,,,,,,,,https://en.wikipedia.org/wiki/Pakistan
99,Syria,,,,,,,,,https://en.wikipedia.org/wiki/Syria
100,Iraq,,,,,,,,,https://en.wikipedia.org/wiki/Iraq
101,Burgenland,,,,,,,,,https://en.wikipedia.org/wiki/Burgenland
102,Akanland,,,,,,,,,https://en.wikipedia.org/wiki/Akanland
103,Selenge_Province,,,,,,,,,https://en.wikipedia.org/wiki/Selenge_Province
104,Cambodia,,,,,,,,,https://en.wikipedia.org/wiki/Cambodia
105,Estonian,"['Uralic', 'Finno-Ugric', 'Finno-Permic', '?', 'Finno-Samic', '?', 'Finnic', 'Southern Finnic', 'Central Finnic?', 'Estonian']","['North (Standard) Estonian', 'South Estonian', 'Northeastern coastal Estonian']",esttitle – inclusive codetitleIndividual codes:titleekktitle – Standard Estoniantitlevrotitle – titleVõro,esto1258,1.2 million (2022)[1],,EstoniaEuropean Union,,https://en.wikipedia.org/wiki/Estonian_language
106,Guangdong_Province,,,,,,,,,https://en.wikipedia.org/wiki/Guangdong_Province
107,Batak_languages,,,,toba1265title  title(Batakic),"3,318,360 (2010 census)[3]",,,,https://en.wikipedia.org/wiki/Batak_languages
108,Avestan_alphabet,,,,,,,,,https://en.wikipedia.org/wiki/Avestan_alphabet
109,North_Ossetia%E2%80%93Alania,,,,,,,,,https://en.wikipedia.org/wiki/North_Ossetia%E2%80%93Alania
110,Paraguay,,,,,,,,,https://en.wikipedia.org/wiki/Paraguay
111,Republic_of_Albania,,,,,,,,,https://en.wikipedia.org/wiki/Republic_of_Albania
112,Pattani_Province,,,,,,,,,https://en.wikipedia.org/wiki/Pattani_Province
113,Shan_State,,,,,,,,,https://en.wikipedia.org/wiki/Shan_State
114,India,,,,,,,,,https://en.wikipedia.org/wiki/India
115,Southern Quechua,"['Quechuan', '\nQuechua II', 'Quechua IIC', 'Southern Quechua']","['Ayacucho', 'Cusco', 'Puno', ' (Collao)', 'North Bolivian', 'South Bolivian', '\xa0\xa0\xa0\xa0', 'Santiagueño']",Variously:titleqwctitle – Classical Quechuatitlequytitle – titleAyacucho Quechuatitleqxutitle – Arequipa-La Unión Quechuatitlequztitle – titleCusco Quechuatitleqvetitle – Eastern Apurímac Quechuatitleqxptitle – titlePuno Quechuatitle (Collao)titlequltitle – titleNorth Bolivian Quechuatitle (Apolo)titlequhtitle – titleSouth Bolivian Quechuatitlequstitle – titleSantiagueño Quechua,quec1389,(5 million cited 1987–2014)[1],"Countries of the Andean highlands of South America, minorities in neighboring countries and some parts of Asia and Europe","
List of countries where Southern Quechua is an official language
 Bolivia[2]
 Peru



List of countries where Southern Quechua is a regional language
 Argentina[3]



List of countries where Southern Quechua is a minority native language
 Chile

",,https://en.wikipedia.org/wiki/Southern_Quechua
116,Pu–Xian Min,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Min', 'Coastal Min', 'Pu–Xian Min']","['Putian', 'Xianyou']",cpx,puxi1243,3.15 million (2022)[1],"Fujian (Putian, parts of Fuzhou and Quanzhou)",,,https://en.wikipedia.org/wiki/Pu-Xian_Min
117,Buryat,"['Mongolic', '\nCentral Mongolic', 'Buryat–', 'Mongolian', 'Buryat']",,buatitle – inclusive code BuriattitleIndividual codes:titlebxutitle – Inner Mongolian (China) Buriattitlebxmtitle – Mongolia Buriattitlebxrtitle – Russia Buriat,buri1258,"440,000 (2017–2020)[1]",,Buryatia (Russia),,https://en.wikipedia.org/wiki/Buryat_language
